packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-OM-6_1-SEM-001,HLA1516.1-OM-6.1-001,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall maintain object instance identity using globally unique object instance handles and unique names within a federation execution.,analysis + integration test,test_two_python_federates_share_in_memory_rti,mapped,object_management,hla_1516_clause6_11_detailed_requirements_v1_0.csv,Current coarse Clause 6 identity row covers unique instance-handle and unique-name behavior at the federation level.
HLA1516.1-OM-6_1-SEM-002,HLA1516.1-OM-6.1.1-004,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall make object instances known to joined federates through discovery before delivering normal attribute reflections for those instances.,analysis + integration test,test_discovery_uses_closest_subscribed_superclass_and_known_class_stays_stable,mapped,object_discovery,hla_1516_clause6_11_detailed_requirements_v1_0.csv,Discovery-before-normal-delivery behavior is directly aligned with the discovery-known-class tranche.
HLA1516.1-OM-6_1-SEM-003,HLA1516.1-OM-6.1.1-003,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall preserve the object class by which an object instance is known to a federate after discovery.,analysis + integration test,test_discovery_uses_closest_subscribed_superclass_and_known_class_stays_stable,mapped,object_discovery,hla_1516_clause6_11_detailed_requirements_v1_0.csv,Known-class stability after discovery is directly covered by the focused discovery regression.
HLA1516.1-OM-6_1-SEM-004,HLA1516.1-OM-6.1.3-001,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,"RTI shall route attribute updates only when publication, ownership, subscription, scope, transportation, order, time, and DDM conditions are satisfied.",analysis + integration test,test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;test_best_effort_transport_changes_callback_transport_and_splits_mixed_attribute_updates;test_timestamp_order_attribute_updates_are_released_in_time_order,partial,object_delivery,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"The repo proves publication/subscription/scope routing plus supported transport and ordering slices, but this packet row is broader than any single current requirement."
HLA1516.1-OM-6_1-SEM-005,HLA1516.1-OM-6.1.7-001,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,"RTI shall route interactions only when publication, subscription, transportation, order, time, and DDM conditions are satisfied.",analysis + integration test,test_two_python_federates_share_in_memory_rti;test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,partial,interaction_delivery plus declaration_management,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Interaction routing is proven for joined subscribed federates, but the packet row also rolls in transportation, ordering, time, and DDM breadth not yet harmonized into one repo-native row."
HLA1516.1-OM-6_1-SEM-006,HLA1516.1-OM-6.10-002,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall reject or fail invalid object management operations without corrupting object instance state.,analysis + integration test,test_strict_publication_gates_registration_update_and_interaction_sends;test_delete_and_local_delete_object_instance_reject_not_connected_not_joined_and_save_restore,partial,object_update,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Negative-path handling exists across update, interaction, and deletion flows, but the packet semantic row is intentionally broader than the current curated requirements."
HLA1516.1-OM-6_1-SEM-007,HLA1516.1-OM-6.8-004,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall support both RTI-generated and federate-supplied object instance names according to reservation and registration semantics.,analysis + integration test,test_name_reservation_ddm_regions_ownership_and_time_support,mapped,object_registration and naming,hla_1516_clause6_11_detailed_requirements_v1_0.csv,The current registration-and-naming tranche directly covers RTI-assigned and federate-supplied instance names.
HLA1516.1-OM-6_1-SEM-008,HLA1516.1-OM-6.16-002,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall distinguish federation-wide deletion from local deletion of a known object instance.,analysis + integration test,test_delete_object_instance_notifies_known_federates_with_remove_object_instance;test_local_delete_clears_only_local_knowledge_and_object_can_be_rediscovered,partial,local_object_knowledge,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Federation-wide delete and local delete semantics are each proven, but they still live in separate coarse rows rather than one explicit semantic bridge row."
HLA1516.1-OM-6_1-SEM-009,HLA1516.1-OM-6.17-001,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,RTI shall maintain attribute scope state and notify subscribed federates when attributes enter or leave scope.,analysis + integration test,test_attributes_in_scope_and_out_of_scope_callbacks_track_region_scope_transitions,mapped,object_scope,hla_1516_clause6_11_detailed_requirements_v1_0.csv,The current scope-callback regression proves both entering-scope and leaving-scope transitions through the paired 6.17/6.18 callbacks.
HLA1516.1-OM-6_1-SEM-010,HLA1516.1-OM-6.10-001,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,"RTI shall preserve user-supplied tags through update, interaction, and deletion delivery where the corresponding service carries a tag.",analysis + integration test,test_two_python_federates_share_in_memory_rti,partial,object_update,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Basic delivery flows exercise tagged update and interaction paths, but there is no explicit harmonized tag-preservation requirement or observer audit yet."
HLA1516.1-OM-6_1-SEM-011,HLA1516.1-OM-6.10-004,IEEE 1516.1-2010,6.1,Object Management semantic overview,SEM,OM-SEMANTICS,"RTI shall apply receive-order and timestamp-order delivery rules from Time Management to object updates, interactions, and deletes.",analysis + integration test,test_timestamp_order_attribute_updates_are_released_in_time_order,partial,object_update and time_management,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Timestamp-order attribute delivery is proven, but interaction-order and delete-order harmonization remain broader than the current coarse ledger."
HLA1516.1-OM-6_2-SVC-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,Reserve Object Instance Name,SVC,OM-RESERVE-OBJECT-INSTANCE-NAME,RTI shall provide the Reserve Object Instance Name service.,unit + integration + API conformance test,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,mapped,object_naming,hla_1516_clause6_11_detailed_requirements_v1_0.csv,The coarse Clause 6 ledger already carries a direct service or callback requirement for this operation.
HLA1516.1-OM-6_2-SIG-002,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,Reserve Object Instance Name,SIG,OM-RESERVE-OBJECT-INSTANCE-NAME,Implementation shall support the standard API signature set for Reserve Object Instance Name: overload 1: (String theObjectName) -> void.,static API signature test,test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,mapped,object_naming,hla_1516_clause6_11_detailed_requirements_v1_0.csv,Static signature audit now proves the public RTIambassador or FederateAmbassador binding exists and the source-derived Java API metadata records the expected Clause 6 overload shapes.
HLA1516.1-OM-6_2-ARG-003,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,Reserve Object Instance Name,ARG,OM-RESERVE-OBJECT-INSTANCE-NAME,"Implementation shall validate supplied arguments for Reserve Object Instance Name, including handles, names, sets, time values, tags, regions, and factories applicable to Clause 6.2.",unit + negative integration test,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Negative-path or state-guard evidence exists nearby in the coarse Clause 6 ledger, but this packet row is still broader than the current repo-native requirement wording."
HLA1516.1-OM-6_2-PRE-004,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,Reserve Object Instance Name,PRE,OM-RESERVE-OBJECT-INSTANCE-NAME,"Implementation shall enforce execution-state preconditions for Reserve Object Instance Name, including connected/joined state, publication/subscription/ownership/time/DDM state, and callback-context restrictions where applicable.",state-machine test,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"Negative-path or state-guard evidence exists nearby in the coarse Clause 6 ledger, but this packet row is still broader than the current repo-native requirement wording."
HLA1516.1-OM-6_2-EFF-005,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,Reserve Object Instance Name,EFF,OM-RESERVE-OBJECT-INSTANCE-NAME,RTI shall reserve the requested object instance name or report reservation failure without creating an object instance.,integration + scenario test,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_clause6_11_detailed_requirements_v1_0.csv,"The runtime effect is partially represented in the coarse Clause 6 ledger, but this packet row compresses multiple state-transition consequences into one detailed requirement."
