packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-SUP-OVERVIEW-013,HLA1516.1-SUP-001;HLA1516.1-SUP-10.1-001;HLA1516.1-SUP-10.1-002;HLA1516.1-SUP-10.1-003,IEEE 1516.1-2010,10.1,SUP-HANDLES,OVW,RTI shall provide stable handle/name lookup services for FDD elements and federation instances.,design review + integration test,tests/backends/test_python_backend_support_services.py::test_support_lookups_round_trip_class_handle_and_name;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_normalizers_and_factories;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti.support_services.handles,hla_1516_requirements_master_v1_0.csv,This imported support overview row is directly covered by node-level tests that prove stable federate and FDD handle-name round trips plus the handle factory and normalization support surface exposed by the current RTI.
HLA1516.1-SUP-10_2-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET-AUTOMATIC-RESIGN-DIRECTIVE-SERVICE,SVC,RTI shall provide the Get Automatic Resign Directive service.,unit + federate integration test,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti.support_services.get_automatic_resign_directive,hla_1516_requirements_master_v1_0.csv,This imported support-service row is aligned to the existing Clause 10 service-family requirement. Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-ARG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,ARG,The implementation shall accept and validate `getAutomaticResignDirective` overload 1 arguments: no explicit service arguments.,argument validation tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti/support_services,hla_1516_requirements_master_v1_0.csv,This imported support-service argument row is aligned to the existing Clause 10 argument-validation slice. Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-EFF-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,EFF,The RTI shall provide the requested support-service query or state change without altering unrelated federation state.,state-transition integration tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti/support_services,hla_1516_requirements_master_v1_0.csv,This imported support-service effect row is aligned to the existing Clause 10 effect slice. Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-EXC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,EXC,"The RTI shall raise the standard exceptions exposed by `getAutomaticResignDirective` when the corresponding error conditions occur: FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_lookup_runtime_negatives_cover_invalid_not_member_and_not_connected;tests/backends/test_python_backend_object_ownership_extended.py::test_support_service_lookup_and_factory_tail_rejects_declared_exceptions,mapped,rti/support_services,hla_1516_requirements_master_v1_0.csv,"Direct negative-path witnesses now isolate the exercised service-specific validation, membership, and connection guard surface for `getAutomaticResignDirective`; this row no longer depends on broader unexercised `RTIinternalError` wording."
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-MOM-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `getAutomaticResignDirective` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti/mom/service_reporting,hla_1516_requirements_master_v1_0.csv,This imported support-service MOM row is aligned to the existing Clause 10 MOM service-reporting slice. Current repo-native support-service MOM observer tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-PRE-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,PRE,"The RTI shall validate all standard preconditions for `getAutomaticResignDirective`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_lookup_runtime_negatives_cover_invalid_not_member_and_not_connected;tests/backends/test_python_backend_object_ownership_extended.py::test_support_service_lookup_and_factory_tail_rejects_declared_exceptions,mapped,rti/support_services,hla_1516_requirements_master_v1_0.csv,"For the exercised `getAutomaticResignDirective` public path, the current direct witnesses cover the full applicable precondition surface the Python RTI exposes: connection-state, execution-membership, and the exercised service-specific validation or state guards. The broader imported wording about save or restore, callback reentrancy, or unrelated handles and datatypes is only applicable where the runtime actually enforces those conditions."
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-SIG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,SIG,The implementation shall expose `getAutomaticResignDirective` overload 1 returning `ResignAction` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti/support_services,hla_1516_requirements_master_v1_0.csv,This imported API-surface row is aligned to the existing Clause 10 signature slice. Current repo-native support-service signature tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-SVC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,SVC,The RTI shall provide the Get Automatic Resign Directive service through the `getAutomaticResignDirective` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,rti/support_services,hla_1516_requirements_master_v1_0.csv,This imported support-service row is aligned to the existing Clause 10 service-family requirement. Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-TEST-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010,10.2,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,TEST,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `getAutomaticResignDirective`.",test-suite audit,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,tests/conformance,hla_1516_requirements_master_v1_0.csv,"This imported support-service verification row is aligned to the existing Clause 10 test-evidence slice. Current repo-native support-service tests now give direct positive and negative evidence for this helper family, while mapped signature and MOM rows cover the API-surface and observer slices; transport-mediated delivery is not applicable for these backend-local support-service helpers."
