requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.1-OM-6.1-001,IEEE 1516.1-2010,6.1,OM,RTI shall support registration modification and deletion of object instances,shall,object_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-OM-6.1-002,IEEE 1516.1-2010,6.1,OM,RTI shall support sending and receiving interactions,shall,object_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-OM-6.1.1-001,IEEE 1516.1-2010,6.1.1,OM,RTI shall discover object instances at subscribed federates when discovery conditions are satisfied,shall,object_discovery,focused integration test,test_discovery_uses_closest_subscribed_superclass_and_known_class_stays_stable,mapped
HLA1516.1-OM-6.1.1-002,IEEE 1516.1-2010,6.1.1,OM,RTI shall determine a candidate discovery class from the registered class or closest subscribed superclass,shall,object_discovery,focused integration test,test_discovery_uses_closest_subscribed_superclass_and_known_class_stays_stable,mapped
HLA1516.1-OM-6.1.1-003,IEEE 1516.1-2010,6.1.1,OM,Once discovered an object instance discovered class shall not change,shall,object_discovery,focused integration test,test_discovery_uses_closest_subscribed_superclass_and_known_class_stays_stable,mapped
HLA1516.1-OM-6.1.1-004,IEEE 1516.1-2010,6.1.1,OM,A registered or discovered object instance shall become known to the joined federate,shall,object_discovery,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-OM-6.1.2-001,IEEE 1516.1-2010,6.1.2,OM,RTI shall determine whether an instance attribute is in scope for each joined federate,shall,object_scope,focused ddm integration test,test_ddm_object_scope_filter_blocks_out_of_scope_reflects_until_regions_overlap,mapped
HLA1516.1-OM-6.1.3-001,IEEE 1516.1-2010,6.1.3,OM,RTI shall reflect attribute updates only when attributes are in scope and subscribed,shall,object_delivery,focused ddm integration test,test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,mapped
HLA1516.1-OM-6.1.4-001,IEEE 1516.1-2010,6.1.4,OM,RTI shall not reflect out of scope attribute updates except where required by service semantics,shall,object_delivery,focused ddm integration test,test_ddm_object_scope_filter_blocks_out_of_scope_reflects_until_regions_overlap,mapped
HLA1516.1-OM-6.1.5-001,IEEE 1516.1-2010,6.1.5,OM,RTI shall determine attribute relevance from publication subscription ownership and scope,shall,object_relevance,focused integration review,,partial
HLA1516.1-OM-6.1.6-001,IEEE 1516.1-2010,6.1.6,OM,RTI shall handle orphan object instances according to ownership and discovery rules,shall,object_deletion plus local_object_knowledge,focused integration review,,partial
HLA1516.1-OM-6.1.7-001,IEEE 1516.1-2010,6.1.7,OM,RTI shall deliver interactions to joined federates subscribed to the relevant interaction class,shall,interaction_delivery plus declaration_management,focused integration test,test_two_python_federates_share_in_memory_rti,mapped
