edition,requirement_id,source_document,clause,page,area,service_group,service_or_check,priority,closure_wave,requirement_text,normative_level,row_kind,parent_requirement_id,canonical_status,canonical_status_reason,owner_doc,primary_test_shard,primary_command,evidence_refs,boundary_note,source_trace_strength,repo_evidence_status,tags
2010,AREA-1516.1-4,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4,,IEEE 1516.1-2010 (2010 edition),Federation management,Federation management,,,Federation management,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:federation-management
2010,AREA-1516.1-5,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §5,,IEEE 1516.1-2010 (2010 edition),Declaration management,Declaration management,,,Declaration management,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:declaration-management
2010,AREA-1516.1-6,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §6,,IEEE 1516.1-2010 (2010 edition),Object management,Object management,,,Object management,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:object-management
2010,AREA-1516.1-7,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §7,,IEEE 1516.1-2010 (2010 edition),Ownership management,Ownership management,,,Ownership management,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:ownership-management
2010,AREA-1516.1-8,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §8,,IEEE 1516.1-2010 (2010 edition),Time management,Time management,,,Time management,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:time-management
2010,AREA-1516.1-9,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §9,,IEEE 1516.1-2010 (2010 edition),Data distribution management,Data distribution management,,,Data distribution management,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:data-distribution-management
2010,AREA-1516.1-10,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §10,,IEEE 1516.1-2010 (2010 edition),Support services,Support services,,,Support services,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:support-services
2010,AREA-1516.1-11,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11,,IEEE 1516.1-2010 (2010 edition),Management object model,Management object model,,,Management object model,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:management-object-model
2010,AREA-1516.1-12,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §12,,IEEE 1516.1-2010 (2010 edition),Programming language mappings,Programming language mappings,,,Programming language mappings,,section-area,,pass,,,,,,,,,document:ieee-1516-1-2010-2010-edition; service-group:programming-language-mappings
2010,REQ-OMT-4-omt_components,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4,,IEEE 1516.2-2010 (2010 edition),OMT/FOM,HLA OMT components,,,HLA OMT components,,omt-area,,pass,,,,,hla2010/backends/python/backend.py; hla2010/fom.py; hla2010/fom.py::parse_fom_xml; test_parse_fom_xml_extracts_identification_names_and_reference_datatypes; test_parse_fom_xml_extracts_switch_table_settings_and_merge_summary; test_parse_fom_xml_extracts_synchronization_table_and_merge_summary; test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables; test_parse_fom_xml_preserves_notes_and_catalog_notes; test_parse_fom_xml_rejects_duplicate_dimension_names; test_parse_fom_xml_requires_and_preserves_model_identification_metadata; test_parse_standard_mim_xml_extracts_structured_datatype_definitions; test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/backends/test_python_backend.py; tests/factories/test_fom_omt_parsing.py; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload; requirements/2010/hla1516_2_omt.csv; requirements/2010/hla1516_2_priority_omt.csv,,,,document:ieee-1516-2-2010-2010-edition; service-group:omt-fom
