requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516-RULE-12.1-001,IEEE 1516-2010,12.1,RULE,Federations shall support coordinated save of federation state,shall,federation_save_restore,architecture plus integration test,test_synchronization_points_and_save_status_callbacks,mapped
HLA1516-RULE-12.1-002,IEEE 1516-2010,12.1,RULE,Save coordination shall collect completion or failure from participating federates before declaring the save outcome,shall,federation_save_restore,focused integration test,test_save_failure_reports_federation_not_saved_and_clears_status,mapped
HLA1516-RULE-12.1-003,IEEE 1516-2010,12.1,RULE,Scheduled save requests shall take effect at the requested logical time when time conditions are satisfied,shall,federation_save_restore and time_management,focused integration test,test_scheduled_save_waits_for_time_and_restore_reinstates_time_state,mapped
HLA1516-RULE-12.1-004,IEEE 1516-2010,12.1,RULE,Federations shall support aborting an in progress save,shall,federation_save_restore,service and callback test,test_abort_federation_save_reports_aborted_and_clears_status,mapped
HLA1516-RULE-12.2-001,IEEE 1516-2010,12.2,RULE,Federations shall support coordinated restore from a named saved state,shall,federation_save_restore,architecture plus integration test,test_restore_status_response_and_failure_callback_paths,mapped
HLA1516-RULE-12.2-002,IEEE 1516-2010,12.2,RULE,Restore coordination shall collect completion or failure from participating federates before declaring the restore outcome,shall,federation_save_restore,focused integration test,test_restore_status_response_and_failure_callback_paths,mapped
HLA1516-RULE-12.2-003,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved logical time state for participating federates,shall,federation_save_restore and time_management,focused integration test,test_scheduled_save_waits_for_time_and_restore_reinstates_time_state,mapped
HLA1516-RULE-12.2-004,IEEE 1516-2010,12.2,RULE,Federations shall support aborting an in progress restore,shall,federation_save_restore,service and callback test,test_abort_federation_restore_reports_aborted_and_clears_status,mapped
HLA1516-RULE-12.2-005,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved object instance existence names and attribute values,shall,federation_save_restore and object_state,focused integration test,test_restore_reinstates_saved_object_values_names_and_ownership_state,mapped
HLA1516-RULE-12.2-006,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved object ownership and attribute ownership state,shall,federation_save_restore and ownership_state,focused integration test,test_restore_reinstates_saved_object_values_names_and_ownership_state,mapped
HLA1516-RULE-12.2-007,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved federate runtime flags including asynchronous delivery time-regulation time-constrained and lookahead state,shall,federation_save_restore and federate_runtime_state,focused integration test,test_restore_reinstates_saved_federate_runtime_flags_and_lookahead_state,mapped
HLA1516-RULE-12.2-008,IEEE 1516-2010,12.2,RULE,Successful restore shall preserve federate automatic resign directives and advisory-switch settings when they are part of the saved local state,shall,federation_save_restore and federate_local_policy,focused integration test,test_restore_reinstates_saved_federate_policy_reporting_and_conveyance_switches,mapped
HLA1516-RULE-12.2-009,IEEE 1516-2010,12.2,RULE,Successful restore shall preserve federate reporting and conveyance switches when they are part of the saved local state,shall,federation_save_restore and federate_reporting_state,focused integration test,test_restore_reinstates_saved_federate_policy_reporting_and_conveyance_switches,mapped
HLA1516-RULE-12.2-010,IEEE 1516-2010,12.2,RULE,Successful restore shall discard stale pre-restore callback-queue state and reestablish post-restore callback flow from the restored coordination sequence,shall,federation_save_restore and callback_queue_state,focused integration test,test_restore_discards_pre_restore_callback_queue_and_retraction_bookkeeping,mapped
HLA1516-RULE-12.2-011,IEEE 1516-2010,12.2,RULE,Successful restore shall discard stale message-retraction bookkeeping and queued transient retraction state inconsistent with the restored federation state,shall,federation_save_restore and message_retraction_state,focused integration test,test_restore_discards_pre_restore_callback_queue_and_retraction_bookkeeping,mapped
HLA1516-RULE-12.2-012,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved attribute order override state when those overrides are part of the saved federate-local delivery state,shall,federation_save_restore and attribute_order_override_state,focused integration test,test_restore_reinstates_saved_attribute_and_interaction_order_overrides,mapped
HLA1516-RULE-12.2-013,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved interaction order override state when those overrides are part of the saved federate-local delivery state,shall,federation_save_restore and interaction_order_override_state,focused integration test,test_restore_reinstates_saved_attribute_and_interaction_order_overrides,mapped
HLA1516-RULE-12.2-014,IEEE 1516-2010,12.2,RULE,Callback enable or disable state shall remain a post-restore local runtime policy choice and shall not be reinstated from saved federation state,is required to,federation_save_restore and callback_runtime_policy,design-rule plus focused integration test,test_restore_treats_callback_enablement_as_runtime_policy_not_saved_state,mapped
HLA1516-RULE-12.2-015,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved attribute transportation override state when those overrides are part of the saved federate-local delivery state,shall,federation_save_restore and attribute_transportation_override_state,focused integration test,test_restore_reinstates_saved_attribute_and_interaction_transportation_overrides,mapped
HLA1516-RULE-12.2-016,IEEE 1516-2010,12.2,RULE,Successful restore shall reinstate saved interaction transportation override state when those overrides are part of the saved federate-local delivery state,shall,federation_save_restore and interaction_transportation_override_state,focused integration test,test_restore_reinstates_saved_attribute_and_interaction_transportation_overrides,mapped
HLA1516-RULE-12.3-001,IEEE 1516-2010,12.3,RULE,Restore requests for unknown save labels shall fail without entering restore in progress state,shall,federation_save_restore,focused integration test,test_request_federation_restore_failed_is_reported_for_unknown_save_label,mapped
