packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-ARG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,ARG,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,The implementation shall accept and validate `getAutomaticResignDirective` overload 1 arguments: no explicit service arguments.,argument validation tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-EFF-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,EFF,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,The RTI shall provide the requested support-service query or state change without altering unrelated federation state.,state-transition integration tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-EXC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,EXC,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,"The RTI shall raise the standard exceptions exposed by `getAutomaticResignDirective` when the corresponding error conditions occur: FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,partial,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-MOM-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,MOM,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `getAutomaticResignDirective` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service MOM observer tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-PRE-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,PRE,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,"The RTI shall validate all standard preconditions for `getAutomaticResignDirective`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,partial,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native support-service tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-SIG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,SIG,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,The implementation shall expose `getAutomaticResignDirective` overload 1 returning `ResignAction` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_10_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service signature tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-SVC-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,SVC,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,The RTI shall provide the Get Automatic Resign Directive service through the `getAutomaticResignDirective` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_2-GETAUTOMATICRESIGNDIRECTIVE-TEST-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.2,getAutomaticResignDirective,TEST,SUP-GET_AUTOMATIC_RESIGN_DIRECTIVE,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `getAutomaticResignDirective`.",test-suite audit,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Current repo-native support-service tests now give direct positive and negative evidence for this helper family, while mapped signature and MOM rows cover the API-surface and observer slices; transport-mediated delivery is not applicable for these backend-local support-service helpers."
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-ARG-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,ARG,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,The implementation shall accept and validate `setAutomaticResignDirective` overload 1 arguments: ResignAction resignAction.,argument validation tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
HLA1516.1-SUP-10_3-SETAUTOMATICRESIGNDIRECTIVE-EFF-001,HLA1516.1-SUP-10.1-001,IEEE 1516.1-2010 (2010 edition),10.3,setAutomaticResignDirective,EFF,SUP-SET_AUTOMATIC_RESIGN_DIRECTIVE,The RTI shall provide the requested support-service query or state change without altering unrelated federation state.,state-transition integration tests,tests/backends/test_python_backend_support_services.py::test_support_dimension_and_update_rate_helpers;tests/backends/test_python_backend_support_services.py::test_support_invalid_inputs_raise_expected_errors,mapped,support_policy,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native support-service tests directly exercise this packet slice.
