id,bucket,area,priority,current_status,binding_scope,has_anchor,evidence_slices,executable_tests,explicit_disposition_anchor,verification_work
HLA2025-BLG-001,carry-forward-cleanup,Renumbered service utilization rows,high,implemented-slice,common,True,2025-carry-forward-cleanup,,False,CSV check comparing 2010_section_or_location and 2025_section_or_location for carry-forward rows
HLA2025-BLG-002,carry-forward-cleanup,Common object model concepts,high,implemented-slice,common,True,2025-carry-forward-cleanup,,False,Parser/model round-trip tests with mixed 2010-compatible and 2025-only metadata
HLA2025-MOD-001,modified-existing,Connect authentication and configuration,very-high,implemented-slice,common+bindings,True,2025-auth-connect,,False,Shim positive and negative connect tests plus Java/C++ binding signature checks
HLA2025-MOD-002,modified-existing,Create and join federation FOM handling,very-high,implemented-slice,common,True,2025-fom-mim-error-taxonomy,,False,Positive FOM module smoke test and negative module-resolution matrix
HLA2025-MOD-003,modified-existing,FOM and MIM module loading,very-high,implemented-slice,common,True,2025-fom-mim-error-taxonomy,,False,XML/MIM fixture tests for parser validator and loader error taxonomy
HLA2025-MOD-004,modified-existing,Callback context parameters,very-high,implemented-slice,common+bindings,True,2025-callback-context-object-delivery;2025-callback-context-interaction-delivery,,False,Callback signature inspection plus object/interaction delivery tests with populated context
HLA2025-MOD-005,modified-existing,Ownership user tags and set callbacks,high,implemented-slice,common,True,2025-standard-route-runtime-capability;2025-ownership-divestiture-confirmation-flows;2025-ownership-release-and-if-wanted-flows;2025-ownership-acquisition-assumption-flows;2025-ownership-acquisition-availability-cancellation-flows,,False,Two-federate ownership tests covering positive tag propagation and unsupported boundary
HLA2025-MOD-006,modified-existing,Time management and flush queue grant,very-high,implemented-slice,common+bindings,True,2025-lookahead-window-proofs;2025-standard-route-runtime-capability,,False,Python RTI time matrix plus Java/C++ signature conformance checks
HLA2025-MOD-007,modified-existing,DDM dimension lookup,high,implemented-slice,common,True,2025-directed-interaction-boundary;2025-standard-route-runtime-capability;2025-ddm-default-attribute-policy,,False,DDM handle lookup tests and retired-row disposition check
HLA2025-MOD-008,modified-existing,Switch inquiry and control model,very-high,implemented-slice,common,True,2025-switch-set-get-model,,False,Switch service matrix over advisory service reporting exception reporting file reporting and relaxed DDM switches
HLA2025-MOD-009,modified-existing,Exception delta pass,high,implemented-slice,common+bindings,True,2025-exception-and-logical-time-deltas,,False,Negative-path matrix driven by differential exception rows
HLA2025-MOD-010,modified-existing,XML logical time naming,high,implemented-slice,common,True,2025-exception-and-logical-time-deltas,,False,XML parser round-trip and stale-token grep guard
HLA2025-NEW-001,new-2025-requirements,Directed interactions,very-high,implemented-slice,common+bindings,True,2025-directed-interaction-boundary,,False,Two-federate directed interaction tests plus FOM/OMT parser fixture
HLA2025-NEW-002,new-2025-requirements,Federation execution member discovery,very-high,implemented-slice,common,True,2025-lifecycle-and-members,,False,Shim lifecycle tests and member data structure serialization tests
HLA2025-NEW-003,new-2025-requirements,Federate resigned callback,high,implemented-slice,common+bindings,True,2025-lifecycle-and-members,,False,Two-federate resign lifecycle callback test
HLA2025-NEW-004,new-2025-requirements,Default attribute policy changes,high,implemented-slice,common,True,2025-standard-route-runtime-capability;2025-ddm-default-attribute-policy,,False,Object update policy tests for default transportation and order
HLA2025-NEW-005,new-2025-requirements,Handle normalization,high,implemented-slice,common+bindings,True,2025-handle-normalization,,False,Handle normalization unit tests and binding adapter tests
HLA2025-NEW-006,new-2025-requirements,OMT reference data types and valueRequired,very-high,implemented-slice,common,True,2025-omt-reference-value-required,,False,OMT fixture parser validator round-trip and generated model check
HLA2025-NEW-007,new-2025-requirements,MOM service reporting changes,high,implemented-slice,common,True,2025-standard-route-runtime-capability;2025-mom-service-report-records;2025-mom-manager-action-routing;2025-mom-manager-query-and-report-routing,,False,MOM report serialization tests and service-reporting switch tests
HLA2025-RET-001,retired-mapped-2010,Advisory switch enable disable services,high,implemented-slice,common,True,2025-retired-advisory-switch-enable-disable-mapping,,False,Disposition test over retired/mapped rows and switch backlog rows
HLA2025-RET-002,retired-mapped-2010,Supplemental callback info helpers,high,implemented-slice,common+bindings,True,2025-callback-context-object-delivery;2025-callback-context-interaction-delivery,,False,Disposition test plus callback signature tests
HLA2025-RET-003,retired-mapped-2010,2010 WSDL,high,legacy-only,fedpro,True,2025-wsdl-legacy-only,,True,FedPro contract tests or legacy-only disposition check
HLA2025-BND-001,binding-specific,Java 2025 binding surface,high,implemented-slice,java,True,2025-java-binding-source-trace;2025-standard-route-runtime-capability,,False,Java compile/intake signature tests and source-trace checks
HLA2025-BND-002,binding-specific,C++ 2025 binding surface,high,implemented-slice,cpp,True,2025-cpp-binding-source-trace;2025-standard-route-runtime-capability,,False,C++ shim compile/intake signature tests and source-trace checks
HLA2025-BND-003,binding-specific,FedPro protobuf 2025 transport,high,implemented-slice,fedpro,True,2025-fedpro-typed-transport-surface;2025-fedpro-hosted-runtime-core;2025-fedpro-hosted-runtime-extended-state;2025-wsdl-legacy-only,,False,Protobuf schema tests route round-trip tests and error-mapping tests
HLA2025-VER-001,verification-matrix,Positive and negative conformance matrix,medium-high,implemented-slice,common+bindings,True,2025-verification-anchor-matrix,,False,Backlog schema test and generated traceability matrix check
HLA2025-VER-002,verification-matrix,Migration and stale-reference checks,medium-high,implemented-slice,common+bindings,True,2025-exception-and-logical-time-deltas,,False,CSV lint tests over 2025 requirement files
HLA2025-MIL-001,verification-matrix,Python RTI 2025 bounded working surface milestone,medium-high,implemented-slice,common+bindings,True,2025-python-rti-milestone-ledger,,False,Finish-line milestone audit and snapshot assertions for both Python routes
HLA2025-MIL-002,verification-matrix,Python RTI 2025 FOM-backed scenario milestone,medium-high,implemented-slice,common+bindings,True,2025-python-rti-milestone-ledger,,False,Finish-line milestone audit and snapshot assertions for both Python routes
HLA2025-MIL-003,verification-matrix,Python RTI 2025 messaging and routing milestone,medium-high,implemented-slice,common+bindings,True,2025-python-rti-milestone-ledger,,False,Finish-line milestone audit and snapshot assertions for both Python routes
HLA2025-MIL-004,verification-matrix,Python RTI 2025 time synchronization milestone,medium-high,implemented-slice,common+bindings,True,2025-python-rti-milestone-ledger,,False,Finish-line milestone audit and snapshot assertions for both Python routes
HLA2025-MIL-005,verification-matrix,Python RTI 2025 GALT and LITS milestone,medium-high,implemented-slice,common+bindings,True,2025-python-rti-milestone-ledger,,False,Finish-line milestone audit and snapshot assertions for both Python routes
HLA2025-MIL-006,verification-matrix,Python RTI 2025 lookahead milestone,medium-high,implemented-slice,common+bindings,True,2025-python-rti-milestone-ledger,,False,Finish-line milestone audit and snapshot assertions for both Python routes
