packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.2-OMT-OMT_SCOPE-001,HLA1516.2-OMT-001;HLA1516.2-OMT-002,IEEE 1516.2-2010,1.1,OMT-SCOPE,OMT_CLAUSE_DETAIL,"The OMT implementation shall define the scope of supported FOM, SOM, and MIM object-model documentation and interchange.",parser/unit/static validation tests,tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped,omt.scope,hla_1516_requirements_master_v1_0.csv,This imported OMT scope row is now directly backed by the repo's explicit OMT scope documentation and its verifier.
HLA1516.2-OMT-OMT_PURPOSE-002,HLA1516.2-OMT-001;HLA1516.2-OMT-002,IEEE 1516.2-2010,1.2,OMT-PURPOSE,OMT_CLAUSE_DETAIL,"The OMT implementation shall support interoperable object-model documentation sufficient for federates and RTIs to agree on shared classes, attributes, interactions, parameters, datatypes, dimensions, and metadata.",parser/unit/static validation tests,tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped,omt.model,hla_1516_requirements_master_v1_0.csv,This imported OMT purpose row is now directly backed by the repo's explicit OMT purpose documentation and its verifier.
HLA1516.2-OMT-OMT_BACKGROUND-003,HLA1516.2-OMT-001;HLA1516.2-OMT-002,IEEE 1516.2-2010,1.3,OMT-BACKGROUND,OMT_CLAUSE_DETAIL,Project documentation shall trace object-model implementation decisions to the OMT's background and intended integration with the HLA product set.,parser/unit/static validation tests,tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped,docs/omt,hla_1516_requirements_master_v1_0.csv,This imported OMT background row is now directly backed by the repo's explicit OMT background and integration documentation and its verifier.
HLA1516.2-COMPONENTS-001,HLA1516.2-OMT-4.0-001;HLA1516.2-OMT-4.0-002;HLA1516.2-OMT-4.0-003,IEEE 1516.2-2010,4,OMT-COMPONENTS,seed,Parser shall recognize the standard OMT component tables used by HLA object models.,parser/validator unit test + round-trip test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_required_optional_and_conditionally_required_omt_entries,mapped,omt.parser,hla_1516_requirements_master_v1_0.csv,This imported OMT components overview row is directly covered by the current parser-recognition and required/optional-entry witnesses.
HLA1516.2-IDENTITY-002,HLA1516.2-ID-001;HLA1516.2-OMID-4.1-001;HLA1516.2-OMID-4.1-002;HLA1516.2-OMID-4.1-003;HLA1516.2-OMID-4.1-004,IEEE 1516.2-2010,4.1,OMT-IDENTITY,seed,Parser shall extract and preserve object-model identification metadata.,parser/validator unit test + round-trip test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_requires_and_preserves_model_identification_metadata;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_identification_names_and_reference_datatypes;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification,mapped,omt.identity,hla_1516_requirements_master_v1_0.csv,This imported OMT seed row is directly covered by the current model-identification parser and serializer witnesses.
HLA1516.2-OMT-OMT_MODEL_ID-004,HLA1516.2-OMID-4.1-001;HLA1516.2-OMID-4.1-002;HLA1516.2-OMID-4.1-003;HLA1516.2-OMID-4.1-004,IEEE 1516.2-2010,4.1,OMT-MODEL-ID,OMT_CLAUSE_DETAIL,"The parser shall capture and preserve object model identification metadata including model name, type, version, purpose, sponsor, modification date, and related descriptive fields when present.",parser/unit/static validation tests,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_requires_and_preserves_model_identification_metadata;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_identification_names_and_reference_datatypes;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification,mapped,omt/model_identification,hla_1516_requirements_master_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-TYPE-003,HLA1516.2-ID-001;HLA1516.2-OMID-4.1-003,IEEE 1516.2-2010,4.1,OMT-TYPE,seed,"Validator shall distinguish FOM, SOM, FOM module, SOM module, and MIM-style model roles where applicable.",parser/validator unit test + round-trip test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes,mapped,omt.identity,hla_1516_requirements_master_v1_0.csv,This imported OMT seed row is directly covered by the current object-model type parser witness.
HLA1516.2-OBJECT-CLASSES-004,HLA1516.2-OC-001;HLA1516.2-OC-4.2-001;HLA1516.2-OCS-4.2-001;HLA1516.2-OCS-4.2-002;HLA1516.2-OCS-4.2-003;HLA1516.2-OCS-4.2-004;HLA1516.2-OCS-4.2-005,IEEE 1516.2-2010,4.2,OMT-OBJECT-CLASSES,seed,Parser shall preserve the object class hierarchy rooted at ObjectRoot.,parser/validator unit test + round-trip test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_multiple_top_level_object_classes;tests/factories/test_fom_omt_parsing.py::test_generate_fom_overview_writes_merged_target_radar_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_object_class_names_in_same_hierarchy,mapped,omt.object_classes,hla_1516_requirements_master_v1_0.csv,This imported OMT seed row is directly covered by the current object-class hierarchy parser witnesses.
HLA1516.2-OBJECT-CLASSES-005,HLA1516.2-OC-001;HLA1516.2-OC-4.2-002;HLA1516.2-OCS-4.2-001;HLA1516.2-OCS-4.2-002;HLA1516.2-OCS-4.2-003;HLA1516.2-OCS-4.2-004;HLA1516.2-OCS-4.2-005,IEEE 1516.2-2010,4.2,OMT-OBJECT-CLASSES,seed,Validator shall reject invalid object-class inheritance or duplicate class definitions.,parser/validator unit test + round-trip test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_multiple_top_level_object_classes;tests/factories/test_fom_omt_parsing.py::test_generate_fom_overview_writes_merged_target_radar_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_object_class_names_in_same_hierarchy,mapped,omt.object_classes,hla_1516_requirements_master_v1_0.csv,This imported OMT seed row is directly covered by the current object-class hierarchy parser witnesses.
HLA1516.2-OMT-OMT_OBJECT_CLASS_STRUCTURE-005,HLA1516.2-OC-4.2-001;HLA1516.2-OC-4.2-002;HLA1516.2-OCS-4.2-001;HLA1516.2-OCS-4.2-002;HLA1516.2-OCS-4.2-003;HLA1516.2-OCS-4.2-004;HLA1516.2-OCS-4.2-005,IEEE 1516.2-2010,4.2,OMT-OBJECT-CLASS-STRUCTURE,OMT_CLAUSE_DETAIL,"The parser and validator shall represent the ObjectRoot object-class hierarchy, preserve parent/child relationships, enforce single inheritance, and support inherited attributes.",parser/unit/static validation tests,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_multiple_top_level_object_classes;tests/factories/test_fom_omt_parsing.py::test_generate_fom_overview_writes_merged_target_radar_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_object_class_names_in_same_hierarchy,mapped,omt/classes,hla_1516_requirements_master_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
