packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-ARG-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,ARG,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,The implementation shall accept and validate `unconditionalAttributeOwnershipDivestiture` overload 1 arguments: ObjectInstanceHandle theObject; AttributeHandleSet theAttributes.,argument validation tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,partial,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native ownership tests exercise related negative or callback behavior, but this packet row is broader than the current curated requirement wording."
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-EFF-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,EFF,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,"The RTI shall transition ownership state for the requested instance attributes according to unconditional, negotiated, or if-wanted divestiture semantics and shall notify affected federates.",state-transition integration tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current curated Clause 7 ownership rows already carry direct runtime or callback evidence for this packet slice.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-EXC-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,EXC,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,"The RTI shall raise the standard exceptions exposed by `unconditionalAttributeOwnershipDivestiture` when the corresponding error conditions occur: AttributeNotOwned, AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,partial,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native ownership tests exercise related negative or callback behavior, but this packet row is broader than the current curated requirement wording."
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-MOM-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,MOM,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `unconditionalAttributeOwnershipDivestiture` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_clause_7_services_are_observable_through_mom_service_invocation_reporting,mapped,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Direct ownership MOM witness now proves this service is observable through HLAreportServiceInvocation when service reporting is enabled for the invoking federate.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-PRE-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,PRE,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,"The RTI shall validate all standard preconditions for `unconditionalAttributeOwnershipDivestiture`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,partial,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native ownership tests exercise related negative or callback behavior, but this packet row is broader than the current curated requirement wording."
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-SIG-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,SIG,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,The implementation shall expose `unconditionalAttributeOwnershipDivestiture` overload 1 returning `void` with the standard argument shape.,API signature static test,test_clause_7_service_and_callback_signature_metadata_matches_source_bindings,mapped,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Static signature audit now proves the RTIambassador binding exists and the source-derived Java API metadata records the standard Clause 7 parameter and return-type shapes for this ownership service.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-SVC-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,SVC,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,The RTI shall provide the Unconditional Attribute Ownership Divestiture service through the `unconditionalAttributeOwnershipDivestiture` operation.,unit + integration + API conformance tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current curated Clause 7 ownership rows already carry direct runtime or callback evidence for this packet slice.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-TEST-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010,7.2,unconditionalAttributeOwnershipDivestiture,TEST,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `unconditionalAttributeOwnershipDivestiture`.",test-suite audit,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,partial,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native ownership tests exercise related negative or callback behavior, but this packet row is broader than the current curated requirement wording."
HLA1516.1-OWN-7_3-NEGOTIATEDATTRIBUTEOWNERSHIPDIVESTITURE-ARG-001,HLA1516.1-OWN-7.3-001,IEEE 1516.1-2010,7.3,negotiatedAttributeOwnershipDivestiture,ARG,OWN-NEGOTIATED_ATTRIBUTE_OWNERSHIP_DIVESTITURE,The implementation shall accept and validate `negotiatedAttributeOwnershipDivestiture` overload 1 arguments: ObjectInstanceHandle theObject; AttributeHandleSet theAttributes; byte[] userSuppliedTag.,argument validation tests,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,partial,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native ownership tests exercise related negative or callback behavior, but this packet row is broader than the current curated requirement wording."
HLA1516.1-OWN-7_3-NEGOTIATEDATTRIBUTEOWNERSHIPDIVESTITURE-EFF-001,HLA1516.1-OWN-7.3-001,IEEE 1516.1-2010,7.3,negotiatedAttributeOwnershipDivestiture,EFF,OWN-NEGOTIATED_ATTRIBUTE_OWNERSHIP_DIVESTITURE,"The RTI shall transition ownership state for the requested instance attributes according to unconditional, negotiated, or if-wanted divestiture semantics and shall notify affected federates.",state-transition integration tests,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped,ownership_runtime,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current curated Clause 7 ownership rows already carry direct runtime or callback evidence for this packet slice.
