master_requirement_id,standard,clause,capability,feature,master_requirement_type,harmonization_status,harmonization_source_file,curated_requirement_id,current_test_id,implementation_area,notes
HLA1516-FW-FW_SCOPE-001,IEEE 1516-2010,1.1,CAP-FW,FW-SCOPE,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-FW-001,tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy,framework.scope,"Repo documentation captures the framework boundary and product-set scope, but this framework-wide statement remains broader than the current executable runtime evidence."
HLA1516-FW-FW_PURPOSE-002,IEEE 1516-2010,1.2,CAP-FW,FW-PURPOSE,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-FW-001,tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy;docs/verification/requirements_hierarchy.md,architecture,"The repo documents the separation between framework rules, service semantics, and OMT structure, but the imported purpose statement remains broader than the current direct verification slices."
HLA1516-FW-FW_HLA_COMPONENTS-003,IEEE 1516-2010,1.3,CAP-FW,FW-HLA-COMPONENTS,FW_RULE_DETAIL,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-FW-001;HLA1516.1-FM-001;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-OWN-001;HLA1516.1-TM-001;HLA1516.1-DDM-001;HLA1516.1-SUP-001;HLA1516.1-MOM-001;HLA1516.2-OMT-4.0-001,tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy;tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,requirements,"Current repo documentation and hierarchy artifacts explicitly treat IEEE 1516, 1516.1, and 1516.2 as one interrelated product set with cross-standard traceability."
HLA1516-FW-FW_OO_RELATIONSHIP-004,IEEE 1516-2010,1.4,CAP-FW,FW-OO-RELATIONSHIP,FW_RULE_DETAIL,partial,hla1516_framework_detailed_reconciliation.csv,HLA1516-OBJ-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OC-4.2-001;HLA1516.2-IC-4.3-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,omt.model,"The repo clearly models HLA object and interaction structures independently from Python class semantics, but this cross-domain conceptual statement is still broader than the current direct proof surface."
HLA1516-FW-5_1-DET-001,IEEE 1516-2010,5.1,CAP-FW,FW-FOM,DET,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,framework.rules,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_1-DET-002,IEEE 1516-2010,5.1,CAP-FW,FW-FOM,DET,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,framework.rules,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_1-DET-003,IEEE 1516-2010,5.1,CAP-FW,FW-FOM,DET,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,framework.rules,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_1-DET-004,IEEE 1516-2010,5.1,CAP-FW,FW-FOM,DET,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,framework.rules,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-RULE_1_FOM-005,IEEE 1516-2010,5.1,CAP-FW,RULE-1-FOM,FW_RULE_DETAIL,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,omt.fom,Current repo-native FOM and MIM handling directly satisfies the Rule 1 requirement that each federation operate with an HLA FOM documented via the OMT.
HLA1516-RULE-001,IEEE 1516-2010,5.1,CAP-FW,FW-FOM,SVC,mapped,hla1516_framework_detailed_reconciliation.csv,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,omt.fom,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
