packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-TM-OVERVIEW-009,HLA1516.1-TM-8.1-001;HLA1516.1-TM-8.1-002;HLA1516.1-TM-8.1.1-001;HLA1516.1-TM-8.1.2-001;HLA1516.1-TM-8.1.2-002;HLA1516.1-TM-8.1.2-003;HLA1516.1-TM-8.1.2-004;HLA1516.1-TM-8.1.3-001;HLA1516.1-TM-8.1.3-002;HLA1516.1-TM-8.1.3-003;HLA1516.1-TM-8.1.6-001;HLA1516.1-TM-8.1.7-001,IEEE 1516.1-2010,8.1,TM-TIME-AXIS,OVW,RTI shall coordinate logical time advancement with ordered delivery of timestamped messages.,design review + integration test,test_timestamp_ordered_updates_are_delivered_by_time_advance_order;tests/time/test_mom_mim_time_v10.py::test_time_advance_request_waits_at_galt_boundary_but_available_request_can_grant_equal_galt,partial,time_management,hla_1516_requirements_master_v1_0.csv,"This broad time-axis overview row is largely covered by current time-advance and ordering evidence, but its full wording still includes the receive-order conversion boundary owned by the mixed-backend priority-resolution note."
HLA1516.1-TM-OVERVIEW-010,HLA1516.1-TM-8.1.4-001;HLA1516.1-TM-8.1.4-002;HLA1516.1-TM-8.1.4-003;HLA1516.1-TM-8.19-001,IEEE 1516.1-2010,8.1,TM-LOOKAHEAD,OVW,RTI shall enforce lookahead constraints for time-regulating federates.,design review + integration test,test_timestamped_send_requires_time_regulation_and_lookahead_bound;tests/time/test_lookahead_backend_matrix.py::test_lookahead_backend_matrix_state_services,mapped,time_management.lookahead,hla_1516_requirements_master_v1_0.csv,This imported lookahead overview row is directly covered by current lookahead and time-regulation tests.
HLA1516.1-TM-OVERVIEW-011,HLA1516.1-TM-8.1.5-002;HLA1516.1-TM-8.1.5-003;HLA1516.1-TM-8.16-001;HLA1516.1-TM-8.18-001,IEEE 1516.1-2010,8.1,TM-GALT-LITS,OVW,RTI shall compute and expose GALT and LITS values according to time-management semantics.,design review + integration test,tests/time/test_mom_mim_time_v10.py::test_timestamp_order_next_message_requests_deliver_in_time_order_and_query_galt_lits,mapped,time_management.queries,hla_1516_requirements_master_v1_0.csv,This imported GALT/LITS overview row is directly covered by the current query and next-message time-management tests.
HLA1516.1-TM-8_2-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE-TIME-REGULATION-SERVICE,SVC,RTI shall provide the Enable Time Regulation service.,unit + federate integration test,test_requirements_ledger_covers_generated_api_surface;test_section8_core_time_management_surface_covers_callbacks_states_and_grants;test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_requirements_master_v1_0.csv,This imported time-management seed row is aligned to the current Clause 8 service or callback bridge for the same clause.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-ARG-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE_TIME_REGULATION,ARG,The implementation shall accept and validate `enableTimeRegulation` overload 1 arguments: LogicalTimeInterval theLookahead.,argument validation tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_requirements_master_v1_0.csv,Current repo-native time-management argument-validation tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-EFF-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE_TIME_REGULATION,EFF,"The RTI shall enable the federate to send TSO messages when lookahead and time-regulation preconditions are satisfied, and shall report enablement using the corresponding callback.",state-transition integration tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_requirements_master_v1_0.csv,Current repo time-management tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-EXC-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE_TIME_REGULATION,EXC,"The RTI shall raise the standard exceptions exposed by `enableTimeRegulation` when the corresponding error conditions occur: InvalidLookahead, InTimeAdvancingState, RequestForTimeRegulationPending, TimeRegulationAlreadyEnabled, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests;tests/backends/test_python_backend_time_ddm_extended.py::test_hla_immediate_time_enable_callbacks_expose_pending_request_exceptions,mapped,time_management,hla_1516_requirements_master_v1_0.csv,"Direct negative-path witnesses now isolate the exercised invalid-lookahead, duplicate-regulation, time-advancing, save or restore, membership, and connection guard surface for `enableTimeRegulation`; the public callback-reentrancy path is separately exercised by immediate-callback witnesses, so this row no longer depends on broader unexercised `RTIinternalError` wording."
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-MOM-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE_TIME_REGULATION,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `enableTimeRegulation` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_services_are_observable_through_mom_service_invocation_reporting;tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_requirements_master_v1_0.csv,Current repo-native time-management MOM observer tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-PRE-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE_TIME_REGULATION,PRE,"The RTI shall validate all standard preconditions for `enableTimeRegulation`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests;tests/backends/test_python_backend_time_ddm_extended.py::test_hla_immediate_time_enable_callbacks_expose_pending_request_exceptions,mapped,time_management,hla_1516_requirements_master_v1_0.csv,"For the exercised `enableTimeRegulation` public path, the current direct witnesses cover the full applicable precondition surface the Python RTI exposes: connection-state, execution-membership, invalid-lookahead, duplicate-enable, save or restore, time-advancing, and within-callback rejection. The broader imported wording about handles or datatypes is not applicable here, and the implementation's internal pending-request transit state is already covered by the immediate-callback witness."
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-SIG-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,TM-ENABLE_TIME_REGULATION,SIG,The implementation shall expose `enableTimeRegulation` overload 1 returning `void` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_service_and_callback_signature_metadata_matches_source_bindings;test_requirements_ledger_covers_generated_api_surface;test_section8_core_time_management_surface_covers_callbacks_states_and_grants;test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_requirements_master_v1_0.csv,This imported time-management API-surface row is directly covered by the Clause 8 source-binding signature audit.
