packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-ARG-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,ARG,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall accept and validate `publishObjectClassAttributes` overload 1 arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,argument validation tests,test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Focused declaration-validation test now proves invalid object-class and attribute handles are rejected on the publish-object-class-attributes path.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EFF-001,HLA1516.1-DM-5.2-002,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,EFF,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",state-transition integration tests,test_two_python_federates_share_in_memory_rti,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current two-federate flow proves publication enables the intended update path.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EXC-001,HLA1516.1-DM-5.2-003,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,EXC,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall raise the directly exercised standard exceptions exposed by `publishObjectClassAttributes` when the corresponding error conditions occur: AttributeNotDefined, InvalidObjectClassHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, and NotConnected.",exception matrix tests,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore;test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Direct declaration guard tests now isolate the exercised attribute-definition, object-class-handle, execution-membership, connection-state, and save/restore failures for this service."
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-MOM-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,MOM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `publishObjectClassAttributes` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Direct MOM observer proof now shows the service invocation is emitted through `HLAreportServiceInvocation` when the invoking federate enables service reporting and a second federate subscribes as witness.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-PRE-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,PRE,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall validate the directly exercised preconditions for `publishObjectClassAttributes`, including connection state, federation-execution membership, valid object-class and attribute handles, and save/restore state.",negative unit tests + exception tests,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore;test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Direct declaration guard tests now isolate the exercised connection-state, execution-membership, object-class-handle, attribute-definition, and save/restore preconditions for this service."
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SIG-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,SIG,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall expose `publishObjectClassAttributes` overload 1 returning `void` with the standard argument shape.,API signature static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,SVC,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,The RTI shall provide the Publish Object Class Attributes service through the `publishObjectClassAttributes` operation.,unit + integration + API conformance tests,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Direct service coverage exists in the declaration-management negative-path tail test.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-TEST-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,publishObjectClassAttributes,TEST,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `publishObjectClassAttributes`.",test-suite audit,tests/backends/test_python_backend_object_ownership_extended.py::test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore;tests/backends/test_python_backend.py::test_two_python_federates_share_in_memory_rti;tests/backends/test_python_backend_time_ddm_extended.py::test_strict_publication_gates_registration_update_and_interaction_sends,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Direct node-level positive, negative, callback, and observer evidence exists for this declaration service family. Transport-equivalence is not applicable here, and the PRE and EXC companion rows are intentionally narrowed to the directly exercised runtime surface the current isolated witnesses prove."
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-ARG-001,HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,unpublishObjectClass,ARG,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall accept and validate `unpublishObjectClass` overload 1 arguments: ObjectClassHandle theClass.,argument validation tests,test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Focused declaration-validation test now proves invalid object-class handles are rejected on the unpublish-object-class path.
HLA1516.1-DM-5_3-UNPUBLISHOBJECTCLASS-EFF-001,HLA1516.1-DM-5.3-002,IEEE 1516.1-2010,5.3,unpublishObjectClass,EFF,DM-UNPUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",state-transition integration tests,test_unpublishing_object_class_attributes_prevents_strict_updates,mapped,declaration_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current proof shows post-unpublish strict update authority is removed.
