packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-DDM-OVERVIEW-012,HLA1516.1-DDM-9.1-001;HLA1516.1-DDM-9.1-002;HLA1516.1-DDM-9.1-003,IEEE 1516.1-2010,9.1,DDM-REGION-OVERLAP,OVW,RTI shall use FDD dimensions and region overlap to determine DDM relevance.,design review + integration test,test_ddm_region_subscription_update_and_unsubscribe_lifecycle;test_support_dimension_and_update_rate_helpers,mapped,rti.data_distribution_management.routing,hla_1516_requirements_master_v1_0.csv,"This imported DDM overview row is directly covered by the current region-overlap, dimension, and relevance-routing curated DDM overview requirements and tests."
HLA1516.1-DDM-9_2-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE-REGION-SERVICE,SVC,RTI shall provide the Create Region service.,unit + federate integration test,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,rti.data_distribution_management.create_region,hla_1516_requirements_master_v1_0.csv,This imported DDM seed row is aligned to the current Clause 9 service bridge for the same clause.
HLA1516.1-DDM-9_2-CREATEREGION-ARG-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,ARG,The implementation shall accept and validate `createRegion` overload 1 arguments: DimensionHandleSet dimensions.,argument validation tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,rti/data_distribution_management,hla_1516_requirements_master_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-EFF-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,EFF,The RTI shall create a region over the specified dimension set and return a unique region handle scoped to the federation execution.,state-transition integration tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,rti/data_distribution_management,hla_1516_requirements_master_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-EXC-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,EXC,"The RTI shall raise the standard exceptions exposed by `createRegion` when the corresponding error conditions occur: InvalidDimensionHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,partial,rti/data_distribution_management,hla_1516_requirements_master_v1_0.csv,"Repo-native DDM tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-DDM-9_2-CREATEREGION-MOM-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `createRegion` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,rti/mom/service_reporting,hla_1516_requirements_master_v1_0.csv,Current repo-native DDM observer tests directly exercise MOM service-reporting for this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-PRE-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,PRE,"The RTI shall validate all standard preconditions for `createRegion`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,partial,rti/data_distribution_management,hla_1516_requirements_master_v1_0.csv,"Repo-native DDM tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-DDM-9_2-CREATEREGION-SIG-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,SIG,The implementation shall expose `createRegion` overload 1 returning `RegionHandle` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,rti/data_distribution_management,hla_1516_requirements_master_v1_0.csv,This imported DDM API-signature row is directly covered by the Clause 9 source-binding signature audit.
HLA1516.1-DDM-9_2-CREATEREGION-SVC-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,SVC,The RTI shall provide the Create Region service through the `createRegion` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,rti/data_distribution_management,hla_1516_requirements_master_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-TEST-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,DDM-CREATE_REGION,TEST,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `createRegion`.",test-suite audit,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,tests/conformance,hla_1516_requirements_master_v1_0.csv,"Direct node-level positive/negative, observer, and routing evidence exists for this service family. The broader PRE and EXC envelope rows remain partial where they still claim more than the current isolated exception surface proves."
