requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516.1-FM-4_2-SVC-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,RTI/federate interface shall provide Connect service as a federate-initiated service in the Federation Management service group.,shall,rti.federation_management.connect,API conformance + integration test,TEST-FM-4_2-SVC-001,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,SVC,HLA1516.1-FM-4_2-001,4.2 service heading and overview,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,"service reporting switch, when enabled",Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-ARG-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall accept and validate supplied argument: Callback model.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-ARG-001,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,ARG,HLA1516.1-FM-4_2-001,4.2.1 Supplied arguments,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,TBD,Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-ARG-002,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall accept and validate supplied argument: Optional local settings designator.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-ARG-002,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,ARG,HLA1516.1-FM-4_2-001,4.2.1 Supplied arguments,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,TBD,Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-PRE-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall enforce this precondition before successful completion: Not connected.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-PRE-001,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,PRE,HLA1516.1-FM-4_2-001,4.2.3 Preconditions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,TBD,Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-EFF-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,"On successful Connect service, the RTI shall establish this postcondition: The unjoined federate is connected to the RTI.",shall,rti.federation_management.connect,state-machine integration test,TEST-FM-4_2-EFF-001,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,EFF,HLA1516.1-FM-4_2-001,4.2.4 Postconditions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,TBD,Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-EXC-001,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall report the defined exception/failure condition when applicable: Connection failed.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-EXC-001,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,EXC,HLA1516.1-FM-4_2-001,4.2.5 Exceptions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,"service reporting switch, when enabled",Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-EXC-002,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall report the defined exception/failure condition when applicable: Unsupported callback model.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-EXC-002,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,EXC,HLA1516.1-FM-4_2-001,4.2.5 Exceptions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,"service reporting switch, when enabled",Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-EXC-003,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall report the defined exception/failure condition when applicable: Invalid local settings designator.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-EXC-003,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,EXC,HLA1516.1-FM-4_2-001,4.2.5 Exceptions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,"service reporting switch, when enabled",Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-EXC-004,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall report the defined exception/failure condition when applicable: Already connected.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-EXC-004,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,EXC,HLA1516.1-FM-4_2-001,4.2.5 Exceptions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,"service reporting switch, when enabled",Split from broad service row to implementation-ready conformance row.
HLA1516.1-FM-4_2-EXC-005,IEEE 1516.1-2010,4.2,Federate Interface Specification,CAP-FM,FM-LIFECYCLE,Connect service shall report the defined exception/failure condition when applicable: RTI internal error.,shall,rti.federation_management.connect,unit + negative-path conformance test,TEST-FM-4_2-EXC-005,Draft,P0,Clause 4 detailed extraction; paraphrased from service supplied/returned/precondition/postcondition/exception subsections.,EXC,HLA1516.1-FM-4_2-001,4.2.5 Exceptions,Connect,federate-initiated service,native baseline; gRPC/REST equivalence for externally visible service behavior,"service reporting switch, when enabled",Split from broad service row to implementation-ready conformance row.
