row_id,surface,service_name,section_ref,service_group,implementation_component,implementation_status,verification_status,positive_evidence,negative_evidence,declared_exceptions,overload_count,languages,gaps,notes
RTI-1516-1-2010-0001,RTIambassador,abortFederationRestore,1516.1-2010 §4.30,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_abortFederationRestore,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected; RTIinternalError; RestoreNotInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0002,RTIambassador,abortFederationSave,1516.1-2010 §4.21,Federation Management,hla2010.backends.python_rti.PythonRTIBackend._svc_abortFederationSave,implemented-handler,handler-only-needs-test,,,FederateNotExecutionMember; NotConnected; RTIinternalError; SaveNotInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0003,RTIambassador,associateRegionsForUpdates,1516.1-2010 §9.6,Data Distribution Management,hla2010.backends.python_rti.PythonRTIBackend._svc_associateRegionsForUpdates,implemented-handler,executable-test-evidence,tests mention associate_regions_for_updates,,AttributeNotDefined; FederateNotExecutionMember; InvalidRegion; InvalidRegionContext; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RegionNotCreatedByThisFederate; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0004,RTIambassador,attributeOwnershipAcquisition,1516.1-2010 §7.8,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_attributeOwnershipAcquisition,implemented-handler,executable-test-evidence,tests mention attributeOwnershipAcquisition; tests mention attribute_ownership_acquisition,,AttributeNotDefined; AttributeNotPublished; FederateNotExecutionMember; FederateOwnsAttributes; NotConnected; ObjectClassNotPublished; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0005,RTIambassador,attributeOwnershipAcquisitionIfAvailable,1516.1-2010 §7.9,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_attributeOwnershipAcquisitionIfAvailable,implemented-handler,executable-test-evidence,tests mention attribute_ownership_acquisition_if_available,,AttributeAlreadyBeingAcquired; AttributeNotDefined; AttributeNotPublished; FederateNotExecutionMember; FederateOwnsAttributes; NotConnected; ObjectClassNotPublished; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
RTI-1516-1-2010-0006,RTIambassador,attributeOwnershipDivestitureIfWanted,1516.1-2010 §7.13,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_attributeOwnershipDivestitureIfWanted,implemented-handler,handler-only-needs-test,,,AttributeNotDefined; AttributeNotOwned; FederateNotExecutionMember; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0007,RTIambassador,attributeOwnershipReleaseDenied,1516.1-2010 §7.12,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_attributeOwnershipReleaseDenied,implemented-handler,handler-only-needs-test,,,AttributeNotDefined; AttributeNotOwned; FederateNotExecutionMember; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0008,RTIambassador,cancelAttributeOwnershipAcquisition,1516.1-2010 §7.15,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_cancelAttributeOwnershipAcquisition,implemented-handler,handler-only-needs-test,,,AttributeAcquisitionWasNotRequested; AttributeAlreadyOwned; AttributeNotDefined; FederateNotExecutionMember; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0009,RTIambassador,cancelNegotiatedAttributeOwnershipDivestiture,1516.1-2010 §7.14,Ownership Management,hla2010.backends.python_rti.PythonRTIBackend._svc_cancelNegotiatedAttributeOwnershipDivestiture,implemented-handler,handler-only-needs-test,,,AttributeDivestitureWasNotRequested; AttributeNotDefined; AttributeNotOwned; FederateNotExecutionMember; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,"Handler exists, but no method-specific executable test evidence was found.",
RTI-1516-1-2010-0010,RTIambassador,changeAttributeOrderType,1516.1-2010 §8.23,Time Management,hla2010.backends.python_rti.PythonRTIBackend._svc_changeAttributeOrderType,implemented-handler,scenario-smoke-evidence,,,AttributeNotDefined; AttributeNotOwned; FederateNotExecutionMember; NotConnected; ObjectInstanceNotKnown; RTIinternalError; RestoreInProgress; SaveInProgress,2,cpp; java,,
