Disposition,Code area,2010 code candidate,2025 impact,Implementation recommendation,Requirement/test action
Reuse directly in common core,RTI-neutral application/domain logic,"Federation state machines, object ownership state, time advance queue policy, publish/subscribe intent, logging/audit, validation helpers that do not import hla.rti1516e or rti1516e::.","Specification behavior is mostly continuous for common service concepts; artifact diff found 158 common serviceUtilization names, including 94 renumbered service entries.","Move into hla-core or equivalent. Make it depend on internal ports/interfaces, not on the 2010 or 2025 API package/namespace.",Reuse behavior requirements and service-flow tests; update clause references where renumbered.
Reuse directly in common core,Common FOM/SOM object-model representation,"Object class, interaction class, attribute, parameter, dimension, transportation, order, and update-rate model types.","Model concepts remain usable, but 2025 adds metadata such as valueRequired, dimension input/output, typed handles, and new MOM/service reporting members.",Keep the canonical in-memory model reusable; add nullable/optional fields for 2025 metadata rather than forking the whole model.,Reuse parser/model requirements for common elements; add tests for 2025-only metadata.
Reuse directly in common core,MIM object class tree handling,HLAobjectRoot/HLAmanager/HLAfederate/HLAfederation object-class assumptions and traversal code.,MIM object class paths were stable in the diff; attributes and data types changed.,Reuse class-tree logic; keep attribute/data-type catalogs version-aware.,Carry forward object-class-path requirements; add attribute/data-type differential tests.
Reuse with adapter or light edits,"Java/C++ handle sets, maps, and common containers","AttributeHandleSet, FederateHandleSet, RegionHandleSet, handle-value maps, range bounds, save/restore status containers, message retraction return usage.","Most concepts exist, but Java package changed from hla.rti1516e to hla.rti1516_2025 and C++ namespace changed from rti1516e to rti1516_2025; 2025 also adds factories for interaction-class sets, message-retraction handles, and region handles.",Do not share source files that import versioned packages. Share only internal wrappers/value abstractions and map them in each adapter.,Reuse container behavior tests at the internal-port level; duplicate thin adapter compile tests per version.
Reuse with adapter or light edits,Encoding primitives and time encodings,"Basic data element encoders, fixed/variable arrays, fixed/variant records, opaque data, float/integer time implementations.","Encoding package remains recognizable, but 2025 adds extendable variant record, logical-time encodings, and typed handle encoding classes.",Reuse primitive encoders if they are independent of API package imports. Add a 2025 extension layer for typed handles/logical-time encodings.,Carry forward primitive encoding tests; add 2025 typed-handle and logicalTime/logicalTimeInterval cases.
Reuse with adapter or light edits,Core RTI service workflows that are same-by-name,"Service orchestration for common declaration, object, ownership, time, DDM, and support services.","Many services carry forward, but clause numbers, exception types, and callback parameters may differ.",Keep workflow logic in common services; invoke RTI through a version-neutral RtiPort interface implemented by 2010 and 2025 adapters.,Reuse 2010 requirements for common names; mark tests as adapter-parameterized.
Reuse with adapter or light edits,FOM/SOM XML parser,"XML load, schema validation hooks, module merging, OMT entity extraction.","XML vocabulary overlaps substantially but includes new element names, valueRequired metadata, typed handle data types, and time naming changes.",Use one parser pipeline with version-specific schema/profile modules. Avoid two independent parsers unless the 2010 implementation is tightly hard-coded to element names.,Reuse common XML tests; add version profiles for timeStamp->logicalTime and lookahead->logicalTimeInterval.
Reuse with adapter or light edits,Ownership management internals,"Acquisition/divestiture state, ownership conflict handling, ownership-query result handling.",2025 adds user-supplied tag byte[]/VariableLengthData to several ownership APIs and changes several callbacks from single AttributeHandle to AttributeHandleSet.,Keep ownership state machine; change the port contract to carry optional tag and sets. Do not let the internal core assume one-attribute callbacks.,Modify requirements/tests for tag propagation and set-based reporting.
Reuse with adapter or light edits,DDM region lifecycle,"Region creation/deletion, region modification, association/unassociation, subscription/update region association logic.",Core region lifecycle remains; getAvailableDimensionsForClassAttribute is replaced by getAvailableDimensionsForObjectClass.,Reuse region lifecycle code. Put dimension-availability lookup behind a version-specific adapter method.,Reuse lifecycle tests; replace class-attribute lookup tests with object-class lookup tests for 2025.
Keep separate version adapter,RTIambassador implementation/binding classes,Any class that directly implements or calls hla.rti1516e.RTIambassador or rti1516e::RTIambassador.,Java and C++ package/namespace changed; connect/create/join/switch/DDM/directed-interaction methods changed; C++ throw-specification style changed to documented exceptions/no throw lists.,Create hla-1516e-2010-adapter and hla-1516-2025-adapter. Share no direct RTIambassador source unless it is template/generated from a version profile.,Adapter-specific compile/API conformance requirements; common behavior tested through RtiPort.
Keep separate version adapter,FederateAmbassador callback dispatcher,"Callback methods, callback listener registrations, SupplementalReflectInfo/SupplementalReceiveInfo/SupplementalRemoveInfo processing.","2025 removes the Supplemental*Info callback model in Java and carries producing FederateHandle, RegionHandleSet, transportation, order, time, and retraction fields directly in callbacks; new callbacks include federateResigned, flushQueueGrant, receiveDirectedInteraction, and member reporting.",Keep separate callback adapters. Normalize events into common internal callback DTOs after version-specific extraction.,Retire Supplemental*Info-specific tests for 2025; add direct-parameter callback tests.
Keep separate version adapter,Connect/configuration/authentication,connect(localSettingsDesignator) and InvalidLocalSettingsDesignator handling.,connect returns ConfigurationResult and adds RtiConfiguration/Credentials overloads plus Unauthorized/InvalidCredentials paths.,Write a 2025 connection module. Map 2010 local settings only inside the 2010 adapter; do not fake it in 2025 common code.,Modify or replace connection requirements and negative tests.
Keep separate version adapter,Create/join federation module designator handling,"URL/URL[] FDD module handling, FDD exception taxonomy, local MIM creation expectations.","2025 uses String/String[] FOM module designators, FOM exception taxonomy, Unauthorized, and createFederationExecutionWithMIM split.",Keep version-specific FOM designator loaders and exception mappers; share only post-parse model validation.,Modify create/join requirements and tests.
Keep separate 2025 module,Switch inquiry/control model,"enable/disable attribute relevance, attribute scope, interaction relevance, and object class relevance advisory switch code.","Boolean enable/disable services are removed/replaced by set/get switch services; 2025 adds broader switches for reporting, file reporting, auto provide, delay subscription evaluation, advisories using known class, relaxed DDM, and non-regulated grant.",Do not reuse 2010 enable/disable classes as-is. Build a 2025 switch service with typed switch state; optionally map legacy enable/disable calls to set/get only in a compatibility shim.,Retire/map old switch requirements; add 2025 switch-state tests.
Keep separate 2025 module,Directed interactions,Standard interaction publish/subscribe/send/receive code.,New services add publish/subscribe/unpublish/unsubscribe directed interactions and send/receive directed interaction.,Implement as a 2025-only feature module layered beside interaction management. Reuse parameter encoding and interaction-class lookup utilities only.,Add new 2025 requirements and interoperability tests.
Keep separate 2025 module,Federation execution member discovery and resigned callback,listFederationExecutions and standard join/resign event handling.,New listFederationExecutionMembers/reportFederationExecutionMembers and federateResigned callback surfaces.,Implement in a 2025-only federation-discovery module. Reuse federation-execution listing UI/state code where possible.,Add new requirements; do not retrofit into 2010 unless product creates a nonstandard compatibility extension.
Keep separate 2025 module,Handle normalization and typed handle data model,Generic HLAhandle/HLAhandleList and raw encoded handle utilities.,"2025 adds normalizeObjectClassHandle, normalizeInteractionClassHandle, normalizeObjectInstanceHandle and replaces generic MIM handle types with typed handle data types.",Keep 2025 normalization and typed-handle catalog separate. Reuse low-level byte/string normalization helpers only.,Add 2025 handle-normalization requirements; map generic-handle requirements to typed equivalents.
Keep separate 2025 module,FedPro/protobuf binding,"hla1516e.wsdl, SOAP/WSDL stubs, web-services transport tests.",Uploaded 2025 package contains protobuf/FedPro files instead of the 2010 WSDL binding.,Keep FedPro/protobuf in a new transport module. Do not mix generated protobuf code with 2010 WSDL stubs.,Retire or scope 2010 WSDL requirements separately; add FedPro binding requirements if in product scope.
Retire or legacy-only,2010 advisory enable/disable wrappers,"enableAttributeRelevanceAdvisorySwitch, disableAttributeRelevanceAdvisorySwitch, enable/disable AttributeScope, InteractionRelevance, ObjectClassRelevance.",Removed/replaced by set/get switch methods.,Keep only in 2010 adapter or an explicit legacy compatibility facade. Do not expose as native 2025 API.,Retire as 2025 requirements; map to set/get switch behavior.
Retire or legacy-only,2010 WSDL/web-services binding,hla1516e.wsdl stubs and SOAP transport integration.,No WSDL binding in the uploaded 2025 package; protobuf/FedPro is the new binding surface from the artifact pass.,Keep in a legacy module only if the product still supports 2010; otherwise remove from 2025 branch.,Retire or explicitly legacy-scope WSDL requirements.
Retire or legacy-only,Supplemental*Info helper classes in Java callback processing,"SupplementalReflectInfo, SupplementalReceiveInfo, SupplementalRemoveInfo processing, has/get producing-federate and sent-region helpers.",2025 callback signatures carry the information directly and removed helper methods surfaced in the diff.,Keep only in the 2010 callback adapter. Convert both versions into a common internal callback DTO.,Retire 2025 requirements that depend on Supplemental*Info.
Retire or legacy-only,2010 DDM class-attribute dimension lookup,getAvailableDimensionsForClassAttribute wrappers/tests.,Replaced by getAvailableDimensionsForObjectClass.,Keep only in 2010 adapter; expose a common getAvailableDimensionsForObjectClass-like internal method and back-map 2010 as needed.,Map/replace requirements.
