packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-OWN-OVERVIEW-008,HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-OWN-7.1-003,IEEE 1516.1-2010 (2010 edition),7.1,OWN-EXCLUSIVE,OVW,RTI shall track instance-attribute ownership so that no attribute has more than one owner.,design review + integration test,test_name_reservation_ddm_regions_ownership_and_time_support;test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows;test_update_attribute_values_rejects_not_connected_not_joined_unknown_object_invalid_time_not_owned_and_save_restore,mapped,rti.ownership_management.registry,hla_1516_requirements_master_v1_0.csv,This imported ownership overview row is directly covered by the current exclusive-ownership invariants and ownership/runtime tests.
HLA1516.1-OWN-7_2-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-UNCONDITIONAL-ATTRIBUTE-OWNERSHIP-DIVEST,SVC,RTI shall provide the Unconditional Attribute Ownership Divestiture service.,unit + federate integration test,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped,rti.ownership_management.unconditional_attribute_ownership_divestiture,hla_1516_requirements_master_v1_0.csv,This imported ownership service seed row is aligned to the current Clause 7 service bridge for the same clause.
HLA1516.1-OWN-7_2-RTIAPI-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-unconditionalAttributeOwnershipDivestiture,RTI_API,RTI shall expose RTIambassador method `unconditionalAttributeOwnershipDivestiture` for the Unconditional Attribute Ownership Divestiture service.,api conformance test,test_clause_7_service_and_callback_signature_metadata_matches_source_bindings,mapped,ownership_management.unconditionalAttributeOwnershipDivestiture,hla_1516_requirements_master_v1_0.csv,This imported ownership API-surface row is directly covered by the Clause 7 source-binding signature audit and current service witnesses.
HLA1516.1-OWN-7_2-RTIAPI-001-EFF,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-unconditionalAttributeOwnershipDivestiture,EFF,"`unconditionalAttributeOwnershipDivestiture` shall apply the state, routing, advisory, or lifecycle effects specified for the Unconditional Attribute Ownership Divestiture service.",state/effect integration test,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped,ownership_management.unconditionalAttributeOwnershipDivestiture,hla_1516_requirements_master_v1_0.csv,Current curated Clause 7 ownership rows already carry direct runtime or callback evidence for this packet slice.
HLA1516.1-OWN-7_2-RTIAPI-001-EXC,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-unconditionalAttributeOwnershipDivestiture,EXC_API,`unconditionalAttributeOwnershipDivestiture` shall define and surface applicable exception conditions: AttributeNotOwned; AttributeNotDefined; ObjectInstanceNotKnown; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError.,negative unit/integration tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,partial,ownership_management.unconditionalAttributeOwnershipDivestiture,hla_1516_requirements_master_v1_0.csv,This imported ownership API-exception row inherits the current Clause 7 negative-path envelope status for the same clause.
HLA1516.1-OWN-7_2-RTIAPI-001-MOM,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-unconditionalAttributeOwnershipDivestiture,MOM_TRACE,"When MOM service reporting is enabled, invocation of `unconditionalAttributeOwnershipDivestiture` shall be eligible for standard MOM service invocation reporting.",MOM observer integration test,test_clause_7_services_are_observable_through_mom_service_invocation_reporting,mapped,mom.service_reporting,hla_1516_requirements_master_v1_0.csv,This imported ownership MOM-trace row is directly covered by the Clause 7 MOM service-reporting witness for the same clause.
HLA1516.1-OWN-7_2-RTIAPI-001-SIG,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-unconditionalAttributeOwnershipDivestiture,SIG,`unconditionalAttributeOwnershipDivestiture` shall use return type `void` and supplied arguments: ObjectInstanceHandle theObject; AttributeHandleSet theAttributes.,api signature/static test,test_clause_7_service_and_callback_signature_metadata_matches_source_bindings,mapped,ownership_management.unconditionalAttributeOwnershipDivestiture,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the RTIambassador binding exists and the source-derived Java API metadata records the standard Clause 7 parameter and return-type shapes for this ownership service.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-ARG-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,ARG,The implementation shall accept and validate `unconditionalAttributeOwnershipDivestiture` overload 1 arguments: ObjectInstanceHandle theObject; AttributeHandleSet theAttributes.,argument validation tests,tests/backends/test_python_backend_object_ownership_extended.py::test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped,rti/ownership_management,hla_1516_requirements_master_v1_0.csv,This imported ownership argument-validation row is directly covered by node-level negative-path tests for unknown object handles and invalid attribute handles on `unconditionalAttributeOwnershipDivestiture`.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-EFF-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,EFF,"The RTI shall transition ownership state for the requested instance attributes according to unconditional, negotiated, or if-wanted divestiture semantics and shall notify affected federates.",state-transition integration tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped,rti/ownership_management,hla_1516_requirements_master_v1_0.csv,Current curated Clause 7 ownership rows already carry direct runtime or callback evidence for this packet slice.
HLA1516.1-OWN-7_2-UNCONDITIONALATTRIBUTEOWNERSHIPDIVESTITURE-EXC-001,HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN-UNCONDITIONAL_ATTRIBUTE_OWNERSHIP_DIVESTIT,EXC,"The RTI shall raise the standard exceptions exposed by `unconditionalAttributeOwnershipDivestiture` when the corresponding error conditions occur: AttributeNotOwned, AttributeNotDefined, ObjectInstanceNotKnown, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,partial,rti/ownership_management,hla_1516_requirements_master_v1_0.csv,"Repo-native ownership tests exercise related negative or callback behavior, but this packet row is broader than the current curated requirement wording."
