id,source_document,clause,page,normative_level,area,service_group,service_or_check,requirement_text,delta_type,expected_behavior,negative_boundary,preferred_evidence,notes,harmonization_disposition,disposition_rationale,row_role,priority,closure_wave,known_seed_slice,source_trace_strength,repo_evidence_status,official_java_surface,official_java_methods,official_cpp_surface,official_cpp_methods,official_fedpro_surface,official_fedpro_match_or_note,unsupported_boundary_candidate,suggested_repo_evidence_path,closure_task,coverage_risk_addressed,promotion_rule
HLA2025-FI-SVC-001,IEEE Std 1516.1-2025 Federate Interface Specification,4.2,51,shall,Federate Interface service catalog,Federation management,Connect,"Implement and expose the Connect RTI service from FI clause 4.2, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",modified,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.2; verify all clause 4.2.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.2.3 precondition item(s) (2 extracted) and exception/failure outcomes: Unauthorized; Invalid credentials; Connection failed; Unsupported callback model; Already connected; RTI internal error.,"Executable service test for RTIambassador method(s): connect (4 overloads); include positive path, precondition failure, and clause-defined exception cases.",extracted_preconditions=2; extracted_postconditions=1; extracted_exceptions=6; 2025 Java method(s): connect,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,connect,present,connect,present,connect,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-002,IEEE Std 1516.1-2025 Federate Interface Specification,4.3,52,shall,Federate Interface service catalog,Federation management,Disconnect,"Implement and expose the Disconnect RTI service from FI clause 4.3, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",modified,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.3; verify all clause 4.3.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.3.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate is a member of a federation execution; RTI internal error.,"Executable service test for RTIambassador method(s): disconnect; include positive path, precondition failure, and clause-defined exception cases.",extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=2; 2025 Java method(s): disconnect,covered,Repo evidence and executable anchors are recorded in 2025-connection-lifecycle-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-connection-lifecycle-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,disconnect,present,disconnect,present,disconnect,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-003,IEEE Std 1516.1-2025 Federate Interface Specification,4.4,52,shall,Federate Interface service catalog,Federation management,Connection Lost †,"Implement and expose the Connection Lost callback service from FI clause 4.4, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",modified,"On valid callback service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.4; verify all clause 4.4.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.4.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate internal error.,Callback delivery test for FederateAmbassador method(s): connectionLost; run under EVOKED and IMMEDIATE where applicable; include exception-path callback handling.,extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=1; 2025 Java method(s): connectionLost,covered,Repo evidence and executable anchors are recorded in 2025-connection-lifecycle-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-connection-lifecycle-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,connectionLost,present,connectionLost,present,connectionLost,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-004,IEEE Std 1516.1-2025 Federate Interface Specification,4.5,53,shall,Federate Interface service catalog,Federation management,Create Federation Execution,"Implement and expose the Create Federation Execution RTI service from FI clause 4.5, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",modified,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.5; verify all clause 4.5.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.5.3 precondition item(s) (3 extracted) and exception/failure outcomes: Could not create logical time implementation; FOM module inconsistent with current FDD; Invalid FOM module; Error Reading FOM; Could not locate FOM module indicated by supplied designator; MIM designator shall not be HLAstandardMIM; Invalid MIM; Error Reading MIM; Could not locate MIM indicated by supplied designator; The specified federation execution alre….,"Executable service test for RTIambassador method(s): createFederationExecution (4 overloads); createFederationExecutionWithMIM (2 overloads); include positive path, precondition failure, and clause-defined exception cases.","extracted_preconditions=3; extracted_postconditions=1; extracted_exceptions=13; 2025 Java method(s): createFederationExecution, createFederationExecutionWithMIM",covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,createFederationExecution; createFederationExecutionWithMIM,present,createFederationExecution; createFederationExecutionWithMIM,present,createFederationExecution; createFederationExecutionWithMIM,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-005,IEEE Std 1516.1-2025 Federate Interface Specification,4.6,54,shall,Federate Interface service catalog,Federation management,Destroy Federation Execution,"Implement and expose the Destroy Federation Execution RTI service from FI clause 4.6, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",carry-forward,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.6; verify all clause 4.6.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.6.3 precondition item(s) (4 extracted) and exception/failure outcomes: Federates are joined to the federation execution; The federation execution does not exist; Unauthorized; Not connected; RTI internal error.,"Executable service test for RTIambassador method(s): destroyFederationExecution; include positive path, precondition failure, and clause-defined exception cases.",extracted_preconditions=4; extracted_postconditions=1; extracted_exceptions=5; 2025 Java method(s): destroyFederationExecution,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,service-or-callback,P1,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,destroyFederationExecution,present,destroyFederationExecution,present,destroyFederationExecution,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-006,IEEE Std 1516.1-2025 Federate Interface Specification,4.7,55,shall,Federate Interface service catalog,Federation management,List Federation Executions,"Implement and expose the List Federation Executions RTI service from FI clause 4.7, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",carry-forward,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.7; verify all clause 4.7.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.7.3 precondition item(s) (1 extracted) and exception/failure outcomes: Not connected; RTI internal error.,"Executable service test for RTIambassador method(s): listFederationExecutions; include positive path, precondition failure, and clause-defined exception cases.",extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=2; 2025 Java method(s): listFederationExecutions,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,service-or-callback,P1,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,listFederationExecutions,present,listFederationExecutions,present,listFederationExecutions,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-007,IEEE Std 1516.1-2025 Federate Interface Specification,4.8,55,shall,Federate Interface service catalog,Federation management,Report Federation Executions †,"Implement and expose the Report Federation Executions callback service from FI clause 4.8, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",carry-forward,"On valid callback service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.8; verify all clause 4.8.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.8.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate internal error.,Callback delivery test for FederateAmbassador method(s): reportFederationExecutions; run under EVOKED and IMMEDIATE where applicable; include exception-path callback handling.,extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=1; 2025 Java method(s): reportFederationExecutions,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,service-or-callback,P1,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,reportFederationExecutions,present,reportFederationExecutions,present,reportFederationExecutions,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-008,IEEE Std 1516.1-2025 Federate Interface Specification,4.9,56,shall,Federate Interface service catalog,Federation management,List Federation Execution Members,"Implement and expose the List Federation Execution Members RTI service from FI clause 4.9, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",new,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.9; verify all clause 4.9.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.9.3 precondition item(s) (1 extracted) and exception/failure outcomes: Not connected; RTI internal error.,"Executable service test for RTIambassador method(s): listFederationExecutionMembers; include positive path, precondition failure, and clause-defined exception cases.",extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=2; 2025 Java method(s): listFederationExecutionMembers,covered,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,listFederationExecutionMembers,present,listFederationExecutionMembers,present,listFederationExecutionMembers,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-009,IEEE Std 1516.1-2025 Federate Interface Specification,4.10,56,shall,Federate Interface service catalog,Federation management,Report Federation Execution Members †,"Implement and expose the Report Federation Execution Members callback service from FI clause 4.10, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",new,"On valid callback service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.10; verify all clause 4.10.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.10.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate internal error.,Callback delivery test for FederateAmbassador method(s): reportFederationExecutionMembers; reportFederationExecutionDoesNotExist; run under EVOKED and IMMEDIATE where applicable; include exception-path callback handling.,"extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=1; 2025 Java method(s): reportFederationExecutionDoesNotExist, reportFederationExecutionMembers",covered,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,reportFederationExecutionDoesNotExist; reportFederationExecutionMembers,present,reportFederationExecutionMembers,present,reportFederationExecutionDoesNotExist; reportFederationExecutionMembers,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
HLA2025-FI-SVC-010,IEEE Std 1516.1-2025 Federate Interface Specification,4.11,57,shall,Federate Interface service catalog,Federation management,Join Federation Execution,"Implement and expose the Join Federation Execution RTI service from FI clause 4.11, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",modified,"On valid RTI service invocation/callback, perform the state transition, return value, data exchange, or callback side effect defined by clause 4.11; verify all clause 4.11.4 postcondition item(s) (1 extracted).",Boundary tests shall cover clause 4.11.3 precondition item(s) (7 extracted) and exception/failure outcomes: Could not create logical time implementation; Federate name already in use; The specified federation execution does not exist; FOM module inconsistent with current FDD; Invalid FOM module; Error reading FOM module; Could not locate FOM module indicated by supplied designator; Federate save in progress; Federate restore in progress; The federate is already j….,"Executable service test for RTIambassador method(s): joinFederationExecution (4 overloads); include positive path, precondition failure, and clause-defined exception cases.",extracted_preconditions=7; extracted_postconditions=1; extracted_exceptions=13; 2025 Java method(s): joinFederationExecution,covered,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.,service-or-callback,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,present,joinFederationExecution,present,joinFederationExecution; reportFederationExecutionDoesNotExist,present,joinFederationExecution,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Direct repo evidence and executable anchors now close this FI service row; remaining parity/routing work stays outside the covered claim where noted.,Promote to covered only after at least one repo evidence anchor and one executable/fixture test anchor are recorded; umbrella rows require child-row links.
