closure_wave,priority,area,service_group,canonical_disposition,python_runtime_resolution,java_cpp_binding_resolution,hosted_fedpro_resolution,pitch_202x_resolution,backend_resolution_reference,row_count,delta_breakdown,closure_goal,acceptance_gate
0-retired-filter-and-replacement-map,P1,Retired / replacement mapping candidates,Federate Interface legacy API,retired/legacy-only,"retired/legacy-only exclusion, not active runtime ownership",legacy mapping only; not an active behavior-support claim,legacy mapping only; not an active hosted-route claim,legacy mapping only; not an active Pitch proto HLA 4 / 202X behavior-support claim,docs/requirements/ieee-1516-2025/retired_legacy_mapping.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,11,retired=11,"Confirm retired/replacement mapping, decide compatibility mode, and ensure legacy-only item is excluded from 2025 normative coverage counts.","Every row in this group has explicit exclusion-owner evidence, replacement mapping, row-level disposition, and compatibility-only promotion semantics reviewed."
0-retired-filter-and-replacement-map,P1,Retired / replacement mapping candidates,OMT legacy schema,retired/legacy-only,"retired/legacy-only exclusion, not active runtime ownership",legacy mapping only; not an active behavior-support claim,legacy mapping only; not an active hosted-route claim,legacy mapping only; not an active Pitch proto HLA 4 / 202X behavior-support claim,docs/requirements/ieee-1516-2025/retired_legacy_mapping.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv,13,retired=13,"Confirm retired/replacement mapping, decide compatibility mode, and ensure legacy-only item is excluded from 2025 normative coverage counts.","Every row in this group has explicit exclusion-owner evidence, replacement mapping, row-level disposition, and compatibility-only promotion semantics reviewed."
1-fi-service-and-binding-disposition,P0,Callback/configuration/binding deltas,Callback model and bindings,duplicate/umbrella,not a standalone runtime claim; resolve through child FI service rows and bounded callback notes,binding/callback umbrella only; resolve backend support through child FI rows and binding notes,not a standalone hosted-route claim; use child FI rows where hosted parity is actually claimed,umbrella only; any Pitch proto HLA 4 / 202X claim must resolve through child FI rows and binding boundary notes,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,9,binding-specific=2; modified=3; new=4,Tie delta theme to concrete FI service rows and binding-specific tests; do not count as proof by itself.,"Every row in this group has explicit owner-doc evidence, row-level disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed."
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Declaration management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,4,new=4,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Federation management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,9,modified=6; new=3,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Object management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,5,modified=2; new=3,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Support services,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,31,carry-forward=4; modified=13; new=14,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P0,Federate Interface service catalog,Time management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,2,modified=1; new=1,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
1-fi-service-and-binding-disposition,P1,Callback/configuration/binding deltas,Callback model and bindings,duplicate/umbrella,not a standalone runtime claim; resolve through child FI service rows and bounded callback notes,binding/callback umbrella only; resolve backend support through child FI rows and binding notes,not a standalone hosted-route claim; use child FI rows where hosted parity is actually claimed,umbrella only; any Pitch proto HLA 4 / 202X claim must resolve through child FI rows and binding boundary notes,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,3,carry-forward=3,Tie delta theme to concrete FI service rows and binding-specific tests; do not count as proof by itself.,"Every row in this group has explicit owner-doc evidence, row-level disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed."
1-fi-service-and-binding-disposition,P1,Federate Interface service catalog,Data distribution management,covered,grouped row set already has direct python1516_2025 evidence; keep per-service truth in the harmonization ledger,official Java/C++ surfaces are tracked separately in the FI binding matrix; behavior closure stays row-level,FedPro route/support is tracked separately in the FI binding matrix and harmonization ledger,"vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here",docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md; requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md; requirements/2025/harmonization/hla_2025_requirement_disposition_ledger.csv; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,12,carry-forward=12,"Keep the covered row set aligned with the canonical disposition ledger, executable evidence, and truthful scope boundaries.","Every row in this group has evidence_path, test_anchor, and unsupported_boundary/covered/partial disposition reviewed."
