packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516-FW-FW_SCOPE-001,HLA1516-FW-001,IEEE 1516-2010,1.1,FW-SCOPE,FW_RULE_DETAIL,"The HLA implementation shall be scoped as a framework for interoperating federates, federations, object models, and RTI-supported information exchange.",requirements review,tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy,partial,framework.scope,hla_1516_requirements_master_v1_0.csv,"Repo documentation captures the framework boundary and product-set scope, but this framework-wide statement remains broader than the current executable runtime evidence."
HLA1516-FW-FW_PURPOSE-002,HLA1516-FW-001,IEEE 1516-2010,1.2,FW-PURPOSE,FW_RULE_DETAIL,"The implementation shall preserve HLA's purpose of interoperability and reuse by separating federate behavior, federation rules, RTI services, and OMT object-model description.",architecture review,tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy;docs/verification/requirements_hierarchy.md,partial,architecture,hla_1516_requirements_master_v1_0.csv,"The repo documents the separation between framework rules, service semantics, and OMT structure, but the imported purpose statement remains broader than the current direct verification slices."
HLA1516-FW-FW_HLA_COMPONENTS-003,HLA1516-FW-001;HLA1516.1-FM-001;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-OWN-001;HLA1516.1-TM-001;HLA1516.1-DDM-001;HLA1516.1-SUP-001;HLA1516.1-MOM-001;HLA1516.2-OMT-4.0-001,IEEE 1516-2010,1.3,FW-HLA-COMPONENTS,FW_RULE_DETAIL,"Project documentation shall treat IEEE 1516, IEEE 1516.1, and IEEE 1516.2 as an interrelated product set and maintain traceability across them.",traceability audit,tests/verification/test_framework_rule_docs_v1_0.py::test_framework_docs_capture_product_set_scope_and_source_policy;tests/factories/test_fom_omt_parsing.py::test_1516_2_hierarchy_doc_declares_omt_lexicon_and_conformance_boundary,mapped,requirements,hla_1516_requirements_master_v1_0.csv,"Current repo documentation and hierarchy artifacts explicitly treat IEEE 1516, 1516.1, and 1516.2 as one interrelated product set with cross-standard traceability."
HLA1516-FW-FW_OO_RELATIONSHIP-004,HLA1516-OBJ-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OC-4.2-001;HLA1516.2-IC-4.3-001,IEEE 1516-2010,1.4,FW-OO-RELATIONSHIP,FW_RULE_DETAIL,The object model implementation shall distinguish HLA object classes/object instances from programming-language classes/objects.,design review,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim,partial,omt.model,hla_1516_requirements_master_v1_0.csv,"The repo clearly models HLA object and interaction structures independently from Python class semantics, but this cross-domain conceptual statement is still broader than the current direct proof surface."
HLA1516-FW-5_1-DET-001,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,IEEE 1516-2010,5.1,FW-FOM,DET,A federation shall identify the FOM as the contract for all HLA data exchanged during federation execution.,requirements review + integration test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,framework.rules,hla_1516_requirements_master_v1_0.csv,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_1-DET-002,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,IEEE 1516-2010,5.1,FW-FOM,DET,The federation FOM shall be documented using one or more FOM modules and one MOM and Initialization Module.,requirements review + integration test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,framework.rules,hla_1516_requirements_master_v1_0.csv,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_1-DET-003,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,IEEE 1516-2010,5.1,FW-FOM,DET,The FOM shall document the agreement among federates about exchanged data and minimum exchange conditions.,requirements review + integration test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,framework.rules,hla_1516_requirements_master_v1_0.csv,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_1-DET-004,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,IEEE 1516-2010,5.1,FW-FOM,DET,A FOM shall be documented in the OMT format prescribed by IEEE 1516.2-2010.,requirements review + integration test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,framework.rules,hla_1516_requirements_master_v1_0.csv,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-RULE_1_FOM-005,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001,IEEE 1516-2010,5.1,RULE-1-FOM,FW_RULE_DETAIL,Each federation shall have an HLA Federation Object Model documented in accordance with the OMT.,FOM presence validation,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,omt.fom,hla_1516_requirements_master_v1_0.csv,Current repo-native FOM and MIM handling directly satisfies the Rule 1 requirement that each federation operate with an HLA FOM documented via the OMT.
HLA1516-RULE-001,HLA1516-RULE-001;HLA1516.2-OMT-4.0-001;HLA1516.2-OMID-4.1-001;HLA1516.2-MIM-D-001;HLA1516.2-OMT-7-002,IEEE 1516-2010,5.1,FW-FOM,mapped,Federations shall define a FOM documented using the HLA OMT.,review + integration test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_recognizes_standard_omt_component_tables_across_fom_som_and_mim;tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,omt.fom,hla_1516_requirements_master_v1_0.csv,"The current OMT/FOM/MIM parser, merge, and federation-creation evidence directly supports the framework FOM contract and its OMT-based documentation shape."
HLA1516-FW-5_2-DET-001,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,IEEE 1516-2010,5.2,FW-OBJECT-STATE,DET,Simulation-associated object instance attribute values shall reside in joined federates rather than in the RTI.,requirements review + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,partial,framework.rules,hla_1516_requirements_master_v1_0.csv,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-5_2-DET-002,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,IEEE 1516-2010,5.2,FW-OBJECT-STATE,DET,"Joined federate-associated instance attributes shall be owned by federates, except MOM attributes owned by the RTI.",requirements review + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,partial,framework.rules,hla_1516_requirements_master_v1_0.csv,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-5_2-DET-003,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,IEEE 1516-2010,5.2,FW-OBJECT-STATE,DET,"The RTI may maintain data needed to support services, but shall not be the authoritative simulation-state owner.",requirements review + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,partial,framework.rules,hla_1516_requirements_master_v1_0.csv,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-RULE_2_FEDERATE_STATE-006,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-MOM-11.4-001,IEEE 1516-2010,5.2,RULE-2-FEDERATE-STATE,FW_RULE_DETAIL,Object instance representation for simulation-associated state shall reside in federates rather than the RTI except for standard management data.,architecture + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,partial,rti.state_model,hla_1516_requirements_master_v1_0.csv,"Current ownership and MOM slices support the architectural direction of Rule 2, but not every implied state-model consequence is directly isolated today."
HLA1516-RULE-002,HLA1516-RULE-002;HLA1516.1-OWN-7.1-001;HLA1516.1-OWN-7.1-002;HLA1516.1-MOM-11.4-001,IEEE 1516-2010,5.2,FW-OBJECT-STATE,partial,"Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",review + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_rti_for_mom_owned_attribute;tests/backends/test_python_backend_object_ownership_extended.py::test_query_attribute_ownership_reports_owner_for_owned_attribute;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,partial,rti.state_model,hla_1516_requirements_master_v1_0.csv,"Ownership and MOM evidence show the intended split between federate-owned simulation state and RTI-owned management state, but the imported framework rule is broader than the current focused proofs."
HLA1516-FW-5_3-DET-001,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,IEEE 1516-2010,5.3,FW-DATA-EXCHANGE,DET,FOM data exchanged among joined federates during execution shall pass through RTI services.,requirements review + integration test,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,partial,framework.rules,hla_1516_requirements_master_v1_0.csv,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
HLA1516-FW-5_3-DET-002,HLA1516-RULE-003;HLA1516.1-DM-001;HLA1516.1-OM-001;HLA1516.1-DDM-001,IEEE 1516-2010,5.3,FW-DATA-EXCHANGE,DET,Joined federates shall declare the information they provide and require before runtime exchange.,requirements review + integration test,tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_5_service_and_callback_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,partial,framework.rules,hla_1516_requirements_master_v1_0.csv,"The repo directly proves RTI-mediated exchange paths and declaration-driven routing, but the imported framework statements also include broader federate-responsibility language that remains only partially harmonized."
