packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-OM-OVERVIEW-006,HLA1516.1-OM-6.1.1-001;HLA1516.1-OM-6.1.1-002;HLA1516.1-OM-6.1.1-003;HLA1516.1-OM-6.1.1-004;HLA1516.1-OM-6.9-001,IEEE 1516.1-2010,6.1,OM-DISCOVERY,seed,RTI shall discover object instances at subscribed federates when discovery conditions are satisfied.,design review + integration test,tests/backends/test_python_backend_support_services.py::test_discovery_uses_closest_subscribed_superclass_and_known_class_stays_stable;tests/backends/test_python_backend.py::test_two_python_federates_share_in_memory_rti,mapped,object_discovery,hla_1516_requirements_master_v1_0.csv,This imported discovery overview row is directly covered by the repo's current discovery-class and known-object lifecycle tests.
HLA1516.1-OM-OVERVIEW-007,HLA1516.1-OM-6.1.2-001;HLA1516.1-OM-6.1.3-001;HLA1516.1-OM-6.1.4-001;HLA1516.1-OM-6.1.5-001,IEEE 1516.1-2010,6.1,OM-SCOPE,seed,"RTI shall determine instance attribute scope from subscription, DDM, and object-class relevance state.",design review + integration test,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_object_scope_filter_blocks_out_of_scope_reflects_until_regions_overlap;tests/backends/test_python_backend_time_ddm_extended.py::test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,partial,object_scope,hla_1516_requirements_master_v1_0.csv,"This broad object-management scope overview also includes object-class relevance state, which the current repo only covers partially."
HLA1516.1-OM-6_2-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE-OBJECT-INSTANCE-NAME-SERVICE,seed,RTI shall provide the Reserve Object Instance Name service.,unit + federate integration test,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,This imported object-management seed row is aligned to the current Clause 6 service or callback bridge for the same clause.
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-ARG-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,ARG,The implementation shall accept and validate `reserveObjectInstanceName` overload 1 arguments: String theObjectName.,argument validation tests,tests/backends/test_python_backend_time_ddm_extended.py::test_name_reservation_ddm_regions_ownership_and_time_support,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,This imported object-management argument-validation row is directly covered by node-level tests that exercise `reserveObjectInstanceName` success and duplicate-name failure for concrete object-instance names.
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-EFF-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,EFF,The RTI shall manage object instance name reservation state and issue the corresponding success or failure callback without creating an object instance.,state-transition integration tests,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_requirements_master_v1_0.csv,"The runtime effect is partially represented in the coarse Clause 6 ledger, but this packet row compresses multiple state-transition consequences into one detailed requirement."
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-EXC-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,EXC,"The RTI shall raise the standard exceptions exposed by `reserveObjectInstanceName` when the corresponding error conditions occur: IllegalName, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_requirements_master_v1_0.csv,"Negative-path or state-guard evidence exists nearby in the coarse Clause 6 ledger, but this packet row is still broader than the current repo-native requirement wording."
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-MOM-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `reserveObjectInstanceName` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_clause_6_federate_initiated_services_are_observable_through_mom_service_invocation_reporting,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,Direct MOM observer proof now shows this Clause 6 federate-initiated service is emitted through HLAreportServiceInvocation when the invoking federate enables service reporting and a second federate subscribes as witness.
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-PRE-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,PRE,"The RTI shall validate all standard preconditions for `reserveObjectInstanceName`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_requirements_master_v1_0.csv,"Negative-path or state-guard evidence exists nearby in the coarse Clause 6 ledger, but this packet row is still broader than the current repo-native requirement wording."
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-SIG-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,SIG,The implementation shall expose `reserveObjectInstanceName` overload 1 returning `void` with the standard argument shape.,API signature static test,test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the public RTIambassador or FederateAmbassador binding exists and the source-derived Java API metadata records the expected Clause 6 overload shapes.
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-SVC-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,SVC,The RTI shall provide the Reserve Object Instance Name service through the `reserveObjectInstanceName` operation.,unit + integration + API conformance tests,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,The coarse Clause 6 ledger already carries a direct service or callback requirement for this operation.
HLA1516.1-OM-6_2-RESERVEOBJECTINSTANCENAME-TEST-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-RESERVE_OBJECT_INSTANCE_NAME,TEST,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `reserveObjectInstanceName`.",test-suite audit,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,This imported object-management verification row is aligned to the current Clause 6 executable evidence for the same clause.
HLA1516.1-OM-6_2-RTIAPI-001,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-reserveObjectInstanceName,RTI_API,RTI shall expose RTIambassador method `reserveObjectInstanceName` for the Reserve Object Instance Name service.,api conformance test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_6_service_and_callback_signature_metadata_matches_source_bindings;test_clause_6_service_and_callback_signature_metadata_matches_source_bindings,mapped,object_naming,hla_1516_requirements_master_v1_0.csv,This imported object-management RTIambassador surface row is directly covered by the Clause 6 source-binding signature audit.
HLA1516.1-OM-6_2-RTIAPI-001-EFF,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-reserveObjectInstanceName,EFF,"`reserveObjectInstanceName` shall apply the state, routing, advisory, or lifecycle effects specified for the Reserve Object Instance Name service.",state/effect integration test,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_requirements_master_v1_0.csv,"The runtime effect is partially represented in the coarse Clause 6 ledger, but this packet row compresses multiple state-transition consequences into one detailed requirement."
HLA1516.1-OM-6_2-RTIAPI-001-EXC,HLA1516.1-OM-6.2-001,IEEE 1516.1-2010,6.2,OM-reserveObjectInstanceName,EXC_API,`reserveObjectInstanceName` shall define and surface applicable exception conditions: IllegalName; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError.,negative unit/integration tests,test_request_attribute_value_update_rejects_not_connected_not_joined_and_save_restore,partial,object_naming,hla_1516_requirements_master_v1_0.csv,"This imported object-management API-exception row is broader than the current direct negative-path evidence, so it remains partial."
