packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-ARG-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,ARG,TM-ENABLE_TIME_REGULATION,The implementation shall accept and validate `enableTimeRegulation` overload 1 arguments: LogicalTimeInterval theLookahead.,argument validation tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native time-management argument-validation tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-EFF-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,EFF,TM-ENABLE_TIME_REGULATION,"The RTI shall enable the federate to send TSO messages when lookahead and time-regulation preconditions are satisfied, and shall report enablement using the corresponding callback.",state-transition integration tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo time-management tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-EXC-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,EXC,TM-ENABLE_TIME_REGULATION,"The RTI shall raise the standard exceptions exposed by `enableTimeRegulation` when the corresponding error conditions occur: InvalidLookahead, InTimeAdvancingState, RequestForTimeRegulationPending, TimeRegulationAlreadyEnabled, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,partial,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native time-management tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-MOM-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,MOM,TM-ENABLE_TIME_REGULATION,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `enableTimeRegulation` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_services_are_observable_through_mom_service_invocation_reporting;tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native time-management MOM observer tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-PRE-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,PRE,TM-ENABLE_TIME_REGULATION,"The RTI shall validate all standard preconditions for `enableTimeRegulation`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,partial,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Repo-native time-management tests exercise related positive or negative behavior, but this packet row is broader than the current direct evidence."
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-SIG-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,SIG,TM-ENABLE_TIME_REGULATION,The implementation shall expose `enableTimeRegulation` overload 1 returning `void` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_service_and_callback_signature_metadata_matches_source_bindings;tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native time-management signature tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-SVC-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,SVC,TM-ENABLE_TIME_REGULATION,The RTI shall provide the Enable Time Regulation service through the `enableTimeRegulation` operation.,unit + integration + API conformance tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo time-management tests directly exercise this packet slice.
HLA1516.1-TM-8_2-ENABLETIMEREGULATION-TEST-001,HLA1516.1-TM-8.2-001;HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.2,enableTimeRegulation,TEST,TM-ENABLE_TIME_REGULATION,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `enableTimeRegulation`.",test-suite audit,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_enable_time_regulation_rejects_not_connected_not_joined_invalid_lookahead_duplicate_save_restore_and_time_advancing;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Direct node-level positive/negative, observer, and callback-order evidence exists for this service family. The broader PRE and EXC envelope rows remain partial where they still claim more than the current isolated exception surface proves."
HLA1516.1-TM-8_3-TIMEREGULATIONENABLED-CB-001,HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.3,timeRegulationEnabled,CB,TM-TIME_REGULATION_ENABLED,The RTI shall issue the Time Regulation Enabled callback through the federate ambassador `timeRegulationEnabled` operation when the standard callback conditions are satisfied.,callback integration tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management_callbacks,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current time-management callback tests directly exercise this callback family and payload slice.
HLA1516.1-TM-8_3-TIMEREGULATIONENABLED-CB_ORDER-001,HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.3,timeRegulationEnabled,CB_ORDER,TM-TIME_REGULATION_ENABLED,"The RTI shall deliver `timeRegulationEnabled` in the callback model selected by the federate and in an order consistent with standard service, save/restore, time-management, and message-delivery rules.",callback ordering tests,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_enable_and_grant_callbacks_arrive_in_expected_order;tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management_callbacks,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native time-management callback-order tests directly exercise this packet slice.
HLA1516.1-TM-8_3-TIMEREGULATIONENABLED-CB_PAYLOAD-001,HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.3,timeRegulationEnabled,CB_PAYLOAD,TM-TIME_REGULATION_ENABLED,"The RTI shall populate `timeRegulationEnabled` callback arguments consistently with the federation state transition, object instance, attribute, interaction, ownership, or time-management event being reported.",payload verification tests,tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management_callbacks,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current time-management callback tests directly exercise this callback family and payload slice.
HLA1516.1-TM-8_3-TIMEREGULATIONENABLED-CB_SIG-001,HLA1516.1-TM-8.2-002;HLA1516.1-TM-8.2-003,IEEE 1516.1-2010,8.3,timeRegulationEnabled,CB_SIG,TM-TIME_REGULATION_ENABLED,The federate ambassador binding shall expose `timeRegulationEnabled` with return type `void` and standard arguments: LogicalTime time.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_8_service_and_callback_signature_metadata_matches_source_bindings;tests/time/test_mom_mim_and_time_semantics_v010.py::test_section8_core_time_management_surface_covers_callbacks_states_and_grants;tests/backends/test_python_backend_object_ownership_extended.py::test_time_enable_callbacks_are_not_emitted_on_failed_requests,mapped,time_management_callbacks,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native time-management callback-signature tests directly exercise this packet slice.
