id,area,service_group,service_or_check,harmonization_disposition,pitch_202x_row_resolution,pitch_202x_owner_doc,pitch_202x_group_owner,pitch_202x_evidence_packet,pitch_202x_primary_command,pitch_202x_scope_note
HLA2025-FI-SVC-001,Federate Interface service catalog,Federation management,Connect,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-002,Federate Interface service catalog,Federation management,Disconnect,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-003,Federate Interface service catalog,Federation management,Connection Lost †,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-004,Federate Interface service catalog,Federation management,Create Federation Execution,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-005,Federate Interface service catalog,Federation management,Destroy Federation Execution,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-006,Federate Interface service catalog,Federation management,List Federation Executions,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-007,Federate Interface service catalog,Federation management,Report Federation Executions †,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-008,Federate Interface service catalog,Federation management,List Federation Execution Members,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-009,Federate Interface service catalog,Federation management,Report Federation Execution Members †,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
HLA2025-FI-SVC-010,Federate Interface service catalog,Federation management,Join Federation Execution,covered,bounded-fi-overlap-only,docs/requirements/ieee-1516-2025/pitch_202x_bounded_comparison.md,requirements/2025/harmonization/hla_2025_pitch_202x_group_resolution.csv,artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_summary.json; artifacts/pitch_202x_micro_certification/pitch_202x_micro_certification_report.md; packages/hla-vendor-pitch/docs/pitch_vs_python_baseline.md,./tools/pitch 202x-micro-certify,"Pitch proto HLA 4 / 202X may expose this FI-facing route through bounded adapter bridges over the repo Python 2025 runtime, but the current packet does not prove clause-complete service parity for this exact row."
