requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.2-ID-4-001,IEEE 1516.2-2010,4,ID,Object model modules shall contain identification information sufficient to distinguish the module and its provenance,shall,fom_parsing,parser verification,test_parse_fom_xml_requires_and_preserves_model_identification_metadata,mapped
HLA1516.2-OC-4.2-001,IEEE 1516.2-2010,4.2,OC,Object class structure shall preserve class hierarchy and inheritance relationships,shall,fom_parsing,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-OC-4.2-002,IEEE 1516.2-2010,4.2,OC,Object class definitions shall expose declared and inherited attributes consistently through the active catalog,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-IC-4.3-001,IEEE 1516.2-2010,4.3,IC,Interaction class structure shall preserve class hierarchy and inheritance relationships,shall,fom_parsing,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-IC-4.3-002,IEEE 1516.2-2010,4.3,IC,Interaction class definitions shall expose declared and inherited parameters consistently through the active catalog,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-ATTR-4.4-001,IEEE 1516.2-2010,4.4,ATTR,Attribute tables shall preserve attribute names and availability for object class lookup,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-PARAM-4.5-001,IEEE 1516.2-2010,4.5,PARAM,Parameter tables shall preserve parameter names and availability for interaction class lookup,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-DIM-4.6-001,IEEE 1516.2-2010,4.6,DIM,Dimension tables shall preserve routing-space dimension names for active region and DDM use,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-DIM-4.6-002,IEEE 1516.2-2010,4.6,DIM,Dimension names shall be unique within the object model,shall,fom_validation,negative parser validation,test_parse_fom_xml_rejects_duplicate_dimension_names,mapped
HLA1516.2-DT-4.7-001,IEEE 1516.2-2010,4.7,DT,Time representation tables shall preserve logical time implementation selection from the active model,shall,fom_catalog,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.2-SYNC-4.9-001,IEEE 1516.2-2010,4.9,SYNC,Object models shall support declaration of synchronization points,shall,fom_parser,parser verification,test_parse_fom_xml_extracts_synchronization_table_and_merge_summary,mapped
HLA1516.2-SYNC-4.9-002,IEEE 1516.2-2010,4.9,SYNC,Synchronization point names shall be unique within the object model,shall,fom_validator,negative parser validation,test_parse_fom_xml_rejects_duplicate_synchronization_point_labels,mapped
HLA1516.2-SYNC-4.9-003,IEEE 1516.2-2010,4.9,SYNC,Parser shall preserve synchronization point metadata,shall,fom_parser,parser fidelity verification,test_parse_fom_xml_extracts_synchronization_table_and_merge_summary,mapped
