requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.1-DM-5.1-001,IEEE 1516.1-2010,5.1,DM,Joined federates shall use declaration management services to declare intent to generate information,shall,declaration_management,integration test,test_target_radar_runs_on_python_rti,mapped
HLA1516.1-DM-5.1-002,IEEE 1516.1-2010,5.1,DM,A joined federate shall invoke declaration management services before registering objects updating attributes or sending interactions,shall,declaration_management,integration test,test_target_radar_runs_on_python_rti,mapped
HLA1516.1-DM-5.1-003,IEEE 1516.1-2010,5.1,DM,Joined federates shall use declaration management or DDM services before discovering objects reflecting attributes or receiving interactions,shall,declaration_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-DM-5.1-004,IEEE 1516.1-2010,5.1,DM,Declaration management effects shall be independent of federate logical time,shall,declaration_management,time plus integration test,test_declaration_management_effects_apply_while_time_managed,partial
HLA1516.1-DM-5.1.1-001,IEEE 1516.1-2010,5.1.1,DM,Each FDD class shall have at most one immediate superclass,shall,fom_merge plus declaration_management,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.1-DM-5.1.1-002,IEEE 1516.1-2010,5.1.1,DM,Object classes shall expose declared and inherited available attributes,shall,fom_catalog plus declaration_management,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.1-DM-5.1.1-003,IEEE 1516.1-2010,5.1.1,DM,Interaction classes shall expose declared and inherited available parameters,shall,fom_catalog plus declaration_management,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped
HLA1516.1-DM-5.1.2-001,IEEE 1516.1-2010,5.1.2,DM,RTI shall track published object class attributes per joined federate,shall,declaration_management,integration test,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.1.2-002,IEEE 1516.1-2010,5.1.2,DM,RTI shall track subscribed object class attributes per joined federate,shall,declaration_management,integration test,test_declaration_services_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.1.3-001,IEEE 1516.1-2010,5.1.3,DM,RTI shall track published interaction classes per joined federate,shall,declaration_management,integration test,test_publish_unpublish_and_unsubscribe_interaction_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.1.3-002,IEEE 1516.1-2010,5.1.3,DM,RTI shall track subscribed interaction classes per joined federate,shall,declaration_management,integration test,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.1.5-001,IEEE 1516.1-2010,5.1.5,DM,RTI shall support interaction between declaration management subscriptions and DDM subscriptions,shall,declaration_management plus ddm,focused integration test,test_dm_publication_and_ddm_subscriptions_route_object_updates_and_interactions,mapped
HLA1516.1-DM-5.1.6-001,IEEE 1516.1-2010,5.1.6,DM,RTI shall support subscribing with update rate reduction where applicable,shall,declaration_management,design-gap classification,,planned
HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM,RTI shall provide Publish Object Class Attributes,shall,declaration_management,service verification,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.2-002,IEEE 1516.1-2010,5.2,DM,Publish Object Class Attributes shall declare attributes a federate may update for instances of an object class,shall,declaration_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-DM-5.2-003,IEEE 1516.1-2010,5.2,DM,RTI shall reject publication requests for unavailable attributes,shall,declaration_management,negative integration test,test_strict_publication_gates_registration_update_and_interaction_sends,mapped
HLA1516.1-DM-5.3-001,IEEE 1516.1-2010,5.3,DM,RTI shall provide Unpublish Object Class Attributes,shall,declaration_management,service verification,test_declaration_services_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.3-002,IEEE 1516.1-2010,5.3,DM,Unpublishing shall remove the federate ability to update the specified attributes,shall,declaration_management,negative integration test,test_unpublishing_object_class_attributes_prevents_strict_updates,mapped
HLA1516.1-DM-5.4-001,IEEE 1516.1-2010,5.4,DM,RTI shall provide Publish Interaction Class,shall,declaration_management,service verification,test_publish_unpublish_and_unsubscribe_interaction_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.4-002,IEEE 1516.1-2010,5.4,DM,Publication of an interaction class shall permit the federate to send interactions of that class,shall,declaration_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-DM-5.5-001,IEEE 1516.1-2010,5.5,DM,RTI shall provide Unpublish Interaction Class,shall,declaration_management,service verification,test_publish_unpublish_and_unsubscribe_interaction_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.5-002,IEEE 1516.1-2010,5.5,DM,Unpublishing an interaction class shall remove the federate ability to send interactions of that class,shall,declaration_management,negative integration test,test_unpublishing_interaction_class_prevents_strict_sends,mapped
HLA1516.1-DM-5.6-001,IEEE 1516.1-2010,5.6,DM,RTI shall provide Subscribe Object Class Attributes,shall,declaration_management,service verification,test_declaration_services_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.6-002,IEEE 1516.1-2010,5.6,DM,Subscribing to object class attributes shall make matching object instances discoverable when discovery conditions are met,shall,declaration_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-DM-5.6-003,IEEE 1516.1-2010,5.6,DM,Subscribing to object class attributes shall make matching in-scope attribute updates reflectable,shall,declaration_management,integration test,test_two_python_federates_share_in_memory_rti,mapped
HLA1516.1-DM-5.7-001,IEEE 1516.1-2010,5.7,DM,RTI shall provide Unsubscribe Object Class Attributes,shall,declaration_management,service verification,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped
HLA1516.1-DM-5.7-002,IEEE 1516.1-2010,5.7,DM,Unsubscribing shall remove the federate interest in the specified object class attributes,shall,declaration_management,focused integration test,test_unsubscribe_object_class_attributes_removes_interest_in_future_reflections,mapped
HLA1516.1-DM-5.8-001,IEEE 1516.1-2010,5.8,DM,RTI shall provide Subscribe Interaction Class,shall,declaration_management,service verification,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped
