requirement_id,source_document,clause,canonical_topic,current_artifact_id,implementation_refs,test_refs,artifact_refs,status,notes
HLA1516-FW-001,IEEE 1516-2010,Framework concepts,Framework concepts,,docs/verification/verification_plan.md,,analysis/compliance/requirements_matrix_2010.csv,partial,Top-level framework scope is now stated explicitly in the authored framework rules catalog
HLA1516-RULE-001,IEEE 1516-2010,Federation and federate rules,Federation rules,,hla2010/backends/python/federation_lifecycle.py,,analysis/compliance/requirements_matrix_2010.csv,partial,Architectural rule scope is now stated explicitly in the authored framework rules catalog
HLA1516.1-FM-001,IEEE 1516.1-2010,Clause 4,Federation Management,REQ-RTI-FM-4_5-createFederationExecution,hla2010/backends/python/federation_lifecycle.py,tests/verification/test_requirements_ledger_v013.py,analysis/compliance/requirements_ledger.csv; analysis/compliance/requirements_matrix_2010.csv,seeded,Section family seed linked to current generated federation-management service rows
HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,Connect service,HLA1516.1-FM-4.2-001,hla2010/backends/python/federation_lifecycle.py,tests/verification/test_requirements_ledger_v013.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv; analysis/compliance/requirements_ledger.csv,mapped,Clause-level extraction row mapped to current Connect evidence and to the harmonized SIG PRE EFF CB EXC MOM TEST decomposition and to the harmonized FM service decomposition.
HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,Disconnect service,HLA1516.1-FM-4.3-001,hla2010/backends/python/federation_lifecycle.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level extraction row mapped to explicit disconnect behavior and to the harmonized lifecycle decomposition and to the harmonized FM service decomposition.
HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,Create Federation Execution,HLA1516.1-FM-4.5-001,hla2010/backends/python/federation_lifecycle.py,tests/verification/test_requirements_ledger_v013.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv; analysis/compliance/requirements_ledger.csv,mapped,Clause-level extraction row mapped to current create-federation evidence and to the harmonized decomposition tranche and to the harmonized FM service decomposition.
HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,Destroy Federation Execution,HLA1516.1-FM-4.6-001,hla2010/backends/python/federation_lifecycle.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level extraction row mapped to explicit destroy behavior and to the harmonized lifecycle decomposition and to the harmonized FM service decomposition.
HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,Join Federation Execution,HLA1516.1-FM-4.9-001,hla2010/backends/python/federation_lifecycle.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level extraction row mapped to explicit join behavior and to the harmonized lifecycle decomposition and to the harmonized FM service decomposition.
HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,Resign Federation Execution,HLA1516.1-FM-4.10-001,hla2010/backends/python/federation_lifecycle.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level extraction row mapped to explicit resign behavior and to the harmonized lifecycle decomposition and to the harmonized FM service decomposition.
HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,Register Federation Synchronization Point,HLA1516.1-FM-4.11-001,hla2010/backends/python/federation_sync.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level synchronization registration row mapped to explicit negative-path service test and to the harmonized FM service decomposition.
HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,Synchronization Point Registration callbacks,HLA1516.1-FM-4.12-001,hla2010/backends/python/federation_sync.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level synchronization registration callback row mapped to duplicate and invalid-target failure coverage and to the harmonized FM service decomposition.
HLA1516.1-FM-4.13-001,IEEE 1516.1-2010,4.13,Announce Synchronization Point,HLA1516.1-FM-4.13-001,hla2010/backends/python/federation_sync.py,tests/scenarios/test_startup_sync_fom_java_translation_v09.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level synchronization announcement row mapped to late-join announcement coverage and to the harmonized FM service decomposition.
HLA1516.1-FM-4.14-001,IEEE 1516.1-2010,4.14,Synchronization Point Achieved,HLA1516.1-FM-4.14-001,hla2010/backends/python/federation_sync.py,tests/backends/test_python_backend_federation_extended.py,requirements/2010/hla1516_1_priority_clauses_4_8_11.csv; requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,mapped,Clause-level synchronization achievement row mapped to explicit service validation and to the harmonized FM service decomposition.
