category,path_or_owner,name,parent_path,data_type,update_type,ownership,sharing,transportation,order,dimensions,semantics
objectClass,HLAobjectRoot,HLAobjectRoot,,,,,Neither,,,,
objectClass,HLAobjectRoot.HLAmanager,HLAmanager,HLAobjectRoot,,,,Neither,,,,This object class is the root class of all MOM object classes
objectClass,HLAobjectRoot.HLAmanager.HLAfederate,HLAfederate,HLAobjectRoot.HLAmanager,,,,Publish,,,,"This object class shall contain RTI state variables relating to a joined federate. The RTI
                  shall publish it and shall register one object instance for each joined federate in a federation.
                  Dynamic attributes that shall be contained in an object instance shall be updated periodically, where
                  the period should be determined by an interaction of the class
                  HLAmanager.HLAfederate.HLAadjust.HLAsetTiming. If this value is never set or is set to zero, no
                  periodic update shall be performed by the RTI.

                  The RTI shall respond to the invocation, by any federate, of the Request Attribute Value Update
                  service for this object class or for any instance attribute of an object instance of this class by
                  supplying values via the normal instance attribute update mechanism, regardless of whether the
                  attribute has a data type of static, periodic, or conditional. In addition to its responsibility to
                  update attributes of object instances of this class when those updates are explicitly requested, the
                  RTI shall automatically update instance attributes of object instances of this class according to the
                  update policy of the attribute, which is determined by the update type of the class attribute in Table
                  6. For those attributes that have an update type of Periodic, the update wall-clock time interval
                  shall be determined by the HLAreportPeriod parameter in an interaction of classHLAmanager.HLAfederate.
                  HLAadjust.HLAsetTiming. If this value is never set or is set to zero, no periodic updates shall be
                  performed by the RTI. Those attributes that have an update type of Conditional shall have update
                  conditions as defined in the Table 6."
objectClass,HLAobjectRoot.HLAmanager.HLAfederation,HLAfederation,HLAobjectRoot.HLAmanager,,,,Publish,,,,"This object class shall contain RTI state variables relating to a federation execution. The
                  RTI shall publish it and shall register one object instance for the federation execution. The RTI
                  shall respond to the invocation, by any federate, of the Request Attribute Value Update service for
                  this object class or for any instance attribute of an object instance of this class by supplying
                  values via the normal instance attribute update mechanism, regardless of whether the attribute has a
                  data type of static or conditional. In addition to its responsibility to update attributes of object
                  instances of this class when those updates are explicitly requested, the RTI shall automatically
                  update instance attributes of object instances of this class according to the update policy of the
                  attribute, which is determined by the update type of the class attribute in Table 6. Those attributes
                  that have an update type of Conditional shall have update conditions as defined in the Table 6."
attribute,HLAobjectRoot,HLAprivilegeToDeleteObject,,HLAtoken,Static,DivestAcquire,PublishSubscribe,HLAreliable,TimeStamp,,
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAfederateHandle,,HLAhandle,Static,NoTransfer,Publish,HLAreliable,Receive,,Handle of the joined federate returned by a Join Federation Execution service invocation
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAfederateName,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,Name of the joined federate supplied to a successful Join Federation Execution service invocation
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAfederateType,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,Type of the joined federate specified by the joined federate when it joined the federation
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAfederateHost,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,Host name of the computer on which the joined federate is executing
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLARTIversion,,HLAunicodeString,Static,NoTransfer,Publish,HLAreliable,Receive,,Version of the RTI software being used
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAFOMmoduleDesignatorList,,HLAmoduleDesignatorList,Static,NoTransfer,Publish,HLAreliable,Receive,,"FOM Module designators as specified by the federate when the Join Federation Execution
                     service was invoked. If several identical FOM modules are provided only the designator of the first
                     of these FOM modules shall be added to the list."
attribute,HLAobjectRoot.HLAmanager.HLAfederate,HLAtimeConstrained,,HLAboolean,Conditional,NoTransfer,Publish,HLAreliable,Receive,,Whether the time advancement of the joined federate is constrained by other joined federates
