requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516.2-OMT-4_1-SEM-001,IEEE 1516.2-2010,4.1,Object Model Template,CAP-OMT,OMT-MODEL-ID,"OMT parser shall capture, validate, and preserve object model identification metadata for FOM, SOM, and MIM modules.",shall,omt.model_identification,parser unit + schema validation test,TEST-OMT-4_1-SEM-001,Draft,P0,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.1,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_2-SEM-002,IEEE 1516.2-2010,4.2,Object Model Template,CAP-OMT,OMT-OBJECTS,OMT parser shall construct the object class hierarchy under ObjectRoot and preserve superclass relationships.,shall,omt.object_classes,parser unit + schema validation test,TEST-OMT-4_2-SEM-002,Draft,P0,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.2,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_3-SEM-003,IEEE 1516.2-2010,4.3,Object Model Template,CAP-OMT,OMT-INTERACTIONS,OMT parser shall construct the interaction class hierarchy under InteractionRoot and preserve superclass relationships.,shall,omt.interaction_classes,parser unit + schema validation test,TEST-OMT-4_3-SEM-003,Draft,P0,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.3,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_4-SEM-004,IEEE 1516.2-2010,4.4,Object Model Template,CAP-OMT,OMT-ATTRIBUTES,"OMT parser shall bind attributes to valid object classes, datatypes, dimensions, update policies, transportation types, and order types.",shall,omt.attributes,parser unit + schema validation test,TEST-OMT-4_4-SEM-004,Draft,P0,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.4,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_5-SEM-005,IEEE 1516.2-2010,4.5,Object Model Template,CAP-OMT,OMT-PARAMETERS,OMT parser shall bind parameters to valid interaction classes and datatypes.,shall,omt.parameters,parser unit + schema validation test,TEST-OMT-4_5-SEM-005,Draft,P0,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.5,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_6-SEM-006,IEEE 1516.2-2010,4.6,Object Model Template,CAP-OMT,OMT-DIMENSIONS,OMT parser shall capture dimensions and make them available to DDM validation and support services.,shall,omt.dimensions,parser unit + schema validation test,TEST-OMT-4_6-SEM-006,Draft,P0,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.6,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_7-SEM-007,IEEE 1516.2-2010,4.7,Object Model Template,CAP-OMT,OMT-TIME,OMT parser shall capture logical time representation and factory metadata used by federation execution creation.,shall,omt.time_representation,parser unit + schema validation test,TEST-OMT-4_7-SEM-007,Draft,P1,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.7,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_8-SEM-008,IEEE 1516.2-2010,4.8,Object Model Template,CAP-OMT,OMT-TAGS,OMT parser shall capture user-supplied tag representation metadata used by tagged RTI services.,shall,omt.tags,parser unit + schema validation test,TEST-OMT-4_8-SEM-008,Draft,P1,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.8,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_9-SEM-009,IEEE 1516.2-2010,4.9,Object Model Template,CAP-OMT,OMT-SYNC,OMT parser shall capture synchronization point declarations and preserve their uniqueness.,shall,omt.synchronization,parser unit + schema validation test,TEST-OMT-4_9-SEM-009,Draft,P1,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.9,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
HLA1516.2-OMT-4_10-SEM-010,IEEE 1516.2-2010,4.10,Object Model Template,CAP-OMT,OMT-TRANSPORT,OMT parser shall capture transportation type definitions referenced by attributes and interactions.,shall,omt.transportation_types,parser unit + schema validation test,TEST-OMT-4_10-SEM-010,Draft,P1,v1.0 engineering OMT clause codification.,omt_clause_detail,,IEEE 1516.2 clause 4.10,,schema/parser,static,no,Cross-check parser behavior against OMT/FDD/DIF XSD and example FOM/SOM modules.
