standard,clause,title,document_area,normative_status,priority,detail_status_v1_0,rows_in_catalog_v1_0,decomposition_level,next_action,notes
IEEE 1516-2010,1,Overview,Framework and Rules,normative,P1,codified,4,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,2,Normative references,Framework and Rules,normative,P2,referenced,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,3,"Definitions, acronyms, and abbreviations",Framework and Rules,normative,P1,glossary seeded,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,4,Summary of the HLA rules,Framework and Rules,normative,P0,codified,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,5,Federation rules,Framework and Rules,normative,P0,codified,25,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,6,Federate rules,Framework and Rules,normative,P0,codified,22,clause + service + artifact,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,Annex A,Rationale,Framework and Rules,informative,P2,tracked,1,clause + service + artifact,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516-2010,Annex B,Bibliography,Framework and Rules,informative,P3,tracked,1,clause + service + artifact,Keep for rationale/context; do not treat as mandatory unless referenced by a normative clause.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,1,Overview,Federate Interface,normative,P1,codified,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,2,Normative references,Federate Interface,normative,P2,referenced,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,3,"Definitions, abbreviations and acronyms",Federate Interface,normative,P1,glossary seeded,0,tracked/no direct rows,Review against source clause wording; refine glossary/reference rows as needed.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,4,Federation management,Federate Interface,normative,P0,detailed decomposition,675,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,5,Declaration management,Federate Interface,normative,P0,detailed decomposition,226,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,6,Object management,Federate Interface,normative,P0,detailed decomposition,435,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,7,Ownership management,Federate Interface,normative,P0,detailed decomposition,245,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
IEEE 1516.1-2010,8,Time management,Federate Interface,normative,P0,detailed decomposition,324,clause + service + artifact,Peer review exact paragraph traceability and split remaining service exceptions into one row per exception where useful.,All major clauses accounted for in v1.0 tracker.
