id,area,service_group,service_or_check,clause,page,delta_type,harmonization_disposition,priority,closure_wave,known_seed_slice,official_java_surface,official_cpp_surface,official_fedpro_surface,unsupported_boundary_candidate,suggested_repo_evidence_path,closure_task,disposition_rationale
HLA2025-FI-SVC-001,Federate Interface service catalog,Federation management,Connect,4.2,51,modified,covered,P0,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.
HLA2025-FI-SVC-002,Federate Interface service catalog,Federation management,Disconnect,4.3,52,modified,covered,P0,1-fi-service-and-binding-disposition,2025-connection-lifecycle-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connection-lifecycle-services.
HLA2025-FI-SVC-003,Federate Interface service catalog,Federation management,Connection Lost †,4.4,52,modified,covered,P0,1-fi-service-and-binding-disposition,2025-connection-lifecycle-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connection-lifecycle-services.
HLA2025-FI-SVC-004,Federate Interface service catalog,Federation management,Create Federation Execution,4.5,53,modified,covered,P0,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.
HLA2025-FI-SVC-005,Federate Interface service catalog,Federation management,Destroy Federation Execution,4.6,54,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.
HLA2025-FI-SVC-006,Federate Interface service catalog,Federation management,List Federation Executions,4.7,55,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.
HLA2025-FI-SVC-007,Federate Interface service catalog,Federation management,Report Federation Executions †,4.8,55,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-connect-and-federation-catalog-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.
HLA2025-FI-SVC-008,Federate Interface service catalog,Federation management,List Federation Execution Members,4.9,56,new,covered,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.
HLA2025-FI-SVC-009,Federate Interface service catalog,Federation management,Report Federation Execution Members †,4.10,56,new,covered,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.
HLA2025-FI-SVC-010,Federate Interface service catalog,Federation management,Join Federation Execution,4.11,57,modified,covered,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.
HLA2025-FI-SVC-011,Federate Interface service catalog,Federation management,Resign Federation Execution,4.12,58,modified,covered,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.
HLA2025-FI-SVC-012,Federate Interface service catalog,Federation management,Federate Resigned †,4.13,60,new,covered,P0,1-fi-service-and-binding-disposition,2025-federate-membership-and-resign-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.
HLA2025-FI-SVC-013,Federate Interface service catalog,Federation management,Register Federation Synchronization Point,4.14,60,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-synchronization-point-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-synchronization-point-services.
HLA2025-FI-SVC-014,Federate Interface service catalog,Federation management,Confirm Synchronization Point Registration †,4.15,61,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-synchronization-point-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-synchronization-point-services.
HLA2025-FI-SVC-015,Federate Interface service catalog,Federation management,Announce Synchronization Point †,4.16,62,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-synchronization-point-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-synchronization-point-services.
HLA2025-FI-SVC-016,Federate Interface service catalog,Federation management,Synchronization Point Achieved,4.17,63,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-synchronization-point-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-synchronization-point-services.
HLA2025-FI-SVC-017,Federate Interface service catalog,Federation management,Federation Synchronized †,4.18,64,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-synchronization-point-services,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-synchronization-point-services.
HLA2025-FI-SVC-018,Federate Interface service catalog,Federation management,Request Federation Save,4.19,65,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-019,Federate Interface service catalog,Federation management,Initiate Federate Save †,4.20,67,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-020,Federate Interface service catalog,Federation management,Federate Save Begun,4.21,67,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-021,Federate Interface service catalog,Federation management,Federate Save Complete,4.22,68,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-022,Federate Interface service catalog,Federation management,Federation Saved †,4.23,69,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
HLA2025-FI-SVC-023,Federate Interface service catalog,Federation management,Abort Federation Save,4.24,70,carry-forward,covered,P1,1-fi-service-and-binding-disposition,2025-save-restore-lifecycle,present,present,present,no,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Keep the harmonization row linked to the recorded finish-line slice and executable evidence; extend parity work only where explicitly claimed.,Repo evidence and executable anchors are recorded in 2025-save-restore-lifecycle.
