requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516.1-DM-5_1-SEM-001,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,Joined federates shall use Declaration Management services to declare intent to generate information.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-001,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-002,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall complete required publication declarations before registering object instances.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-002,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-003,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall complete required publication declarations before updating instance attribute values.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-003,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-004,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall complete required publication declarations before sending interactions.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-004,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-005,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall use Declaration Management or Data Distribution Management services to declare intent to receive information.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-005,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-006,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,"A joined federate may use DM only, DDM only, or both DM and DDM to declare receive interest.",may,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-006,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-007,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall complete required DM or DDM subscription declarations before discovering object instances.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-007,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-008,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall complete required DM or DDM subscription declarations before reflecting instance attribute values.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-008,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-009,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,A joined federate shall complete required DM or DDM subscription declarations before receiving interactions.,shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-009,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 paragraph 1,Declaration Management Overview,semantic,static;native,no,
HLA1516.1-DM-5_1-SEM-010,IEEE 1516.1-2010,5.1,Federate Interface Specification,CAP-DM,DM-OVERVIEW,"The RTI shall use DM, DDM, Object Management, Ownership Management, and the FDD hierarchies to determine allowed object registration classes.",shall,rti.declaration_management.state_model,unit + integration state-transition test,TEST-HLA1516.1-DM-5_1-SEM-010,planned,P1,Detailed Clause 5 extraction v0.4 from IEEE 1516.1-2010 Clause 5.1.,SEM,,5.1 bullet list,Declaration Management Overview,semantic,static;native,no,
