packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,source_detail,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.2-OMT-4_1-SEM-001,HLA1516.2-OMID-4.1-001;HLA1516.2-OMID-4.1-002;HLA1516.2-OMID-4.1-003;HLA1516.2-OMID-4.1-004,IEEE 1516.2-2010,4.1,OMT-MODEL-ID,omt_clause_detail,IEEE 1516.2 clause 4.1,"OMT parser shall capture, validate, and preserve object model identification metadata for FOM, SOM, and MIM modules.",parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_requires_and_preserves_model_identification_metadata;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_identification_names_and_reference_datatypes;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_emits_schema_valid_xml_and_preserves_identification,mapped,omt.model_identification,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_2-SEM-002,HLA1516.2-OC-4.2-001;HLA1516.2-OC-4.2-002;HLA1516.2-OCS-4.2-001;HLA1516.2-OCS-4.2-002;HLA1516.2-OCS-4.2-003;HLA1516.2-OCS-4.2-004;HLA1516.2-OCS-4.2-005,IEEE 1516.2-2010,4.2,OMT-OBJECTS,omt_clause_detail,IEEE 1516.2 clause 4.2,OMT parser shall construct the object class hierarchy under ObjectRoot and preserve superclass relationships.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_multiple_top_level_object_classes;tests/factories/test_fom_omt_parsing.py::test_generate_fom_overview_writes_merged_target_radar_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_object_class_names_in_same_hierarchy,mapped,omt.object_classes,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_3-SEM-003,HLA1516.2-IC-4.3-001;HLA1516.2-IC-4.3-002;HLA1516.2-ICS-4.3-001;HLA1516.2-ICS-4.3-002;HLA1516.2-ICS-4.3-003;HLA1516.2-ICS-4.3-004;HLA1516.2-ICS-4.3-005,IEEE 1516.2-2010,4.3,OMT-INTERACTIONS,omt_clause_detail,IEEE 1516.2 clause 4.3,OMT parser shall construct the interaction class hierarchy under InteractionRoot and preserve superclass relationships.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_multiple_top_level_interaction_classes;tests/factories/test_fom_omt_parsing.py::test_generate_fom_overview_writes_merged_target_radar_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_interaction_class_names_in_same_hierarchy,mapped,omt.interaction_classes,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_4-SEM-004,HLA1516.2-ATTR-4.4-001,IEEE 1516.2-2010,4.4,OMT-ATTRIBUTES,omt_clause_detail,IEEE 1516.2 clause 4.4,"OMT parser shall bind attributes to valid object classes, datatypes, dimensions, update policies, transportation types, and order types.",parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped,omt.attributes,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_5-SEM-005,HLA1516.2-PARAM-4.5-001,IEEE 1516.2-2010,4.5,OMT-PARAMETERS,omt_clause_detail,IEEE 1516.2 clause 4.5,OMT parser shall bind parameters to valid interaction classes and datatypes.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory,mapped,omt.parameters,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_6-SEM-006,HLA1516.2-DIM-4.6-001;HLA1516.2-DIM-4.6-002,IEEE 1516.2-2010,4.6,OMT-DIMENSIONS,omt_clause_detail,IEEE 1516.2 clause 4.6,OMT parser shall capture dimensions and make them available to DDM validation and support services.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_dimension_names,mapped,omt.dimensions,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_7-SEM-007,HLA1516.2-DT-4.7-001;HLA1516.2-TIME-4.7-001;HLA1516.2-TIME-4.7-002;HLA1516.2-TIME-4.7-003,IEEE 1516.2-2010,4.7,OMT-TIME,omt_clause_detail,IEEE 1516.2 clause 4.7,OMT parser shall capture logical time representation and factory metadata used by federation execution creation.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_identification_names_and_reference_datatypes,mapped,omt.time_representation,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_8-SEM-008,HLA1516.2-TAG-4.8-001;HLA1516.2-TAG-4.8-002;HLA1516.2-TAG-4.8-003,IEEE 1516.2-2010,4.8,OMT-TAGS,omt_clause_detail,IEEE 1516.2 clause 4.8,OMT parser shall capture user-supplied tag representation metadata used by tagged RTI services.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_tag_table_and_merge_summary;tests/factories/test_fom_omt_parsing.py::test_python_backend_validates_declared_user_tag_encoding_for_updates_and_interactions,mapped,omt.tags,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_9-SEM-009,HLA1516.2-SYNC-4.9-001;HLA1516.2-SYNC-4.9-002;HLA1516.2-SYNC-4.9-003;HLA1516.2-SYNC-4.9-004;HLA1516.2-SYNC-4.9-005,IEEE 1516.2-2010,4.9,OMT-SYNC,omt_clause_detail,IEEE 1516.2 clause 4.9,OMT parser shall capture synchronization point declarations and preserve their uniqueness.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_synchronization_table_and_merge_summary;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_synchronization_point_labels;tests/factories/test_fom_omt_parsing.py::test_serialize_fom_module_preserves_metadata_subset_across_round_trip,mapped,omt.synchronization,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
HLA1516.2-OMT-4_10-SEM-010,HLA1516.2-TRANS-4.10-001;HLA1516.2-TRANS-4.10-002;HLA1516.2-TRANS-4.10-003;HLA1516.2-TRANS-4.10-004;HLA1516.2-TRANS-4.10-005;HLA1516.2-TRANS-4.10-006,IEEE 1516.2-2010,4.10,OMT-TRANSPORT,omt_clause_detail,IEEE 1516.2 clause 4.10,OMT parser shall capture transportation type definitions referenced by attributes and interactions.,parser unit + schema validation test,tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_duplicate_transportation_names;tests/factories/test_fom_omt_parsing.py::test_support_lookups_round_trip_class_handle_and_name;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_undefined_attribute_transportation_reference;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_rejects_undefined_interaction_transportation_reference,mapped,omt.transportation_types,hla_1516_omt_xml_detailed_requirements_v1_0.csv,"Current repo-native 1516.2 parser, merge, MIM, or schema tests directly cover this clause-level packet slice through curated OMT rows."
