test_id,requirement_id,capability,feature,test_level,transport,status,expected_evidence,verification_notes
TEST-FW-RULE-001-NATIVE,HLA1516-RULE-001,CAP-FW,FW-FOM,review + integration test,native,planned,Verify HLA1516-RULE-001: Federations shall define a FOM documented using the HLA OMT.,
TEST-FW-RULE-002-NATIVE,HLA1516-RULE-002,CAP-FW,FW-OBJECT-STATE,review + integration test,native,planned,"Verify HLA1516-RULE-002: Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",
TEST-FW-RULE-003-NATIVE,HLA1516-RULE-003,CAP-FW,FW-DATA-EXCHANGE,review + integration test,native,planned,"Verify HLA1516-RULE-003: During execution, exchange of FOM-defined data among joined federates shall occur through RTI services.",
TEST-FW-RULE-004-NATIVE,HLA1516-RULE-004,CAP-FW,FW-INTERFACE,review + integration test,native,planned,Verify HLA1516-RULE-004: Joined federates shall interact with the RTI through the standard HLA federate interface.,
TEST-FW-RULE-005-NATIVE,HLA1516-RULE-005,CAP-FW,FW-OWNERSHIP,review + integration test,native,planned,Verify HLA1516-RULE-005: An object instance attribute shall be owned by at most one joined federate at a time.,
TEST-FW-RULE-006-NATIVE,HLA1516-RULE-006,CAP-FW,FW-SOM,review + integration test,native,planned,Verify HLA1516-RULE-006: Federates shall define a SOM documented using the HLA OMT.,
TEST-FW-RULE-007-NATIVE,HLA1516-RULE-007,CAP-FW,FW-PUBSUB,review + integration test,native,planned,"Verify HLA1516-RULE-007: Federates shall support the update, reflection, sending, or receipt capabilities described in their SOMs.",
TEST-FW-RULE-008-NATIVE,HLA1516-RULE-008,CAP-FW,FW-OWNERSHIP-DYNAMIC,review + integration test,native,planned,Verify HLA1516-RULE-008: Federates shall support dynamic ownership transfer or acceptance as described in their SOMs.,
TEST-FW-RULE-009-NATIVE,HLA1516-RULE-009,CAP-FW,FW-UPDATE-CONDITIONS,review + integration test,native,planned,Verify HLA1516-RULE-009: Federates shall be able to vary update conditions described in their SOMs.,
TEST-FW-RULE-010-NATIVE,HLA1516-RULE-010,CAP-FW,FW-TIME,review + integration test,native,planned,Verify HLA1516-RULE-010: Federates shall manage local time in a manner compatible with federation time coordination.,
TEST-FM-4_2-001-NATIVE,HLA1516.1-FM-4_2-001,CAP-FM,FM-CONNECT-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_2-001: RTI shall provide the Connect service.,
TEST-FM-4_3-001-NATIVE,HLA1516.1-FM-4_3-001,CAP-FM,FM-DISCONNECT-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_3-001: RTI shall provide the Disconnect service.,
TEST-FM-4_4-001-NATIVE,HLA1516.1-FM-4_4-001,CAP-FM,FM-CONNECTION-LOST-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_4-001: RTI shall issue the Connection Lost callback service.,
TEST-FM-4_5-001-NATIVE,HLA1516.1-FM-4_5-001,CAP-FM,FM-CREATE-FEDERATION-EXECUTION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_5-001: RTI shall provide the Create Federation Execution service.,
TEST-FM-4_6-001-NATIVE,HLA1516.1-FM-4_6-001,CAP-FM,FM-DESTROY-FEDERATION-EXECUTION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_6-001: RTI shall provide the Destroy Federation Execution service.,
TEST-FM-4_7-001-NATIVE,HLA1516.1-FM-4_7-001,CAP-FM,FM-LIST-FEDERATION-EXECUTIONS-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_7-001: RTI shall provide the List Federation Executions service.,
TEST-FM-4_8-001-NATIVE,HLA1516.1-FM-4_8-001,CAP-FM,FM-REPORT-FEDERATION-EXECUTIONS-CALLBACK-SE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_8-001: RTI shall issue the Report Federation Executions callback service.,
TEST-FM-4_9-001-NATIVE,HLA1516.1-FM-4_9-001,CAP-FM,FM-JOIN-FEDERATION-EXECUTION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_9-001: RTI shall provide the Join Federation Execution service.,
TEST-FM-4_10-001-NATIVE,HLA1516.1-FM-4_10-001,CAP-FM,FM-RESIGN-FEDERATION-EXECUTION-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_10-001: RTI shall provide the Resign Federation Execution service.,
TEST-FM-4_12-001-NATIVE,HLA1516.1-FM-4_12-001,CAP-FM,FM-CONFIRM-SYNCHRONIZATION-POINT-REGISTRATI,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_12-001: RTI shall issue the Confirm Synchronization Point Registration callback service.,
TEST-FM-4_13-001-NATIVE,HLA1516.1-FM-4_13-001,CAP-FM,FM-ANNOUNCE-SYNCHRONIZATION-POINT-CALLBACK-,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_13-001: RTI shall issue the Announce Synchronization Point callback service.,
TEST-FM-4_14-001-NATIVE,HLA1516.1-FM-4_14-001,CAP-FM,FM-SYNCHRONIZATION-POINT-ACHIEVED-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_14-001: RTI shall provide the Synchronization Point Achieved service.,
TEST-FM-4_15-001-NATIVE,HLA1516.1-FM-4_15-001,CAP-FM,FM-FEDERATION-SYNCHRONIZED-CALLBACK-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_15-001: RTI shall issue the Federation Synchronized callback service.,
