requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.1-OWN-7.1-001,IEEE 1516.1-2010 (2010 edition),7.1,OWN,RTI shall track ownership of object instance attributes,shall,ownership_runtime,integration test,test_name_reservation_ddm_regions_ownership_and_time_support,mapped
HLA1516.1-OWN-7.1-002,IEEE 1516.1-2010 (2010 edition),7.1,OWN,At most one federate may own a given attribute of a given object instance at a time,shall,ownership_runtime,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.1-003,IEEE 1516.1-2010 (2010 edition),7.1,OWN,A federate shall update only attributes it owns,shall,object_update_ownership,negative integration test,test_update_attribute_values_rejects_not_connected_not_joined_unknown_object_invalid_time_not_owned_and_save_restore,mapped
HLA1516.1-OWN-7.2-001,IEEE 1516.1-2010 (2010 edition),7.2,OWN,RTI shall provide unconditional attribute ownership divestiture,shall,ownership_runtime,integration test,test_unconditional_divestiture_query_ownership_and_is_owned_reject_not_connected_not_joined_unknown_object_and_save_restore,mapped
HLA1516.1-OWN-7.3-001,IEEE 1516.1-2010 (2010 edition),7.3,OWN,RTI shall provide negotiated attribute ownership divestiture,shall,ownership_runtime,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.4-001,IEEE 1516.1-2010 (2010 edition),7.4,OWN,RTI shall notify federates when ownership divestiture is requested,shall,ownership_callbacks,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.5-001,IEEE 1516.1-2010 (2010 edition),7.5,OWN,RTI shall provide attribute ownership acquisition,shall,ownership_runtime,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.6-001,IEEE 1516.1-2010 (2010 edition),7.6,OWN,RTI shall provide attribute ownership acquisition if available,shall,ownership_runtime,integration test,test_python_rti_acquisition_if_available_reports_unavailable_without_transfer,mapped
HLA1516.1-OWN-7.7-001,IEEE 1516.1-2010 (2010 edition),7.7,OWN,RTI shall notify a federate when ownership acquisition succeeds,shall,ownership_callbacks,integration test,test_python_rti_negotiated_ownership_tracks_divesting_and_candidate_flows,mapped
HLA1516.1-OWN-7.7-002,IEEE 1516.1-2010 (2010 edition),7.7,OWN,RTI shall not invoke attributeOwnershipAcquisitionNotification when the owning federate denies release and acquisition does not complete,shall not,ownership_callbacks,negative integration test,test_python_rti_release_denied_preserves_owner_and_no_acquisition_grant,mapped
