packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-CPP-4_2-CONNECT-001,HLA1516.1-FM-001,IEEE 1516.1-2010,4.2,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::connect` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_3-DISCONNECT-002,HLA1516.1-FM-001,IEEE 1516.1-2010,4.3,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::disconnect` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_4-CONNECTIONLOST-152,HLA1516.1-FM-001,IEEE 1516.1-2010,4.4,API-CPP,CPP_METHOD,The C++ API binding shall declare `FederateAmbassador::connectionLost` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_5-CREATEFEDERATIONEXECUTION-003,HLA1516.1-FM-001,IEEE 1516.1-2010,4.5,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::createFederationExecution` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_5-CREATEFEDERATIONEXECUTION-004,HLA1516.1-FM-001,IEEE 1516.1-2010,4.5,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::createFederationExecution` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_5-CREATEFEDERATIONEXECUTIONWITHMIM-005,HLA1516.1-FM-001,IEEE 1516.1-2010,4.5,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::createFederationExecutionWithMIM` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_6-DESTROYFEDERATIONEXECUTION-006,HLA1516.1-FM-001,IEEE 1516.1-2010,4.6,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::destroyFederationExecution` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_7-LISTFEDERATIONEXECUTIONS-007,HLA1516.1-FM-001,IEEE 1516.1-2010,4.7,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::listFederationExecutions` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_8-REPORTFEDERATIONEXECUTIONS-153,HLA1516.1-FM-001,IEEE 1516.1-2010,4.8,API-CPP,CPP_METHOD,The C++ API binding shall declare `FederateAmbassador::reportFederationExecutions` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
HLA1516.1-CPP-4_9-JOINFEDERATIONEXECUTION-008,HLA1516.1-FM-001,IEEE 1516.1-2010,4.9,API-CPP,CPP_METHOD,The C++ API binding shall declare `RTIambassador::joinFederationExecution` with the standard signature and exception surface.,C++ header static validation,tests/verification/test_spec_traceability_all_methods.py::test_all_generated_ambassador_methods_are_section_mapped;tests/verification/test_requirements_ledger_v013.py::test_requirements_ledger_covers_generated_api_surface,mapped,api/cpp,hla_1516_requirements_master_v1_0.csv,Source-derived raw_api metadata and the generated requirements ledger directly preserve the standard ambassador method signature surface for this binding row.
