packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-DM-OVERVIEW-004,HLA1516.1-DM-001,IEEE 1516.1-2010,5.1,DM-PUBLICATION,seed,RTI shall track object and interaction publication declarations per joined federate.,design review + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators;tests/backends/test_python_backend_object_ownership_extended.py::test_declaration_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_object_ownership_extended.py::test_start_and_stop_registration_callbacks_are_delivered;tests/backends/test_python_backend_object_ownership_extended.py::test_turn_interactions_on_and_off_callbacks_are_delivered,mapped,rti.declaration_management.publication_registry,hla_1516_requirements_master_v1_0.csv,"This imported declaration-management overview row is directly covered by the current declaration publication/subscription state, callback, and MOM observer tests."
HLA1516.1-DM-OVERVIEW-005,HLA1516.1-DM-001,IEEE 1516.1-2010,5.1,DM-SUBSCRIPTION,seed,RTI shall track object and interaction subscription declarations per joined federate.,design review + integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators;tests/backends/test_python_backend_object_ownership_extended.py::test_declaration_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_object_ownership_extended.py::test_start_and_stop_registration_callbacks_are_delivered;tests/backends/test_python_backend_object_ownership_extended.py::test_turn_interactions_on_and_off_callbacks_are_delivered,mapped,rti.declaration_management.subscription_registry,hla_1516_requirements_master_v1_0.csv,"This imported declaration-management overview row is directly covered by the current declaration publication/subscription state, callback, and MOM observer tests."
HLA1516.1-DM-5_2-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH-OBJECT-CLASS-ATTRIBUTES-SERVICE,seed,RTI shall provide the Publish Object Class Attributes service.,unit + federate integration test,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped,rti.declaration_management.publish_object_class_attributes,hla_1516_requirements_master_v1_0.csv,This imported declaration service seed row is aligned to the current Clause 5 service bridge for the same clause.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-ARG-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,ARG,The implementation shall accept and validate `publishObjectClassAttributes` overload 1 arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,argument validation tests,test_declaration_services_validate_declared_handles_attributes_and_update_rate_designators,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Focused declaration-validation test now proves invalid object-class and attribute handles are rejected on the publish-object-class-attributes path.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EFF-001,HLA1516.1-DM-5.2-002,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,EFF,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",state-transition integration tests,test_two_python_federates_share_in_memory_rti,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Current two-federate flow proves publication enables the intended update path.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EXC-001,HLA1516.1-DM-5.2-003,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,EXC,"The RTI shall raise the standard exceptions exposed by `publishObjectClassAttributes` when the corresponding error conditions occur: AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,test_strict_publication_gates_registration_update_and_interaction_sends,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,"The repo proves unavailable-attribute and strict-publication failures, but not the full standard exception surface."
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-MOM-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,MOM,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `publishObjectClassAttributes` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,test_declaration_services_are_observable_through_mom_service_invocation_reporting,mapped,rti/mom/service_reporting,hla_1516_requirements_master_v1_0.csv,Direct MOM observer proof now shows the service invocation is emitted through `HLAreportServiceInvocation` when the invoking federate enables service reporting and a second federate subscribes as witness.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-PRE-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,PRE,"The RTI shall validate all standard preconditions for `publishObjectClassAttributes`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,partial,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,"Current tests cover connection membership and save/restore guards, but not every packet-listed precondition."
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SIG-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,SIG,The implementation shall expose `publishObjectClassAttributes` overload 1 returning `void` with the standard argument shape.,API signature static test,test_clause_5_service_and_callback_signature_metadata_matches_source_bindings,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Static signature audit now proves the binding exists and the source-derived API metadata records the standard Java parameter shape for this Clause 5 service.
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,HLA1516.1-DM-5.2-001,IEEE 1516.1-2010,5.2,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,SVC,The RTI shall provide the Publish Object Class Attributes service through the `publishObjectClassAttributes` operation.,unit + integration + API conformance tests,test_publish_unpublish_unsubscribe_and_interaction_subscription_tail_reject_not_connected_not_joined_and_save_restore,mapped,rti/declaration_management,hla_1516_requirements_master_v1_0.csv,Direct service coverage exists in the declaration-management negative-path tail test.
