matrix_id,kind,document,section_ref,title,requirement_id,service_group,status,implementation_refs,positive_test_refs,negative_test_refs,artifact_refs,linked_methods,linked_assets,claim_scope,supported_subset_for,policy_basis,python_runtime_status,python_runtime_disposition,certi_runtime_status,certi_runtime_disposition,portico_runtime_status,portico_runtime_disposition,pitch_runtime_status,pitch_runtime_disposition,pitch_jpype_runtime_disposition,pitch_py4j_runtime_disposition,vendor_evidence_refs,vendor_notes,vendor_source,vendor_profile_bucket,vendor_profile_refs,vendor_profile_notes,vendor_profile_source,notes,source
AREA-1516.1-4,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §4,Federation management,,Federation management,partial,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,federation_management
AREA-1516.1-5,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §5,Declaration management,,Declaration management,partial,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,declaration_management
AREA-1516.1-6,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §6,Object management,,Object management,partial,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,Exchange,docs/rti_options_and_test_matrix.md,"Python RTI (none, none): yes; Java shim (JPype, none): yes; Java shim (Py4J, none): yes; CERTI (native, subprocess-line): yes; CERTI (JPype facade, subprocess-line): yes; CERTI (Py4J facade, subprocess-line): yes; CERTI hosted (native, `grpc`): yes; CERTI hosted (native, `rest`): seam present; Python RTI hosted (none, `grpc`): yes; Python RTI hosted (none, `rest`): yes; Pitch (JPype, none): yes; Pitch (Py4J, none): yes; Portico (JPype, none): install-dependent; Portico (Py4J, none): install-dependent",docs/rti_options_and_test_matrix.md,,object_management
AREA-1516.1-7,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §7,Ownership management,,Ownership management,pass,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,Ownership,docs/rti_options_and_test_matrix.md,"Python RTI (none, none): yes; Java shim (JPype, none): yes; Java shim (Py4J, none): yes; CERTI (native, subprocess-line): yes; CERTI (JPype facade, subprocess-line): yes; CERTI (Py4J facade, subprocess-line): yes; CERTI hosted (native, `grpc`): yes; CERTI hosted (native, `rest`): not yet explicit; Python RTI hosted (none, `grpc`): yes; Python RTI hosted (none, `rest`): not yet explicit; Pitch (JPype, none): yes; Pitch (Py4J, none): yes; Portico (JPype, none): install-dependent; Portico (Py4J, none): install-dependent",docs/rti_options_and_test_matrix.md,,ownership_management
AREA-1516.1-8,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §8,Time management,,Time management,partial,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,Timed,docs/rti_options_and_test_matrix.md,"Python RTI (none, none): yes; Java shim (JPype, none): partial; Java shim (Py4J, none): partial; CERTI (native, subprocess-line): partial; CERTI (JPype facade, subprocess-line): partial; CERTI (Py4J facade, subprocess-line): partial; CERTI hosted (native, `grpc`): yes; CERTI hosted (native, `rest`): not yet explicit; Python RTI hosted (none, `grpc`): yes; Python RTI hosted (none, `rest`): yes; Pitch (JPype, none): yes; Pitch (Py4J, none): yes; Portico (JPype, none): install-dependent; Portico (Py4J, none): install-dependent",docs/rti_options_and_test_matrix.md,,time_management
AREA-1516.1-9,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §9,Data distribution management,,Data distribution management,pass,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,data_distribution_management
AREA-1516.1-10,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §10,Support services,,Support services,pass,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,support_services
AREA-1516.1-11,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §11,Management object model,,Management object model,pass,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,mom
AREA-1516.1-12,section-area,IEEE 1516.1-2010 (2010 edition),IEEE 1516.1-2010 (2010 edition) §12,Programming language mappings,,Programming language mappings,pass,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,language_mappings
REQ-OMT-4-omt_components,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4,HLA OMT components,REQ-OMT-4-omt_components,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,omt_components
