packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-FM-OVERVIEW-001,HLA1516.1-FM-001;HLA1516-FW-001,IEEE 1516.1-2010,4.1,FM-LIFECYCLE,OVW,"RTI shall manage connected, joined, resigned, and disconnected federate lifecycle states.",design review + integration test,docs/verification/requirements_hierarchy.md;requirements/2010/hla1516_framework_detailed_reconciliation.csv,partial,rti.federation_management.lifecycle,hla_1516_requirements_master_v1_0.csv,"The repo carries broad Federation Management family and framework-rule anchors, but these overview rows remain broader than the current executable clause-level proof surface."
HLA1516.1-FM-OVERVIEW-002,HLA1516.1-FM-001;HLA1516-FW-001,IEEE 1516.1-2010,4.1,FM-MODULES,OVW,RTI shall maintain the current FDD as FOM modules and the standard MIM are accepted.,design review + integration test,docs/verification/requirements_hierarchy.md;requirements/2010/hla1516_framework_detailed_reconciliation.csv,partial,rti.fdd.merge,hla_1516_requirements_master_v1_0.csv,"The repo carries broad Federation Management family and framework-rule anchors, but these overview rows remain broader than the current executable clause-level proof surface."
HLA1516.1-FM-OVERVIEW-003,HLA1516.1-FM-001;HLA1516-FW-001,IEEE 1516.1-2010,4.1,FM-LOST,OVW,RTI shall detect and handle lost federates according to federation-management rules.,design review + integration test,docs/verification/requirements_hierarchy.md;requirements/2010/hla1516_framework_detailed_reconciliation.csv,partial,rti.federation_management.lost_federates,hla_1516_requirements_master_v1_0.csv,"The repo carries broad Federation Management family and framework-rule anchors, but these overview rows remain broader than the current executable clause-level proof surface."
HLA1516.1-FM-4_2-001,HLA1516.1-FM-4.2-SIG-001,IEEE 1516.1-2010,4.2,FM-CONNECT-SERVICE,SVC,RTI shall provide the Connect service.,unit + federate integration test,test_connect_adapts_python_federate_ambassador,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported service-surface row is aligned to the existing Connect Clause 4 decomposition and current API/verification evidence. Paraphrased engineering split of the coarse 4.2 service row.
HLA1516.1-FM-4_2-ARG-001,HLA1516.1-FM-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,ARG,Connect service shall accept and validate supplied argument: Callback model.,unit + negative-path conformance test,requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,partial,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,"No direct Clause 4 decomposition row was found for this imported FM shape, so it remains only partially harmonized against the broad Federation Management family anchor."
HLA1516.1-FM-4_2-ARG-002,HLA1516.1-FM-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,ARG,Connect service shall accept and validate supplied argument: Optional local settings designator.,unit + negative-path conformance test,requirements/2010/hla1516_1_clause_4_fm_service_decomposition.csv,partial,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,"No direct Clause 4 decomposition row was found for this imported FM shape, so it remains only partially harmonized against the broad Federation Management family anchor."
HLA1516.1-FM-4_2-EFF-001,HLA1516.1-FM-4.2-EFF-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,EFF,"On successful Connect service, the RTI shall establish this postcondition: The unjoined federate is connected to the RTI.",state-machine integration test,tests/backends/test_python_backend_federation_extended.py::test_connect_create_and_join_apply_positive_lifecycle_effects,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,Direct node-level lifecycle witness proves successful connect sets connected state and callback model before join.
HLA1516.1-FM-4_2-EXC-001,HLA1516.1-FM-4.2-EXC-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,EXC,Connect service shall report the defined exception/failure condition when applicable: Connection failed.,unit + negative-path conformance test,test_connect_rejects_second_connection_attempt,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported Federation Management row is aligned to the existing Connect Clause 4 decomposition. Explicit exception family captured for harmonized requirement slicing.
HLA1516.1-FM-4_2-EXC-002,HLA1516.1-FM-4.2-EXC-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,EXC,Connect service shall report the defined exception/failure condition when applicable: Unsupported callback model.,unit + negative-path conformance test,test_connect_rejects_second_connection_attempt,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported Federation Management row is aligned to the existing Connect Clause 4 decomposition. Explicit exception family captured for harmonized requirement slicing.
HLA1516.1-FM-4_2-EXC-003,HLA1516.1-FM-4.2-EXC-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,EXC,Connect service shall report the defined exception/failure condition when applicable: Invalid local settings designator.,unit + negative-path conformance test,test_connect_rejects_second_connection_attempt,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported Federation Management row is aligned to the existing Connect Clause 4 decomposition. Explicit exception family captured for harmonized requirement slicing.
HLA1516.1-FM-4_2-EXC-004,HLA1516.1-FM-4.2-EXC-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,EXC,Connect service shall report the defined exception/failure condition when applicable: Already connected.,unit + negative-path conformance test,test_connect_rejects_second_connection_attempt,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported Federation Management row is aligned to the existing Connect Clause 4 decomposition. Explicit exception family captured for harmonized requirement slicing.
HLA1516.1-FM-4_2-EXC-005,HLA1516.1-FM-4.2-EXC-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,EXC,Connect service shall report the defined exception/failure condition when applicable: RTI internal error.,unit + negative-path conformance test,test_connect_rejects_second_connection_attempt,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported Federation Management row is aligned to the existing Connect Clause 4 decomposition. Explicit exception family captured for harmonized requirement slicing.
HLA1516.1-FM-4_2-PRE-001,HLA1516.1-FM-4.2-PRE-001,IEEE 1516.1-2010,4.2,FM-LIFECYCLE,PRE,Connect service shall enforce this precondition before successful completion: Not connected.,unit + negative-path conformance test,test_connect_rejects_second_connection_attempt,mapped,rti.federation_management.connect,hla_1516_requirements_master_v1_0.csv,This imported Federation Management row is aligned to the existing Connect Clause 4 decomposition. Current backend raises AlreadyConnected.
