requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516.1-CPP-5_2-PUBLISHOBJECTCLASSATTRIBUTES-026,IEEE 1516.1-2010 (2010 edition),5.2,C++ API Binding,CAP-API,API-CPP,The C++ API binding shall declare `RTIambassador::publishObjectClassAttributes` with the standard signature and exception surface.,shall,api/cpp,C++ header static validation,TEST-HLA1516_1-CPP-5_2-PUBLISHOBJECTCLASSATTRIBUTES-026,Draft,P1,v1.0 static extraction from official IEEE 1516.1-2010 (2010 edition) C++ API headers.,CPP_METHOD,,"cpp_api/cpp/src/RTI/RTIambassador.h; signature=virtual void publishObjectClassAttributes ( ObjectClassHandle theClass, AttributeHandleSet const & attributeList) throw ( AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError) = 0;; exceptions=AttributeNotDefined; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError",publishObjectClassAttributes,binding/API,static/api,No,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-ARG-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall accept and validate `publishObjectClassAttributes` overload 1 arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList.,shall,rti/declaration_management,argument validation tests,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-ARG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,ARG,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Arguments: ObjectClassHandle theClass; AttributeHandleSet attributeList,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EFF-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall record the publishing federate's object-class attribute declaration and use it when determining permitted registration, update, advisory, and MOM publication-reporting behavior.",shall,rti/declaration_management,state-transition integration tests,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EFF-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EFF,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.2; service=Publish Object Class Attributes; effect family,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EXC-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall raise the standard exceptions exposed by `publishObjectClassAttributes` when the corresponding error conditions occur: AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",shall,rti/declaration_management,exception matrix tests,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-EXC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,EXC,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.2; Java throws=AttributeNotDefined; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Maybe,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-MOM-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `publishObjectClassAttributes` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",shall,rti/mom/service_reporting,MOM observer integration test,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-MOM-001,Draft,P1,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,MOM,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.2; MOM service reporting linkage,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-PRE-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The RTI shall validate all standard preconditions for `publishObjectClassAttributes`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",shall,rti/declaration_management,negative unit tests + exception tests,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-PRE-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,PRE,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.2; service=Publish Object Class Attributes; precondition family,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SIG-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,The implementation shall expose `publishObjectClassAttributes` overload 1 returning `void` with the standard argument shape.,shall,rti/declaration_management,API signature static test,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SIG-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,SIG,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,"Java signature: void publishObjectClassAttributes(ObjectClassHandle theClass, AttributeHandleSet attributeList) throws AttributeNotDefined, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError",publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,No,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,The RTI shall provide the Publish Object Class Attributes service through the `publishObjectClassAttributes` operation.,shall,rti/declaration_management,unit + integration + API conformance tests,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,SVC,,Clause 5.2; service=Publish Object Class Attributes; method=publishObjectClassAttributes,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-TEST-001,IEEE 1516.1-2010 (2010 edition),5.2,Federate Interface Specification,CAP-DM,DM-PUBLISH_OBJECT_CLASS_ATTRIBUTES,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `publishObjectClassAttributes`.",shall,tests/conformance,test-suite audit,TEST-HLA1516_1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-TEST-001,Draft,P0,v1.0 structured decomposition from IEEE 1516.1-2010 (2010 edition) service clause inventory and official Java API catalog.,TEST,HLA1516.1-DM-5_2-PUBLISHOBJECTCLASSATTRIBUTES-SVC-001,Clause 5.2; test coverage seed,publishObjectClassAttributes,federate-initiated,native/grpc/rest-equivalence,Yes,
HLA1516.1-CPP-5_3-UNPUBLISHOBJECTCLASS-027,IEEE 1516.1-2010 (2010 edition),5.3,C++ API Binding,CAP-API,API-CPP,The C++ API binding shall declare `RTIambassador::unpublishObjectClass` with the standard signature and exception surface.,shall,api/cpp,C++ header static validation,TEST-HLA1516_1-CPP-5_3-UNPUBLISHOBJECTCLASS-027,Draft,P1,v1.0 static extraction from official IEEE 1516.1-2010 (2010 edition) C++ API headers.,CPP_METHOD,,"cpp_api/cpp/src/RTI/RTIambassador.h; signature=virtual void unpublishObjectClass ( ObjectClassHandle theClass) throw ( OwnershipAcquisitionPending, ObjectClassNotDefined, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError) = 0;; exceptions=OwnershipAcquisitionPending; ObjectClassNotDefined; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError",unpublishObjectClass,binding/API,static/api,No,
