surface_type,item,status,reuse_action,requirement_action,service_group,2010_section_or_location,2025_section_or_location,2010_detail,2025_detail,notes
OMT serviceUtilization,abortFederationRestore,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.30,4.33,isCallback=false,isCallback=false,"Section changed 4.30 -> 4.33, likely due to inserted 2025 services."
OMT serviceUtilization,abortFederationSave,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.21,4.24,isCallback=false,isCallback=false,"Section changed 4.21 -> 4.24, likely due to inserted 2025 services."
OMT serviceUtilization,announceSynchronizationPoint,Same service / renumbered,Carry forward with reference update,Reuse 2010 behavior requirement; update clause number and any binding-specific references,Federation Management,4.13,4.16,isCallback=true,isCallback=true,"Section changed 4.13 -> 4.16, likely due to inserted 2025 services."
OMT serviceUtilization,associateRegionsForUpdates,Same service,Carry forward,Reuse 2010 behavior requirement,Data Distribution Management,9.6,9.6,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,attributeOwnershipAcquisition,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.8,7.8,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,attributeOwnershipAcquisitionIfAvailable,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.9,7.9,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,attributeOwnershipAcquisitionNotification,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.7,7.7,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,attributeOwnershipDivestitureIfWanted,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.13,7.13,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,attributeOwnershipReleaseDenied,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.12,7.12,isCallback=false,isCallback=false,Same serviceUtilization name and RTI/callback role.
OMT serviceUtilization,attributeOwnershipUnavailable,Same service,Carry forward,Reuse 2010 behavior requirement,Ownership Management,7.10,7.10,isCallback=true,isCallback=true,Same serviceUtilization name and RTI/callback role.
