requirement_id,source_document,clause,topic,requirement_text,normative_keyword,derived_interpretation,implementation_target,verification_method,test_id,status,notes
HLA1516.2-ID-001,IEEE 1516.2-2010 (2010 edition),Clause 4,Object model identification,OMT parser shall capture object model identification metadata sufficient to distinguish the module and preserve provenance,shall,Maps to model identification and module metadata handling,hla2010/fom.py,parser verification,test_parse_fom_xml_requires_and_preserves_model_identification_metadata,partial,omt.model_identification,Curated 1516.2 identification rows now describe the exact parser and round-trip behavior expected.
HLA1516.2-OC-001,IEEE 1516.2-2010 (2010 edition),Clause 4.2,Object class structure,OMT parser shall preserve the object-class hierarchy and inheritance relationships,shall,Maps to object class hierarchy and attribute availability parsing,hla2010/fom.py,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,partial,omt.object_classes,Curated 1516.2 object-class rows now track hierarchy and inherited-attribute behavior explicitly.
HLA1516.2-IC-001,IEEE 1516.2-2010 (2010 edition),Clause 4.3,Interaction class structure,OMT parser shall preserve the interaction-class hierarchy and inheritance relationships,shall,Maps to interaction hierarchy and parameter availability parsing,hla2010/fom.py,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,partial,omt.interaction_classes,Curated 1516.2 interaction-class rows now track hierarchy and inherited-parameter behavior explicitly.
HLA1516.2-ATTR-001,IEEE 1516.2-2010 (2010 edition),Clause 4.4,Attribute tables,OMT parser shall preserve attribute declarations and make them available for object-class lookup,shall,Maps to attribute declarations and lookup fidelity,hla2010/fom.py,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,partial,omt.attributes,Curated 1516.2 attribute rows now describe lookup fidelity instead of a seed placeholder.
HLA1516.2-PARAM-001,IEEE 1516.2-2010 (2010 edition),Clause 4.5,Parameter tables,OMT parser shall preserve interaction-parameter declarations and make them available for interaction-class lookup,shall,Maps to interaction parameter declarations and lookup fidelity,hla2010/fom.py,parser plus integration tests,test_python_rti_resolves_fom_path_and_uses_requested_time_factory,partial,omt.parameters,Curated 1516.2 parameter rows now describe lookup fidelity instead of a seed placeholder.
HLA1516.2-DIM-001,IEEE 1516.2-2010 (2010 edition),Clause 4.6,Dimension tables,OMT parser shall preserve routing-space dimension names for DDM and region use,shall,Maps to routing space and dimension parsing,hla2010/fom.py,parser plus integration tests,test_parse_fom_xml_rejects_duplicate_dimension_names,partial,omt.dimensions,Curated 1516.2 dimension rows now separate preservation and uniqueness behavior.
HLA1516.2-DT-001,IEEE 1516.2-2010 (2010 edition),Clause 4.7,Datatype and time representation tables,OMT parser shall preserve logical-time and datatype metadata used by the active catalog,shall,Maps to logical time representation selection and OMT datatype parsing,hla2010/fom.py,parser plus integration tests,test_parse_fom_xml_extracts_identification_names_and_reference_datatypes,partial,omt.time_representation,Curated 1516.2 datatype/time rows now spell out the parser contract directly.
HLA1516.2-SYNC-001,IEEE 1516.2-2010 (2010 edition),Clause 4.9,Synchronization tables,"OMT parser shall support declaration, validation, and serialization of synchronization-point metadata",shall,Maps to synchronization point declarations and metadata preservation,hla2010/fom.py,parser plus serializer tests,test_parse_fom_xml_extracts_synchronization_table_and_merge_summary,partial,omt.synchronization,"Curated 1516.2 synchronization rows now name parser, validator, and serializer behavior explicitly."
HLA1516.2-TRANS-001,IEEE 1516.2-2010 (2010 edition),Clause 4.10,Transportation tables,OMT parser shall preserve transportation-type declarations and resolve attribute and interaction references to valid transportation types,shall,Maps to transportation type declarations and resolvable references from attributes and interactions,hla2010/fom.py,parser plus validation tests,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables,partial,omt.transportation,Curated 1516.2 transportation rows now state the reference-resolution contract directly.
HLA1516.2-URATE-001,IEEE 1516.2-2010 (2010 edition),Clause 4.11,Update rate designators,OMT parser shall preserve update-rate designators and validate references to them from object-model metadata,shall,Maps to update rate declaration lookup and attribute reference validation,hla2010/fom.py,parser plus validation tests,test_parse_fom_xml_extracts_transportation_update_rate_and_datatype_tables,partial,omt.update_rates,Curated 1516.2 update-rate rows now state parser and reference-validation behavior directly.
HLA1516.2-SWITCH-001,IEEE 1516.2-2010 (2010 edition),Clause 4.12,Switch metadata,OMT parser shall preserve switch declarations and resolve switch references used by MOM and support services,shall,Maps to switch declarations and resolvable switch references,hla2010/fom.py,parser plus validation tests,test_parse_fom_xml_extracts_switch_table_settings_and_merge_summary,partial,omt.switches,Curated 1516.2 switch rows now spell out the preservation and resolvability contract.
HLA1516.2-DT-002,IEEE 1516.2-2010 (2010 edition),Clause 4.13,Datatype system,"OMT parser shall support the basic, simple, enumerated, array, fixed-record, and variant-record datatype families and validate their structure",shall,Maps to basic simple enumerated array fixed-record and variant-record datatype parsing and validation,hla2010/fom.py,parser plus validation tests,test_parse_standard_mim_xml_extracts_structured_datatype_definitions,partial,omt.datatypes,"Curated 1516.2 datatype-system rows now identify the supported datatype families explicitly."
HLA1516.2-NOTE-001,IEEE 1516.2-2010 (2010 edition),Clause 4.14,Notes tables,OMT parser shall preserve note content through parse and serialization,shall,Maps to note preservation during parse and serialization,hla2010/fom.py,parser and serializer tests,test_parse_fom_xml_preserves_notes_and_catalog_notes,partial,omt.notes,Curated 1516.2 note rows now state parse/serialize fidelity directly.
HLA1516.2-MIM-001,IEEE 1516.2-2010 (2010 edition),Annex D and standard MIM handling,Standard MIM representation,The standard MIM shall load as part of the effective federation model and expose its MOM/MIM behavior through the normal request and report paths,shall,Maps to bundled standard MIM loading and MOM/MIM exposure behavior,hla2010/resources/foms/HLAstandardMIM.xml,parser plus MOM observer tests,test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata,partial,mom.mim,Curated MIM rows now describe the load-and-exposure contract instead of a seed stub.
HLA1516.2-OMT-001,IEEE 1516.2-2010 (2010 edition),Clause 7,OMT merge behavior,OMT merge shall apply the supported merge rules and reject conflicts that would produce an inconsistent merged model,shall,Maps to supported merge rules and conflict rejection,hla2010/fom.py,merge tests,test_join_fom_time_conflict_is_transactional,partial,omt.merge,Curated merge rows now state the supported merge contract directly.
HLA1516.2-MERGE-001,IEEE 1516.2-2010 (2010 edition),Clause 7,FOM module merging,"OMT merge shall compose class, datatype, dimension, and standard MIM content into a consistent merged representation",shall,Maps to class datatype dimension and MIM-aware module composition rules,hla2010/fom.py,merge tests,test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata,partial,omt.merge,"Curated merge rows now identify the merged-representation expectations explicitly."
