asset_id,asset_type,title,section_ref,status,evidence,gaps
REQ-MOM-TABLE-001,requirement,MOM object and interaction exposure is derived from the active MIM/FOM catalog,1516.1-2010 §11.2,implemented-slice,hla2010/mom_catalog.py::build_mom_exposure_model; tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,
REQ-MOM-TABLE-001,requirement,MOM object and interaction exposure is derived from the active MIM/FOM catalog,1516.1-2010 §11.3,implemented-slice,hla2010/mom_catalog.py::build_mom_exposure_model; tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,
REQ-MOM-TABLE-001,requirement,MOM object and interaction exposure is derived from the active MIM/FOM catalog,1516.1-2010 Annex G,implemented-slice,hla2010/mom_catalog.py::build_mom_exposure_model; tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,
REQ-MOM-NEG-001,requirement,Strict MOM decoding reports and raises through generated parameterized negative-path tests,1516.1-2010 §11.4.1,implemented-slice,hla2010/mom_negative_testing.py::build_mom_negative_test_cases; tests/verification/test_mom_negative_matrix_executable_v013.py::test_generated_mom_negative_matrix_case_executes; tests/test_mom_negative_matrix_parametrized_v013.py::test_generated_mom_negative_matrix_case_executes; verification/mom_negative_matrix_v0_13.json,Semantic HLAservice precondition-negative rows remain planned separately because they require service-specific federation setup.
REQ-MOM-NEG-001,requirement,Strict MOM decoding reports and raises through generated parameterized negative-path tests,1516.1-2010 §11.5,implemented-slice,hla2010/mom_negative_testing.py::build_mom_negative_test_cases; tests/verification/test_mom_negative_matrix_executable_v013.py::test_generated_mom_negative_matrix_case_executes; tests/test_mom_negative_matrix_parametrized_v013.py::test_generated_mom_negative_matrix_case_executes; verification/mom_negative_matrix_v0_13.json,Semantic HLAservice precondition-negative rows remain planned separately because they require service-specific federation setup.
REQ-MOM-REPORT-001,requirement,MOM reports use the exact parameter names declared in the active MIM catalog,1516.1-2010 §11.3,implemented-slice,tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,Report payload values are still local-process diagnostics for several specialized report classes.
REQ-MOM-REPORT-001,requirement,MOM reports use the exact parameter names declared in the active MIM catalog,1516.1-2010 §11.4.1,implemented-slice,tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,Report payload values are still local-process diagnostics for several specialized report classes.
REQ-MOM-REPORT-001,requirement,MOM reports use the exact parameter names declared in the active MIM catalog,1516.1-2010 Annex G,implemented-slice,tests/mom/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,Report payload values are still local-process diagnostics for several specialized report classes.
REQ-MOM-SERVICE-001,requirement,MOM HLAservice interactions are modeled as RTI-received actions with negative-path service failure reporting,1516.1-2010 §11.3,implemented-slice,packages/hla-backend-inmemory/src/hla.backends.inmemory/mom_actions.py::_run_mom_service_action; verification/mom_negative_matrix_v0_12.json,Not every Annex G service action has a complete semantic implementation yet.
REQ-MOM-SERVICE-001,requirement,MOM HLAservice interactions are modeled as RTI-received actions with negative-path service failure reporting,1516.1-2010 §11.4.1,implemented-slice,packages/hla-backend-inmemory/src/hla.backends.inmemory/mom_actions.py::_run_mom_service_action; verification/mom_negative_matrix_v0_12.json,Not every Annex G service action has a complete semantic implementation yet.
REQ-MOM-OBSERVER-001,requirement,"A MOM observer witness can reconstruct federation-visible MOM objects, reports, and service invocation traffic",1516.1-2010 §11.2,implemented-slice,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection; tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_mim_request_report_exchange; tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_service_invocation_reporting; analysis/compliance/verification_traceability.csv,"The observer proof is currently a focused local-process slice, not yet a standalone reusable monitor federate package."
REQ-MOM-OBSERVER-001,requirement,"A MOM observer witness can reconstruct federation-visible MOM objects, reports, and service invocation traffic",1516.1-2010 §11.3,implemented-slice,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection; tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_mim_request_report_exchange; tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_service_invocation_reporting; analysis/compliance/verification_traceability.csv,"The observer proof is currently a focused local-process slice, not yet a standalone reusable monitor federate package."
REQ-MOM-OBSERVER-001,requirement,"A MOM observer witness can reconstruct federation-visible MOM objects, reports, and service invocation traffic",1516.1-2010 §11.5,implemented-slice,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection; tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_mim_request_report_exchange; tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_service_invocation_reporting; analysis/compliance/verification_traceability.csv,"The observer proof is currently a focused local-process slice, not yet a standalone reusable monitor federate package."
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4.2,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4.3,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4.4,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4.5,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4.6,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 §4.7,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-PARSE-001,requirement,"FOM/MIM XML parsing and name-bearing OMT catalog extraction cover the active 1516.2 object, interaction, attribute, parameter, dimension, and time tables",1516.2-2010 Annex D,implemented-slice,hla2010/fom.py::parse_fom_xml; tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,
REQ-OMT-MERGE-001,requirement,FOM module merge and MIM/FOM combination rules are enforced for the supported 1516.2 subset,1516.2-2010 §7,implemented-slice,hla2010/fom.py::merge_fom_modules; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_conflicting_time_implementations_are_rejected; tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_with_explicit_mim_overrides_default_mim; tests/backends/test_python_backend_federation_extended.py::test_join_federation_execution_with_additional_modules_updates_catalog,The merge policy is a supported subset of IEEE 1516.2-2010 §7 rather than a complete schema-level implementation.
REQ-OMT-SCHEMA-001,requirement,Annex E schema-level conformance checking is identified explicitly and remains planned,1516.2-2010 Annex E,planned,hla2010/fom.py,"The parser is intentionally not a full XML Schema validator, so Annex E conformance is not yet executable."
REQ-SERVICE-FILE-001,requirement,Service-report file output contains initial and per-service records with section anchors,1516.1-2010 §11.5,implemented-slice,hla2010/service_reporting.py; tests/verification/test_compliance_slice_v011.py::test_mom_service_reports_to_file_and_global_report_file,The current format is JSONL for auditability; exact vendor/report-file formatting is not claimed.
REQ-TIME-ORDER-001,requirement,Timestamp-order queues respect local GALT/LITS-style lower-bound rules and DDM filtering before delivery,1516.1-2010 §8.1,implemented-slice,hla2010/time_management.py; tests/verification/test_compliance_slice_v011.py::test_ddm_region_filtering_applies_before_timestamp_order_delivery,"The distributed-time algorithm remains a local-process approximation, not a proven multi-process LBTS algorithm."
