packet_requirement_id,curated_requirement_id,standard,clause,service_name,reconciliation_kind,feature,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-DDM-9_2-CREATEREGION-ARG-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,ARG,DDM-CREATE_REGION,The implementation shall accept and validate `createRegion` overload 1 arguments: DimensionHandleSet dimensions.,argument validation tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-EFF-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,EFF,DDM-CREATE_REGION,The RTI shall create a region over the specified dimension set and return a unique region handle scoped to the federation execution.,state-transition integration tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-EXC-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,EXC,DDM-CREATE_REGION,"The RTI shall raise the standard exceptions exposed by `createRegion` when the corresponding error conditions occur: InvalidDimensionHandle, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError.",exception matrix tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Direct negative-path witnesses now isolate the exercised invalid-dimension, membership, connection, and save or restore guard surface for `createRegion`; this row no longer depends on the broader Clause 9 exception tail."
HLA1516.1-DDM-9_2-CREATEREGION-MOM-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,MOM,DDM-CREATE_REGION,"When MOM service reporting is enabled for the invoking federate, the RTI shall make invocation of `createRegion` observable through the standard MOM service-reporting mechanism where the standard defines such reporting.",MOM observer integration test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_services_are_observable_through_mom_service_invocation_reporting;tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM observer tests directly exercise MOM service-reporting for this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-PRE-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,PRE,DDM-CREATE_REGION,"The RTI shall validate all standard preconditions for `createRegion`, including connection state, federation-execution membership, valid handles, FDD-defined classes or datatypes, save/restore state, callback reentrancy, and service-specific constraints as applicable.",negative unit tests + exception tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Focused direct witnesses now isolate the applicable precondition surface for the exercised `createRegion` path: connection-state, execution-membership, invalid-dimension or empty-dimension-set, and save or restore guards."
HLA1516.1-DDM-9_2-CREATEREGION-SIG-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,SIG,DDM-CREATE_REGION,The implementation shall expose `createRegion` overload 1 returning `RegionHandle` with the standard argument shape.,API signature static test,tests/backends/test_python_backend_object_ownership_extended.py::test_clause_9_service_signature_metadata_matches_source_bindings;tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM signature tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-SVC-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,SVC,DDM-CREATE_REGION,The RTI shall provide the Create Region service through the `createRegion` operation.,unit + integration + API conformance tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_2-CREATEREGION-TEST-001,HLA1516.1-DDM-9.2-001,IEEE 1516.1-2010,9.2,createRegion,TEST,DDM-CREATE_REGION,"The verification suite shall include positive, negative, exception, transport-equivalence, and MOM-observer tests for `createRegion`.",test-suite audit,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,"Direct node-level positive/negative, observer, and routing evidence exists for this service family. The broader PRE and EXC envelope rows remain partial where they still claim more than the current isolated exception surface proves."
HLA1516.1-DDM-9_3-COMMITREGIONMODIFICATIONS-ARG-001,HLA1516.1-DDM-9.3-001,IEEE 1516.1-2010,9.3,commitRegionModifications,ARG,DDM-COMMIT_REGION_MODIFICATIONS,The implementation shall accept and validate `commitRegionModifications` overload 1 arguments: RegionHandleSet regions.,argument validation tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_object_scope_filter_blocks_out_of_scope_reflects_until_regions_overlap;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
HLA1516.1-DDM-9_3-COMMITREGIONMODIFICATIONS-EFF-001,HLA1516.1-DDM-9.3-001,IEEE 1516.1-2010,9.3,commitRegionModifications,EFF,DDM-COMMIT_REGION_MODIFICATIONS,The RTI shall commit pending range-bound modifications and use the resulting region extents for DDM routing.,state-transition integration tests,tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_region_subscription_update_and_unsubscribe_lifecycle;tests/backends/test_python_backend_time_ddm_extended.py::test_ddm_object_scope_filter_blocks_out_of_scope_reflects_until_regions_overlap;tests/backends/test_python_backend_time_ddm_extended.py::test_create_region_and_commit_region_modifications_reject_not_connected_not_joined_invalid_region_and_save_restore,mapped,ddm_region_lifecycle,hla_1516_clauses5_11_detailed_requirements_v1_0.csv,Current repo-native DDM tests directly exercise this packet slice.
