requirement_id,parent_requirement_id,standard,clause,service_group,service,decomposition_kind,requirement_text,source_type,implementation_area,linked_methods,verification_method,test_id,status,notes
HLA1516.1-FM-4.2-SIG-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,SIG,"RTI shall provide the Connect service with federate ambassador, callback model, and optional local settings designator inputs.",seeded-decomposition,federation_lifecycle,connect,api surface + adapter test,test_connect_adapts_python_federate_ambassador,mapped,Paraphrased engineering split of the coarse 4.2 service row.
HLA1516.1-FM-4.2-PRE-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,PRE,Connect shall be rejected when the RTI ambassador is already connected.,seeded-decomposition,federation_lifecycle,connect,negative service test,test_connect_rejects_second_connection_attempt,mapped,Current backend raises AlreadyConnected.
HLA1516.1-FM-4.2-EFF-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,EFF,"Successful Connect shall bind the ambassador, persist the selected callback model, persist the optional local settings designator, and mark the ambassador connected.",seeded-decomposition,federation_lifecycle,connect,stateful service test,tests/backends/test_python_backend_federation_extended.py::test_connect_create_and_join_apply_positive_lifecycle_effects,mapped,Direct lifecycle witness now asserts bound ambassador state selected callback model persisted local settings designator and connected state before any join occurs.
HLA1516.1-FM-4.2-CB-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,CB,Connect shall establish the callback-delivery model that governs subsequent RTI callback behavior for the connected ambassador.,seeded-decomposition,callback_control,connect,integration test,test_connect_establishes_callback_delivery_model_for_follow_on_reports,mapped,Directly contrasts evoked and immediate callback delivery on the same follow-on federation report service.
HLA1516.1-FM-4.2-EXC-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,EXC,Connect shall report an AlreadyConnected error for a repeated connection attempt on the same ambassador.,seeded-decomposition,federation_lifecycle,connect,negative service test,test_connect_rejects_second_connection_attempt,mapped,Explicit exception family captured for harmonized requirement slicing.
HLA1516.1-FM-4.2-MOM-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,MOM,Connection state relevant to later federation participation should be representable through MOM-visible federate state once the connected ambassador joins a federation.,seeded-decomposition,mom_reporting,connect,observer verification slice,test_connect_joined_federate_is_visible_in_mom_summary,mapped,Once connected ambassadors join the federation their MOM federate objects are visible through the observer summary.
HLA1516.1-FM-4.2-TEST-001,HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,Connect,TEST,"Connect shall be covered by direct service tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,verification.connect,connect,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end;test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST lifecycle replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.3-SIG-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,SIG,RTI shall provide the Disconnect service.,seeded-decomposition,federation_lifecycle,disconnect,api surface + service test,test_disconnect_requires_resign_and_marks_backend_not_connected,mapped,Coarse 4.3 row split into implementation-driving subrequirements.
HLA1516.1-FM-4.3-PRE-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,PRE,Disconnect shall require a connected ambassador that is no longer a federation execution member.,seeded-decomposition,federation_lifecycle,disconnect,negative service test,test_disconnect_requires_resign_and_marks_backend_not_connected,mapped,The current backend rejects disconnect while joined.
HLA1516.1-FM-4.3-EFF-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,EFF,"Successful Disconnect shall clear connected state, clear the bound ambassador reference, and clear queued callbacks for the disconnected ambassador.",seeded-decomposition,federation_lifecycle,disconnect,stateful integration test,test_disconnect_clears_buffered_report_callbacks,mapped,Directly asserts buffered callback queue cleanup during disconnect.
HLA1516.1-FM-4.3-CB-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,CB,"After Disconnect, the RTI shall cease callback delivery to the disconnected ambassador.",seeded-decomposition,callback_control,disconnect,integration test,test_disconnect_clears_buffered_report_callbacks,mapped,Directly asserts disconnect stops delivery of buffered report callbacks by clearing the pending queue.
HLA1516.1-FM-4.3-EXC-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,EXC,Disconnect shall report FederateIsExecutionMember when a joined federate attempts to disconnect before resigning.,seeded-decomposition,federation_lifecycle,disconnect,negative service test,test_disconnect_requires_resign_and_marks_backend_not_connected,mapped,The connected-but-still-joined guard is implemented and tested.
HLA1516.1-FM-4.3-MOM-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,MOM,Disconnect should leave no active MOM-visible federate session associated with the disconnected ambassador.,seeded-decomposition,mom_reporting,disconnect,observer verification slice,test_python_backend_disconnect_mom_cleanup_matrix,mapped,Shared disconnect-MOM cleanup scenarios now prove the disconnected ambassador no longer has an active MOM-visible federate session.
HLA1516.1-FM-4.3-TEST-001,HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,Disconnect,TEST,"Disconnect shall be covered by direct service tests, with hosted gRPC and REST replay recorded separately as backend-resolution evidence where available.",seeded-decomposition,verification.disconnect,disconnect,test plan + backend matrix placeholder,test_grpc_transport_can_host_python_rti_fm_lifecycle_end_to_end;test_rest_transport_can_host_python_rti_fm_lifecycle_end_to_end,mapped,The direct Python 2010 lane is proven directly; hosted gRPC and REST lifecycle replay is recorded separately in backend-resolution evidence.
HLA1516.1-FM-4.5-SIG-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,SIG,"RTI shall provide the Create Federation Execution service, including the explicit-MIM overload shape used by the current API surface.",seeded-decomposition,federation_lifecycle,createFederationExecution;createFederationExecutionWithMIM,api surface + service verification,test_requirements_ledger_covers_generated_api_surface,mapped,The current implementation exposes both create variants.
HLA1516.1-FM-4.5-PRE-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,PRE,Create Federation Execution shall require a connected ambassador and shall reject duplicate federation execution names.,seeded-decomposition,federation_lifecycle,createFederationExecution;createFederationExecutionWithMIM,negative service tests,test_create_federation_execution_rejects_duplicate_name,mapped,NotConnected and duplicate-name behavior are both covered in the current suite.
HLA1516.1-FM-4.5-EFF-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,EFF,"Successful Create Federation Execution shall install the federation, resolve and merge the supplied FOM modules, supply the standard MIM by default when needed, and choose a logical time factory compatible with the merged model.",seeded-decomposition,federation_lifecycle,createFederationExecution;createFederationExecutionWithMIM,stateful integration test,tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_applies_full_effect_vector,mapped,Direct lifecycle witness now asserts federation installation merged FOM-module retention automatic MIM selection and logical-time-factory selection before a federate joins.
HLA1516.1-FM-4.5-CB-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,CB,Create Federation Execution shall make the created federation observable to subsequent callback-based reporting services such as Report Federation Executions.,seeded-decomposition,federation_lifecycle,createFederationExecution;listFederationExecutions,callback and integration test,test_list_federation_executions_requires_connection_and_reports_known_federations,mapped,This is the first observable callback consequence of successful creation in the current repo.
HLA1516.1-FM-4.5-EXC-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,EXC,"Create Federation Execution shall distinguish duplicate-name, FOM-open, FOM-read, MIM-open, MIM-read, invalid-time-factory, inconsistent-FOM, and invalid-standard-MIM-designator failures.",seeded-decomposition,federation_lifecycle,createFederationExecution;createFederationExecutionWithMIM,negative exception matrix,test_create_federation_execution_distinguishes_open_read_time_and_inconsistent_fom_errors,mapped,Current tests already separate the major exception families instead of collapsing them into one generic failure.
HLA1516.1-FM-4.5-MOM-001,HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,Create Federation Execution,MOM,Successful Create Federation Execution shall expose the standard MIM-backed federation object model so MOM federation classes and interactions are available once a federate joins.,seeded-decomposition,mom_reporting,createFederationExecution;createFederationExecutionWithMIM,observer verification slice,test_standard_mim_is_loaded_and_exposes_mom_classes_and_interactions,mapped,MOM visibility is currently proven through post-join observation of the created federation.
