id,bucket,area,priority,disposition,source_2010,target_2025,requirement_work,acceptance_criteria,verification_work,binding_scope,differential_query
HLA2025-BLG-001,carry-forward-cleanup,Renumbered service utilization rows,high,reuse-reference-update,2010 service utilization clauses,2025 renumbered service utilization clauses,Reuse behavior requirements where service name and callback role are unchanged; update clause references and binding names,Each carried row keeps the same behavior claim and records old/new clause references,CSV check comparing 2010_section_or_location and 2025_section_or_location for carry-forward rows,common,"reuse_action=Carry forward with reference update"
HLA2025-BLG-002,carry-forward-cleanup,Common object model concepts,high,reuse-with-2025-fields,2010 OMT/FOM object model rows,2025 OMT/FOM object model with new metadata,Carry forward common object/interaction/attribute/parameter model requirements; add nullable 2025 metadata fields,Common fields round-trip unchanged and 2025-only metadata is preserved when present,Parser/model round-trip tests with mixed 2010-compatible and 2025-only metadata,common,"service_group in XML/OMT,MIM"
HLA2025-MOD-001,modified-existing,Connect authentication and configuration,very-high,modify,connect local settings designator and callback model requirements,RtiConfiguration Credentials ConfigurationResult Unauthorized InvalidCredentials,Rewrite connect requirements around configuration objects credential handling and authorization failures,Positive connect accepts RtiConfiguration and optional credentials; negative checks Unauthorized and InvalidCredentials boundaries,Shim positive and negative connect tests plus Java/C++ binding signature checks,common+bindings,"item contains connect OR 2025_detail contains Credentials"
HLA2025-MOD-002,modified-existing,Create and join federation FOM handling,very-high,modify,create/join federation execution FDD URL requirements,2025 FOM module designators InvalidFOM InconsistentFOM ErrorReadingFOM CouldNotOpenFOM createFederationExecutionWithMIM,Rewrite create/join requirements for module designators MIM inclusion and 2025 FOM exception taxonomy,Valid module designators create/join successfully; invalid unreadable inconsistent modules raise the exact 2025 exception,Positive FOM module smoke test and negative module-resolution matrix,common,"service_group=Federation Management AND requirement_action contains FOM"
HLA2025-MOD-003,modified-existing,FOM and MIM module loading,very-high,modify,2010 FDD and MIM load assumptions,2025 FOM modules MIM inclusion and module-resolution failures,Add requirements for module designator validation MIM inclusion and failed module resolution,Loader preserves MIM choice and reports absent unreadable inconsistent modules distinctly,XML/MIM fixture tests for parser validator and loader error taxonomy,common,"service_group in XML/OMT,MIM AND status=Changed"
HLA2025-MOD-004,modified-existing,Callback context parameters,very-high,modify,SupplementalReflectInfo SupplementalReceiveInfo SupplementalRemoveInfo helper rows,2025 direct callback parameters for producer federate regions transportation order time retraction,Retire helper-object native requirements and rewrite callbacks around direct parameter delivery,Each callback row names every context parameter and rejects hidden Supplemental*Info dependencies,Callback signature inspection plus object/interaction delivery tests with populated context,common+bindings,"2025_detail contains direct callback parameter OR item contains reflect OR item contains receive"
HLA2025-MOD-005,modified-existing,Ownership user tags and set callbacks,high,modify,2010 ownership callback and tag wording,2025 user-supplied tags and set-based ownership callbacks,Update ownership requirements for tag propagation and set-valued callback payloads,Divestiture/acquisition callbacks preserve tag values and attribute sets exactly,Two-federate ownership tests covering positive tag propagation and unsupported boundary,common,"service_group=Ownership Management"
HLA2025-MOD-006,modified-existing,Time management and flush queue grant,very-high,modify-add,2010 logical time and flush queue handling,2025 flushQueueGrant and logical-time generic binding language,Add full flushQueueGrant requirements and update logical-time binding terms,Regulated federate receives grants in specified order and generic logical-time signatures remain binding-local,Python RTI time matrix plus Java/C++ signature conformance checks,common+bindings,"service_group=Time Management"
HLA2025-MOD-007,modified-existing,DDM dimension lookup,high,retire-replace,getAvailableDimensionsForClassAttribute,getAvailableDimensionsForObjectClass,Retire old class-attribute lookup requirement and replace with object-class lookup requirement,Old requirement is marked retired or mapped and new lookup has positive and invalid-handle cases,DDM handle lookup tests and retired-row disposition check,common,"item=getAvailableDimensionsForClassAttribute OR item=getAvailableDimensionsForObjectClass"
HLA2025-MOD-008,modified-existing,Switch inquiry and control model,very-high,retire-replace,enable/disable advisory switch services,2025 set/get switch services,Replace enable/disable switch requirements with set/get requirements for every 2025 switch,Each switch has set positive get positive invalid switch negative and unsupported boundary rows,Switch service matrix over advisory service reporting exception reporting file reporting and relaxed DDM switches,common,"service_group=Support Services AND item contains Switch"
