requirement_id,interface,method_name,python_name,document,section,section_ref,title,service_group,source_languages,source_overload_count,declared_exceptions,python_entry_point,implementation_status,verification_status,implementation_refs,positive_test_refs,negative_test_refs,artifact_refs,evidence,negative_expectation_count,negative_executed_count,verification_asset_id,known_gaps
REQ-FED-DM-5_10-startRegistrationForObjectClass,FederateAmbassador,startRegistrationForObjectClass,start_registration_for_object_class,IEEE 1516.1-2010 (2010 edition),5.10,IEEE 1516.1-2010 (2010 edition) §5.10,Start Registration For Object Class service,Declaration Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-DECLARATION-MGMT-SMOKE,
REQ-FED-DM-5_11-stopRegistrationForObjectClass,FederateAmbassador,stopRegistrationForObjectClass,stop_registration_for_object_class,IEEE 1516.1-2010 (2010 edition),5.11,IEEE 1516.1-2010 (2010 edition) §5.11,Stop Registration For Object Class service,Declaration Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-DECLARATION-MGMT-SMOKE,
REQ-FED-DM-5_12-turnInteractionsOn,FederateAmbassador,turnInteractionsOn,turn_interactions_on,IEEE 1516.1-2010 (2010 edition),5.12,IEEE 1516.1-2010 (2010 edition) §5.12,Turn Interactions On service,Declaration Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-DECLARATION-MGMT-SMOKE,
REQ-FED-DM-5_13-turnInteractionsOff,FederateAmbassador,turnInteractionsOff,turn_interactions_off,IEEE 1516.1-2010 (2010 edition),5.13,IEEE 1516.1-2010 (2010 edition) §5.13,Turn Interactions Off service,Declaration Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-DECLARATION-MGMT-SMOKE,
REQ-FED-FM-4_12-synchronizationPointRegistrationFailed,FederateAmbassador,synchronizationPointRegistrationFailed,synchronization_point_registration_failed,IEEE 1516.1-2010 (2010 edition),4.12,IEEE 1516.1-2010 (2010 edition) §4.12,Confirm Synchronization Point Registration service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_registration_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_registration_failure_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_sync.py::run_synchronization_registration_failure_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_registration_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_registration_failure_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_12-synchronizationPointRegistrationSucceeded,FederateAmbassador,synchronizationPointRegistrationSucceeded,synchronization_point_registration_succeeded,IEEE 1516.1-2010 (2010 edition),4.12,IEEE 1516.1-2010 (2010 edition) §4.12,Confirm Synchronization Point Registration service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_matrix; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_registration_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_registration_failure_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_sync.py::run_synchronization_scenario; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_sync.py::run_synchronization_registration_failure_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_matrix; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_registration_failure_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_registration_failure_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_13-announceSynchronizationPoint,FederateAmbassador,announceSynchronizationPoint,announce_synchronization_point,IEEE 1516.1-2010 (2010 edition),4.13,IEEE 1516.1-2010 (2010 edition) §4.13,Announce Synchronization Point service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_sync.py::run_synchronization_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_15-federationSynchronized,FederateAmbassador,federationSynchronized,federation_synchronized,IEEE 1516.1-2010 (2010 edition),4.15,IEEE 1516.1-2010 (2010 edition) §4.15,Federation Synchronized service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_matrix; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_failed_federate_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_failed_federate_synchronization_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_sync.py::run_synchronization_scenario; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_sync.py::run_failed_federate_synchronization_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_synchronization_matrix; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_failed_federate_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_synchronization_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_failed_federate_synchronization_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_17-initiateFederateSave,FederateAmbassador,initiateFederateSave,initiate_federate_save,IEEE 1516.1-2010 (2010 edition),4.17,IEEE 1516.1-2010 (2010 edition) §4.17,Initiate Federate Save service,Federation Management,cpp; java,4,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; packages/hla2010-verification-harness/src/hla2010_verification_harness/scenario_save_restore.py::run_save_restore_scenario; tests/scenarios/test_federation_management_backend_matrix.py::test_python_backend_save_restore_matrix; tests/vendors/test_pitch_real_backend_matrix.py::test_pitch_backend_save_restore_matrix,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
REQ-FED-FM-4_20-federationNotSaved,FederateAmbassador,federationNotSaved,federation_not_saved,IEEE 1516.1-2010 (2010 edition),4.20,IEEE 1516.1-2010 (2010 edition) §4.20,Federation Saved service,Federation Management,cpp; java,2,FederateInternalError,RecordingFederateAmbassador callback + snake_case alias,callback-helper,callback-helper-covered,RecordingFederateAmbassador callback + snake_case alias; hla2010/ambassadors.py,tests/verification/test_spec_traceability_and_extended_python_rti.py,,analysis/compliance/service_conformance.json,packages/hla2010-rti-backend-common/src/hla2010_rti_backend_common/recording.py::RecordingFederateAmbassador; tests/verification/test_spec_traceability_and_extended_python_rti.py,0,0,ASSET-FEDERATION-MGMT-STARTUP-SYNC,
