task_id,phase,title,description,acceptance_criteria,primary_files
HLA-REQ-INTEG-001,intake,Create requirements asset directory structure,"Create docs/standards/hla-1516-2010/requirements with subdirectories for latest, catalogs, history, verification, dashboards, and manifests.",Repository contains a stable requirements directory and README explaining asset purpose and provenance.,"requirements/latest/*, requirements/catalogs/*, requirements/history/*"
HLA-REQ-INTEG-002,intake,Place v1.0 catalog assets as canonical sources,"Copy v1.0 master requirements, verification matrix, clause tracker, clause details, API catalogs, and summary into the repo as canonical requirements inputs.",Canonical CSV and XLSX artifacts are committed; manifest checksums match this packet.,"hla_1516_requirements_master_v1_0.csv, hla_1516_verification_matrix_v1_0.csv, hla_1516_clause_tracker_v1_0.csv"
HLA-REQ-INTEG-003,schema,Define requirements CSV schema contract,"Codify expected columns and categorical values for requirements, verification matrix, clause tracker, and catalogs.","A schema document exists and validation tests fail on missing columns, duplicate requirement_id values, invalid statuses, or orphaned verification rows.","WORK_PACKET/REQUIREMENTS_SCHEMA.md, hla_1516_requirements_master_v1_0.csv"
HLA-REQ-INTEG-004,tooling,Add requirements loader module,"Implement a small loader that reads requirement CSVs into typed records for search, linting, documentation generation, and test traceability.","Loader parses all canonical CSVs with zero errors and exposes records by requirement_id, standard, clause, capability, feature, and test_id.","hla_1516_requirements_master_v1_0.csv, hla_1516_verification_matrix_v1_0.csv"
HLA-REQ-INTEG-005,tooling,Add requirements lint command,"Create a CLI or make target that validates schema, uniqueness, referential integrity, checksum drift, and clause tracker coverage.","Command exits nonzero on duplicate IDs, orphan test_id rows, missing clauses, unexpected columns, or stale manifest hashes.","MANIFEST.json, hla_1516_clause_tracker_v1_0.csv"
HLA-REQ-INTEG-006,testing,Hook pytest tests to requirement IDs,Adopt pytest markers or metadata so implementation tests can reference requirement_id and verification matrix rows.,At least Clause 4 lifecycle tests and Clause 5 declaration tests declare requirement links; CI report can list requirements covered by tests.,hla_1516_verification_matrix_v1_0.csv
HLA-REQ-INTEG-007,ci,Add CI validation for requirements assets,Run requirements linting in CI before regular tests. Treat catalog corruption as a build failure.,CI fails when the canonical requirements files are malformed or verification rows reference missing requirement IDs.,"MANIFEST.json, repo requirements lint command"
HLA-REQ-INTEG-008,documentation,Generate human-readable requirements docs,"Generate markdown pages grouped by standard, clause, capability, and service group from the master catalog.",Docs can be regenerated from CSVs; generated files are either committed or produced in CI artifacts depending on repo policy.,"hla_1516_requirements_master_v1_0.csv, hla_1516_clause_tracker_v1_0.csv"
HLA-REQ-INTEG-009,implementation-trace,Map requirements to implementation modules,Fill or refine implementation_area values to point to concrete packages/modules in the actual codebase.,Each P0/P1 requirement has either a real module path or an explicit TODO/NotStarted marker.,hla_1516_requirements_master_v1_0.csv
HLA-REQ-INTEG-010,review,Peer-review source clause traceability,"Review exact clause and source_detail mappings against the standards PDFs/download artifacts, prioritizing Clause 4, Clause 5, Clause 6, Clause 8, and Clause 11.",Reviewed rows are marked with a reviewed status or review note; unclear rows are flagged for refinement rather than treated as certified.,"hla_1516_requirements_master_v1_0.csv, restricted_reference_inputs/*"
HLA-REQ-INTEG-011,roadmap,Create implementation work queues from requirements,"Create issue backlog groupings for Federation Management, Declaration Management, Object Management, Ownership, Time, DDM, Support, MOM/MIM, OMT, XML, and transports.",Backlog issues or project cards refer to requirement IDs and acceptance tests.,"hla_1516_clause_tracker_v1_0.csv, hla_1516_requirements_summary_v1_0.csv"
HLA-REQ-INTEG-012,policy,Decide handling of restricted standards inputs,Do not publish IEEE PDFs or downloaded standards artifacts to a public repo unless license terms permit. Keep them in a private artifact store or document how developers provide them locally.,Repo policy is explicit: generated requirement catalogs may be committed; source standards are either excluded or stored only in approved private locations.,restricted_reference_inputs/*
