requirement_id,standard,clause,family,requirement_text,source_type,implementation_area,verification_method,test_id,status
HLA1516.1-FM-4.1-001,IEEE 1516.1-2010,4.1,FM,RTI shall support federate connection federation creation federation joining resignation and disconnection as distinct lifecycle states,shall,federation_lifecycle,stateful integration tests,,mapped
HLA1516.1-FM-4.1-002,IEEE 1516.1-2010,4.1,FM,A federate shall connect before creating or joining a federation execution,shall,federation_lifecycle,integration test,test_join_federation_execution_requires_connection,mapped
HLA1516.1-FM-4.1-003,IEEE 1516.1-2010,4.1,FM,A federate shall disconnect when it has resigned and has no further intent to create or join federation executions,shall,federation_lifecycle,integration test,test_disconnect_requires_resign_and_marks_backend_not_connected,mapped
HLA1516.1-FM-4.1-004,IEEE 1516.1-2010,4.1,FM,RTI shall support callback delivery according to the selected callback model,shall,callback_control,integration test,test_join_and_resign_reject_calls_from_within_callback,mapped
HLA1516.1-FM-4.1-005,IEEE 1516.1-2010,4.1,FM,RTI shall allow one application to participate as multiple joined federates,shall,federation_lifecycle,integration test,,planned
HLA1516.1-FM-4.1-006,IEEE 1516.1-2010,4.1,FM,RTI shall allow one application to participate in multiple federation executions,shall,federation_lifecycle,integration test,,planned
HLA1516.1-FM-4.1.2-001,IEEE 1516.1-2010,4.1.2,FM,RTI shall support federation save and restore coordination,shall,save_restore,integration test,test_scheduled_save_waits_for_time_and_restore_reinstates_time_state,mapped
HLA1516.1-FM-4.1.2-002,IEEE 1516.1-2010,4.1.2,FM,RTI shall preserve queued messages required for federation save restore,shall,save_restore,integration test,,planned
HLA1516.1-FM-4.1.3-001,IEEE 1516.1-2010,4.1.3,FM,RTI shall track each synchronization point independently,shall,synchronization,integration test,test_synchronization_points_and_save_status_callbacks,mapped
HLA1516.1-FM-4.1.4-001,IEEE 1516.1-2010,4.1.4,FM,RTI shall retain and combine FOM Document Data from FOM modules,shall,fom_merge,integration test,,mapped
HLA1516.1-FM-4.1.4-002,IEEE 1516.1-2010,4.1.4,FM,RTI shall provide the standard MIM automatically when required,shall,mim_loading,integration test,,mapped
HLA1516.1-FM-4.1.4.1-001,IEEE 1516.1-2010,4.1.4.1,FM,RTI shall reject invalid or incompatible FOM modules,shall,fom_validation,integration test,test_conflicting_time_implementations_are_rejected,mapped
HLA1516.1-FM-4.1.4.1-002,IEEE 1516.1-2010,4.1.4.1,FM,If a FOM module or MIM definition is rejected the RTI shall reject it in entirety,shall,fom_validation,negative integration test,,planned
HLA1516.1-FM-4.1.4.2-001,IEEE 1516.1-2010,4.1.4.2,FM,RTI shall provide access to the current FDD individual FOM modules and the MIM,shall,fom_reporting,integration test,test_mom_fom_module_request_reports_requested_module_payload,mapped
HLA1516.1-FM-4.1.5-001,IEEE 1516.1-2010,4.1.5,FM,RTI shall detect lost federates and report them through MOM,shall,connection_management,observer verification slice,,planned
HLA1516.1-FM-4.1.5-002,IEEE 1516.1-2010,4.1.5,FM,RTI shall resign lost federates using the current automatic resign directive,shall,connection_management,integration test,,planned
HLA1516.1-FM-4.2-001,IEEE 1516.1-2010,4.2,FM,RTI shall provide a Connect service,shall,federation_lifecycle,service verification,test_requirements_ledger_covers_generated_api_surface,mapped
HLA1516.1-FM-4.3-001,IEEE 1516.1-2010,4.3,FM,RTI shall provide a Disconnect service,shall,federation_lifecycle,service verification,test_disconnect_requires_resign_and_marks_backend_not_connected,mapped
HLA1516.1-FM-4.5-001,IEEE 1516.1-2010,4.5,FM,RTI shall provide Create Federation Execution,shall,federation_lifecycle,service verification,test_requirements_ledger_covers_generated_api_surface,mapped
HLA1516.1-FM-4.6-001,IEEE 1516.1-2010,4.6,FM,RTI shall provide Destroy Federation Execution,shall,federation_lifecycle,service verification,test_destroy_federation_execution_requires_no_joined_federates,mapped
HLA1516.1-FM-4.9-001,IEEE 1516.1-2010,4.9,FM,RTI shall provide Join Federation Execution,shall,federation_lifecycle,service verification,test_join_federation_execution_requires_connection,mapped
HLA1516.1-FM-4.10-001,IEEE 1516.1-2010,4.10,FM,RTI shall provide Resign Federation Execution,shall,federation_lifecycle,service verification,test_resign_federation_execution_rejects_not_connected_and_not_joined,mapped
HLA1516.1-FM-4.11-001,IEEE 1516.1-2010,4.11,FM,RTI shall provide Register Federation Synchronization Point,shall,synchronization,service verification,test_register_federation_synchronization_point_rejects_not_connected_and_not_joined,mapped
HLA1516.1-FM-4.12-001,IEEE 1516.1-2010,4.12,FM,RTI shall confirm federation synchronization point registration success or failure,shall,synchronization,callback and integration test,test_register_federation_synchronization_point_reports_duplicate_and_invalid_target_failures,mapped
HLA1516.1-FM-4.13-001,IEEE 1516.1-2010,4.13,FM,RTI shall announce synchronization points to the appropriate federates,shall,synchronization,callback and integration test,test_whole_federation_synchronization_announces_late_joiner_before_completion,mapped
HLA1516.1-FM-4.14-001,IEEE 1516.1-2010,4.14,FM,RTI shall provide Synchronization Point Achieved,shall,synchronization,service verification,test_synchronization_point_achieved_rejects_not_connected_not_joined_and_unknown_label,mapped
