scenario,route,status,evidence_scope,requirements,evidence_tests,evidence_artifacts,runtime_provider,implementation_lane,counts_as_python_2025_rti,wrapper_only,notes
ddm,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-MOD-007; HLA2025-NEW-004; HLA2025-FI-001,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers object-region filtering, passive object and interaction region-subscribe aliases, scope advisory callbacks, and 2025 default attribute policy calls."
ddm,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-MOD-007; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers object attribute subscribe-with-rate and passive subscribe-with-rate aliases, object attribute, interaction class, and directed interaction region-overlap filtering with conveyed region evidence plus DDM-driven attributesInScope/attributesOutOfScope transitions, region subscribe/unsubscribe, associate/unassociate, and delete-region cleanup. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
ddm,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-MOD-007; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the DDM region runtime trace through the official API compile artifact gate: object attribute region subscription, outside-region suppression, discovery after region overlap, and conveyed sent-region reflection evidence. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ddm,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-MOD-007; HLA2025-BND-001,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the DDM region runtime trace through the official API compile artifact gate: object attribute region subscription, outside-region suppression, discovery after region overlap, and conveyed sent-region reflection evidence. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ddm,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-MOD-007; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the DDM region runtime trace: object attribute region subscription, outside-region suppression, discovery after region overlap, and conveyed sent-region reflection evidence. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
ddm,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-MOD-007; HLA2025-BND-002,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the DDM region runtime trace: object attribute region subscription, outside-region suppression, discovery after region overlap, and conveyed sent-region reflection evidence. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
federation_lifecycle,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-FI-005; HLA2025-FI-006,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI covers connect, create, createFederationExecutionWithMIM, join, resign, destroy, disconnect, evoked callback polling, and direct inline immediate callback delivery."
federation_lifecycle,python-2025-fedpro-grpc,parity-covered,scenario-parity,HLA2025-FI-005; HLA2025-FI-006; HLA2025-BND-003,tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_python_route_parity.py,tests/transport/test_grpc_transport_2025.py; docs/plans/spec2025_finish_line_snapshot.json,python2025,hla-backend-python2025,true,false,"Hosted FedPro 2025 route covers the same lifecycle session through typed protobuf calls plus real shared federation listing plus real listFederationExecutions/listFederationExecutionMembers callback flow, explicit factory-hosted create_rti_ambassador('python2025', transport=...) execution of direct federation listing and member-report callbacks through the hosted 2025 ambassador surface, shared join-precondition rejection for not-connected, missing-federation, duplicate-name, already-joined, save-in-progress, and restore-in-progress cases, shared resign-precondition rejection for not-connected, not-joined, invalid-action, owned-attribute, and pending-acquisition cases, shared multi-participation across primary and secondary federations, shared resign/disconnect MOM cleanup, shared lost-federate MOM reporting plus automatic object cleanup, shared single-module and multi-module federation FOM visibility plus incompatible-join FOM integrity rejection, explicit single-FOM and createFederationExecutionWithMIM transport-command routing, MIM-data alias normalization, missing-federation member notices, and federateResigned callback delivery. Explicit hosted-route identity proof shows the direct ambassador, hosted server, and hosted client all identify python2025 / hla-backend-python2025 as the primary 2025 Python RTI implementation lane, with counts_as_python_2025_rti=true and wrapper_only=false where those fields apply. Treat remaining hosted FedPro proof here as transport-seam evidence over hla-backend-python2025 rather than evidence that the main 2025 Python RTI lane lacks the underlying semantics."
federation_lifecycle,java-standard-2025-jpype,parity-covered,scenario-parity,HLA2025-BND-001; HLA2025-FI-003; HLA2025-FI-004; HLA2025-FI-005; HLA2025-FI-006,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-jpype.json,python2025,hla-backend-python2025,false,false,"Java 2025 JPype standard route runs the lifecycle scenario through the official API compile artifact gate: connect, create, join, evoked callback polling, resign, destroy, and disconnect. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
federation_lifecycle,java-standard-2025-py4j,parity-covered,scenario-parity,HLA2025-BND-001; HLA2025-FI-003; HLA2025-FI-004; HLA2025-FI-005; HLA2025-FI-006,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/java-standard-2025.json; docs/evidence/shim_routes/route_traces/java-standard-2025-py4j.json,python2025,hla-backend-python2025,false,false,"Java 2025 Py4J standard route runs the lifecycle scenario through the official API compile artifact gate: connect, create, join, evoked callback polling, resign, destroy, and disconnect. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
federation_lifecycle,cpp-standard-2025-pybind,parity-covered,scenario-parity,HLA2025-BND-002; HLA2025-FI-003; HLA2025-FI-004; HLA2025-FI-005; HLA2025-FI-006,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-pybind.json,python2025,hla-backend-python2025,false,false,"C++ 2025 pybind standard route runs the lifecycle scenario: connect, create, join, evoked callback polling, resign, destroy, and disconnect. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
federation_lifecycle,cpp-standard-2025-grpc,parity-covered,scenario-parity,HLA2025-BND-002; HLA2025-FI-003; HLA2025-FI-004; HLA2025-FI-005; HLA2025-FI-006,tests/backends/test_standard_shim_artifacts.py,docs/evidence/shim_routes/cpp-standard-2025.json; docs/evidence/shim_routes/route_traces/cpp-standard-2025-grpc.json,python2025,hla-backend-python2025,false,false,"C++ 2025 gRPC standard route runs the lifecycle scenario: connect, create, join, evoked callback polling, resign, destroy, and disconnect. These binding/wrapper routes are executed over the primary python2025 runtime lane in hla-backend-python2025, with the Java/C++ packages limited to compatibility and API adaptation. Treat Java/C++ route parity here as binding/adaptation-seam evidence over the main hla-backend-python2025 runtime, not as alternate ownership of core 2025 RTI semantics."
mom,python-2025-inprocess,parity-covered,scenario-parity,HLA2025-NEW-004; HLA2025-FI-001,tests/test_rti1516_2025_python2025_runtime.py,tests/test_rti1516_2025_python2025_runtime.py,python2025,hla-backend-python2025,true,false,"Current Python 2025 RTI records MOM switch/report serialization slices and routes MIM data, FOM module data, synchronization point MOM request/report interactions, and service/exception reporting MOM adjust interactions plus exposed HLAsetSwitches adjust interactions and HLAsetTiming/HLAmodifyAttributeState adjust interactions plus federate-level FOM module data, publication/subscription, and object-instance information MOM reports, and declaration-management MOM service actions plus federation-management MOM service actions and supported time-management MOM service actions including disable/asynchronous/TARA/NMR/NMRA, supported object-management MOM service actions including transportation/order-type changes, supported ownership MOM service actions, activity/count MOM reports, MOM exception reports for failed routed MOM actions, and an executable audit that every non-report manager command leaf in the bundled MIM is declared routed."
