packet_requirement_id,curated_requirement_id,standard,clause,feature,reconciliation_kind,requirement_text,packet_verification_method,current_test_id,current_status,implementation_area,source_packet_file,notes
HLA1516.1-MOM-11_1-OVW-001,HLA1516.1-MOM-11.1-001;HLA1516.1-MOM-11.1-002,IEEE 1516.1-2010 (2010 edition),11.1,MOM-DEFINITION,OVW,"The RTI shall expose federation-management information through the standard Management Object Model using OMT-defined object classes, attributes, interaction classes, parameters, datatypes, and semantics.",requirements review + MOM observer test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_1-OVW-002,HLA1516.1-MOM-11.1-003;HLA1516.1-MOM-11.1-004,IEEE 1516.1-2010 (2010 edition),11.1,MOM-IN-FDD,OVW,The FDD for every federation execution shall include the standard MOM definitions needed by conforming MOM subscribers and requestors.,FDD static validation,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_1-OVW-003,HLA1516.1-MOM-11.1-005,IEEE 1516.1-2010 (2010 edition),11.1,MOM-NONREVISION,OVW,"The implementation shall not revise the predefined standard MOM object classes, interaction classes, attributes, parameters, datatypes, or semantics, except by standard-compatible extension.",MIM static diff test,tests/factories/test_fom_omt_parsing.py::test_merge_with_standard_mim_preserves_standard_mom_definitions_and_catalog_metadata;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix;tests/factories/test_fom_omt_parsing.py::test_parse_fom_xml_distinguishes_fom_som_and_mim_types_and_preserves_notes,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,"Current repo-native MIM merge tests directly prove that standard MOM definitions and catalog metadata are preserved without revision, while still allowing standard-compatible extension."
HLA1516.1-MOM-OVERVIEW-014,HLA1516.1-MOM-11.1-001;HLA1516.1-MOM-11.1-002,IEEE 1516.1-2010 (2010 edition),11.1,MOM-EXPOSURE,OVW,RTI shall expose standard management information through MOM object and interaction classes.,design review + integration test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,This imported MOM overview row is directly covered by the current MOM observer and catalog validation evidence.
HLA1516.1-MOM-11_2-OBJ-004,HLA1516.1-MOM-11.2-001,IEEE 1516.1-2010 (2010 edition),11.2,MOM-OBJECT-PUBLISH,OBJ,The RTI shall publish standard MOM object classes and attributes designated as RTI-published in the MIM.,MOM publication test,tests/time/test_mom_mim_time_v10.py::test_standard_mim_is_loaded_first_and_mom_names_are_discoverable;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2-OBJ-005,HLA1516.1-MOM-11.2-003,IEEE 1516.1-2010 (2010 edition),11.2,MOM-FEDERATION-INSTANCE,OBJ,The RTI shall register and maintain one standard MOM federation object instance representing the federation execution.,MOM observer integration test,tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix;tests/time/test_mom_mim_time_v10.py::test_mom_federation_object_can_be_discovered_and_reflected_on_request,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2-OBJ-006,HLA1516.1-MOM-11.2-002,IEEE 1516.1-2010 (2010 edition),11.2,MOM-FEDERATE-INSTANCE,OBJ,"The RTI shall register, update, and remove one standard MOM federate object instance for each joined federate according to join/resign/lost-federate lifecycle state.",join/resign MOM observer test,tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-11_2-OBJ-007,HLA1516.1-MOM-11.2-004,IEEE 1516.1-2010 (2010 edition),11.2,MOM-ATTR-UPDATES,OBJ,The RTI shall update MOM object attributes when the represented management state changes or when periodic/update-rate requirements apply.,MOM attribute reflection test,tests/time/test_mom_mim_time_v10.py::test_mom_federation_object_can_be_discovered_and_reflected_on_request;tests/mom/test_mom_catalog_validation_v012.py::test_mom_runtime_applies_standard_rti_characteristics_as_one_coherent_contract,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
HLA1516.1-MOM-OVERVIEW-015,HLA1516.1-MOM-11.2-001;HLA1516.1-MOM-11.2-002;HLA1516.1-MOM-11.2-003;HLA1516.1-MOM-11.2-004,IEEE 1516.1-2010 (2010 edition),11.2,MOM-OBJECTS,OVW,RTI shall publish standard MOM object classes and maintain MOM federation/federate object instances.,design review + integration test,test_standard_mim_object_classes_are_loaded_and_mom_attributes_are_reflected;tests/verification/test_mom_observer_slice_v013.py::test_mom_observer_slice_reconstructs_federate_object_discovery_and_reflection;tests/mom/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,mapped,mom_runtime,hla_1516_requirements_master_v1_0.csv,This imported MOM object overview row is directly covered by the current standard MIM object discovery and federate/federation lifecycle evidence.
HLA1516.1-MOM-11_2_1-OBJ-008,HLA1516.1-MOM-11.2.1-001,IEEE 1516.1-2010 (2010 edition),11.2.1,MOM-EXTENSIONS,OBJ,The implementation shall permit standard-compatible MOM extension by subclassing or adding attributes without changing standard MOM definitions.,extension FOM validation test,tests/factories/test_fom_omt_parsing.py::test_merge_allows_extending_standard_mom_classes_with_subclasses_and_attributes;tests/factories/test_fom_omt_parsing.py::test_merge_allows_extending_standard_mom_classes_with_subclasses_and_attributes,mapped,mom_catalog,hla_1516_requirements_master_v1_0.csv,Current repo-native MOM tests directly exercise this packet slice.
