Requirement,Tests,Evidence
ENC-001,test_factory_returns_matching_encoding_context,encoding_capabilities.json; runtime_matrix.json
ENC-002,test_registry_resolves_required_builtins; test_registry_rejects_unknown_encoding_name,encoding_capabilities.json
ENC-003,test_2010_and_2025_profiles_register_primitives,encoding_capabilities.json
ENC-004,test_fom_type_repository_resolves_all_smoke_types,fom_type_resolution.json
ENC-005,test_custom_basic_data_uses_size_endian_encoding_metadata,fom_type_resolution.json
ENC-006,test_simple_data_delegates_to_representation; test_enumerated_name_encodes_numeric_value,codec_round_trip_report.json
ENC-007,test_fixed_record_field_order_is_preserved; test_fixed_record_rejects_missing_field,codec_round_trip_report.json; codec_negative_report.json
ENC-008,test_fixed_array_rejects_wrong_length; test_variable_array_round_trip,codec_round_trip_report.json; codec_negative_report.json
ENC-009,test_variant_record_uses_discriminant; test_variant_record_hlaother_fallback,codec_round_trip_report.json
ENC-010,test_decode_rejects_truncated_bytes; test_decode_rejects_extra_bytes_when_strict,codec_negative_report.json
ENC-011,test_provider_registers_custom_codec_without_overriding_builtin,encoding_capabilities.json
ENC-012,test_provider_oracle_composite_bytes_when_available,provider_oracle_report.json
ENC-013,test_encoding_evidence_files_are_emitted,encoding_capabilities.json; fom_type_resolution.json; codec_round_trip_report.json; codec_negative_report.json
AUTH-001,test_factory_returns_matching_authentication_context,auth_capabilities.json; runtime_matrix.json
AUTH-002,test_2025_credentials_are_type_and_bytes,auth_capabilities.json
AUTH-003,test_no_auth_provider_returns_hla_no_credentials; test_plain_text_password_provider_returns_typed_credentials,auth_matrix.json
AUTH-004,test_2010_profile_rejects_standard_credentials,auth_capabilities.json
AUTH-005,test_auth_does_not_modify_rti_ambassador_methods,auth_negative_report.json
AUTH-006,test_bad_auth_fails_before_federation_created; test_bad_auth_fails_before_join_federation,auth_negative_report.json
AUTH-007,test_auth_failure_codes_are_distinguishable,auth_negative_report.json
AUTH-008,test_secret_redaction_in_repr_logs_and_evidence,secret_redaction_report.json
AUTH-009,test_custom_credential_requires_provider_support,auth_capabilities.json; auth_negative_report.json
AUTH-010,test_fake_authorizer_rti_federation_federate_decisions,auth_matrix.json
AUTH-011,test_token_auth_metadata_shape; test_mtls_auth_requires_cert_and_key,auth_matrix.json
AUTH-012,test_auth_evidence_files_are_emitted,auth_capabilities.json; auth_matrix.json; auth_negative_report.json; secret_redaction_report.json
