edition,requirement_id,row_kind,resolution_type,canonical_owner,canonical_status,primary_shard,primary_command,evidence_artifact,evidence_refs,boundary_note,backend_fields
2025,group::Callback/configuration/binding deltas::area-owner,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/callback_binding_deltas.md,duplicate/umbrella,unit-shim-tooling,./tools/test-surface run unit-shim-tooling,docs/requirements/ieee-1516-2025/callback_binding_deltas.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/callback_binding_deltas.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group has explicit owner-doc evidence, canonical row disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed.","{""area"": ""Callback/configuration/binding deltas"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/callback_binding_deltas.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Tie delta theme to concrete FI service rows and binding-specific tests; do not count as proof by itself."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""binding-specific=2"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""not a standalone hosted-route claim; use child FI rows where hosted parity is actually claimed"", ""java_cpp_binding_resolution"": ""binding/callback umbrella only; resolve backend support through child FI rows and binding notes"", ""pitch_202x_resolution"": ""umbrella only; any Pitch proto HLA 4 / 202X claim must resolve through child FI rows and binding boundary notes"", ""priority"": ""P0; P1"", ""python_runtime_resolution"": ""not a standalone runtime claim; resolve through child FI service rows and bounded callback notes"", ""row_count"": ""12"", ""service_group"": ""Callback model and bindings""}"
2025,group::Federate Interface service catalog::Data distribution management,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/ddm_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/ddm_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/ddm_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/ddm_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=12"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""12"", ""service_group"": ""Data distribution management""}"
2025,group::Federate Interface service catalog::Declaration management,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/declaration_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=16"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P0; P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""16"", ""service_group"": ""Declaration management""}"
2025,group::Federate Interface service catalog::Federation management,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=34"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P0; P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""34"", ""service_group"": ""Federation management""}"
2025,group::Federate Interface service catalog::Object management,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/object_management_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/object_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/object_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/object_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=32"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P0; P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""32"", ""service_group"": ""Object management""}"
2025,group::Federate Interface service catalog::Ownership management,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/ownership_management_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/ownership_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/ownership_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/ownership_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=18"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""18"", ""service_group"": ""Ownership management""}"
2025,group::Federate Interface service catalog::Support services,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/support_services_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/support_services_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/support_services_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/support_services_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=59"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P0; P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""59"", ""service_group"": ""Support services""}"
2025,group::Federate Interface service catalog::Time management,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/time_management_bounded_proof.md,covered,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/time_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,docs/requirements/ieee-1516-2025/time_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""Federate Interface service catalog"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/time_management_bounded_proof.md; requirements/2025/canonical_requirements.json; requirements/2025/harmonization/hla_2025_fi_binding_surface_matrix.csv"", ""closure_goal"": ""Keep the covered row set aligned with the canonical requirement catalog, executable evidence, and truthful scope boundaries."", ""closure_wave"": ""1-fi-service-and-binding-disposition"", ""delta_breakdown"": ""rows=25"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""FedPro route/support is tracked separately in the FI binding matrix and backend-resolution companion"", ""java_cpp_binding_resolution"": ""official Java/C++ surfaces are tracked separately in the FI binding matrix; requirement closure remains anchored in canonical requirement rows"", ""pitch_202x_resolution"": ""vendor-branded proto HLA 4 / 202X surface may overlap this FI bucket, but grouped Pitch parity still has to be read from linked owner artifacts rather than inferred here"", ""priority"": ""P0; P1"", ""python_runtime_resolution"": ""grouped row set already has direct python1516_2025 evidence; keep per-service requirement truth in the canonical requirement catalog"", ""row_count"": ""25"", ""service_group"": ""Time management""}"
2025,group::Framework and Rules::area-owner,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/framework_rules.md,duplicate/umbrella,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/framework_rules.md; requirements/2025/canonical_requirements.json,docs/requirements/ieee-1516-2025/framework_rules.md; requirements/2025/canonical_requirements.json,"Every row in this group has explicit owner-doc evidence, canonical row disposition, child-row or backend-resolution references, and promotion/no-promote semantics reviewed.","{""area"": ""Framework and Rules"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/framework_rules.md; requirements/2025/canonical_requirements.json"", ""closure_goal"": ""Keep the child-row map and framework owner reading synchronized; do not relabel parent normalization rows as standalone proof without a narrower direct claim."", ""closure_wave"": ""4-framework-som-rule-decomposition"", ""delta_breakdown"": ""rows=10"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""n/a at framework umbrella level"", ""java_cpp_binding_resolution"": ""n/a at framework umbrella level"", ""pitch_202x_resolution"": ""n/a at framework umbrella level; use child FI or OMT owner artifacts if Pitch proto HLA 4 / 202X becomes relevant"", ""priority"": ""P1; P2"", ""python_runtime_resolution"": ""umbrella/framework owner only; resolve executable support through child FI or OMT rows"", ""row_count"": ""10"", ""service_group"": ""Federation rules""}"
2025,group::OMT component-level conformance::area-owner,grouped-projection,grouped-backend-view,docs/requirements/ieee-1516-2025/omt.md,covered,unit-fom-tooling,./tools/test-surface run unit-fom-tooling,docs/requirements/ieee-1516-2025/omt.md; requirements/2025/canonical_requirements.json,docs/requirements/ieee-1516-2025/omt.md; requirements/2025/canonical_requirements.json,"Every row in this group stays tied to canonical owner evidence, executable proof, and explicit backend-resolution boundaries.","{""area"": ""OMT component-level conformance"", ""backend_resolution_reference"": ""docs/requirements/ieee-1516-2025/omt.md; requirements/2025/canonical_requirements.json"", ""closure_goal"": ""Keep the covered row set aligned with recorded parser/import/export fixtures and truthful non-runtime ownership boundaries."", ""closure_wave"": ""2-omt-field-and-validator-fixtures"", ""delta_breakdown"": ""carry-forward=166; modified=42; new=16"", ""group_kind"": ""2025-group"", ""hosted_fedpro_resolution"": ""n/a: hosted FedPro route is not the owning proof surface for this OMT bucket"", ""java_cpp_binding_resolution"": ""n/a: standard bindings are not the owning proof surface for this OMT bucket"", ""pitch_202x_resolution"": ""n/a: this grouped OMT bucket is parser or validator owned, not a Pitch proto HLA 4 / 202X runtime claim"", ""priority"": ""P1; P2"", ""python_runtime_resolution"": ""parser/validator/import-export closure, not backend-runtime ownership"", ""row_count"": ""224"", ""service_group"": ""Array data type table""}"
