requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516.1-OM-6_1-SEM-001,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall maintain object instance identity using globally unique object instance handles and unique names within a federation execution.,shall,object_management.identity,analysis + integration test,TEST-OM-6_1-SEM-001,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-002,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall make object instances known to joined federates through discovery before delivering normal attribute reflections for those instances.,shall,object_management.discovery,analysis + integration test,TEST-OM-6_1-SEM-002,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-003,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall preserve the object class by which an object instance is known to a federate after discovery.,shall,object_management.discovery,analysis + integration test,TEST-OM-6_1-SEM-003,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-004,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,"RTI shall route attribute updates only when publication, ownership, subscription, scope, transportation, order, time, and DDM conditions are satisfied.",shall,object_management.routing,analysis + integration test,TEST-OM-6_1-SEM-004,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-005,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,"RTI shall route interactions only when publication, subscription, transportation, order, time, and DDM conditions are satisfied.",shall,object_management.routing,analysis + integration test,TEST-OM-6_1-SEM-005,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-006,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall reject or fail invalid object management operations without corrupting object instance state.,shall,object_management.error_handling,analysis + integration test,TEST-OM-6_1-SEM-006,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-007,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall support both RTI-generated and federate-supplied object instance names according to reservation and registration semantics.,shall,object_management.names,analysis + integration test,TEST-OM-6_1-SEM-007,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-008,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall distinguish federation-wide deletion from local deletion of a known object instance.,shall,object_management.deletion,analysis + integration test,TEST-OM-6_1-SEM-008,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-009,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,RTI shall maintain attribute scope state and notify subscribed federates when attributes enter or leave scope.,shall,object_management.scope,analysis + integration test,TEST-OM-6_1-SEM-009,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
HLA1516.1-OM-6_1-SEM-010,IEEE 1516.1-2010,6.1,Object Management,CAP-OM,OM-SEMANTICS,"RTI shall preserve user-supplied tags through update, interaction, and deletion delivery where the corresponding service carries a tag.",shall,object_management.tags,analysis + integration test,TEST-OM-6_1-SEM-010,Draft,P0,v1.0 engineering paraphrase from IEEE 1516.1 service-group prose and service catalog.,clause_6_semantic,,Clause overview and service-group semantics,,,native baseline; grpc/rest transport equivalence where applicable,yes,"Confirm behavior with positive, negative, state-transition, and transport-equivalence tests."
