requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516-FW-FW_SCOPE-001,IEEE 1516-2010,1.1,Framework and Rules,CAP-FW,FW-SCOPE,"The HLA implementation shall be scoped as a framework for interoperating federates, federations, object models, and RTI-supported information exchange.",shall,framework.scope,requirements review,TEST-HLA1516-FW-FW_SCOPE-001,Draft,P1,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 1.1,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-FW-FW_PURPOSE-002,IEEE 1516-2010,1.2,Framework and Rules,CAP-FW,FW-PURPOSE,"The implementation shall preserve HLA's purpose of interoperability and reuse by separating federate behavior, federation rules, RTI services, and OMT object-model description.",shall,architecture,architecture review,TEST-HLA1516-FW-FW_PURPOSE-002,Draft,P1,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 1.2,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-FW-FW_HLA_COMPONENTS-003,IEEE 1516-2010,1.3,Framework and Rules,CAP-FW,FW-HLA-COMPONENTS,"Project documentation shall treat IEEE 1516, IEEE 1516.1, and IEEE 1516.2 as an interrelated product set and maintain traceability across them.",shall,requirements,traceability audit,TEST-HLA1516-FW-FW_HLA_COMPONENTS-003,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 1.3,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-FW-FW_OO_RELATIONSHIP-004,IEEE 1516-2010,1.4,Framework and Rules,CAP-FW,FW-OO-RELATIONSHIP,The object model implementation shall distinguish HLA object classes/object instances from programming-language classes/objects.,shall,omt.model,design review,TEST-HLA1516-FW-FW_OO_RELATIONSHIP-004,Draft,P1,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 1.4,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-FW-5_1-DET-001,IEEE 1516-2010,5.1,Framework and Rules,CAP-FW,FW-FOM,A federation shall identify the FOM as the contract for all HLA data exchanged during federation execution.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_1-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.1 RULE-1,,,native; grpc; rest,indirect,
HLA1516-FW-5_1-DET-002,IEEE 1516-2010,5.1,Framework and Rules,CAP-FW,FW-FOM,The federation FOM shall be documented using one or more FOM modules and one MOM and Initialization Module.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_1-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.1 RULE-1,,,native; grpc; rest,indirect,
HLA1516-FW-5_1-DET-003,IEEE 1516-2010,5.1,Framework and Rules,CAP-FW,FW-FOM,The FOM shall document the agreement among federates about exchanged data and minimum exchange conditions.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_1-DET-003,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.1 RULE-1,,,native; grpc; rest,indirect,
HLA1516-FW-5_1-DET-004,IEEE 1516-2010,5.1,Framework and Rules,CAP-FW,FW-FOM,A FOM shall be documented in the OMT format prescribed by IEEE 1516.2-2010.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_1-DET-004,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.1 RULE-1,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_1_FOM-005,IEEE 1516-2010,5.1,Framework and Rules,CAP-FW,RULE-1-FOM,Each federation shall have an HLA Federation Object Model documented in accordance with the OMT.,shall,omt.fom,FOM presence validation,TEST-HLA1516-FW-RULE_1_FOM-005,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 5.1,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-001,IEEE 1516-2010,5.1,Framework and Rules,CAP-FW,FW-FOM,Federations shall define a FOM documented using the HLA OMT.,shall,omt.fom,review + integration test,TEST-FW-RULE-001,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-5_2-DET-001,IEEE 1516-2010,5.2,Framework and Rules,CAP-FW,FW-OBJECT-STATE,Simulation-associated object instance attribute values shall reside in joined federates rather than in the RTI.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_2-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.2 RULE-2,,,native; grpc; rest,indirect,
HLA1516-FW-5_2-DET-002,IEEE 1516-2010,5.2,Framework and Rules,CAP-FW,FW-OBJECT-STATE,"Joined federate-associated instance attributes shall be owned by federates, except MOM attributes owned by the RTI.",shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_2-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.2 RULE-2,,,native; grpc; rest,indirect,
HLA1516-FW-5_2-DET-003,IEEE 1516-2010,5.2,Framework and Rules,CAP-FW,FW-OBJECT-STATE,"The RTI may maintain data needed to support services, but shall not be the authoritative simulation-state owner.",shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_2-DET-003,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.2 RULE-2,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_2_FEDERATE_STATE-006,IEEE 1516-2010,5.2,Framework and Rules,CAP-FW,RULE-2-FEDERATE-STATE,Object instance representation for simulation-associated state shall reside in federates rather than the RTI except for standard management data.,shall,rti.state_model,architecture + integration test,TEST-HLA1516-FW-RULE_2_FEDERATE_STATE-006,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 5.2,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-002,IEEE 1516-2010,5.2,Framework and Rules,CAP-FW,FW-OBJECT-STATE,"Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",shall,rti.state_model,review + integration test,TEST-FW-RULE-002,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-5_3-DET-001,IEEE 1516-2010,5.3,Framework and Rules,CAP-FW,FW-DATA-EXCHANGE,FOM data exchanged among joined federates during execution shall pass through RTI services.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_3-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.3 RULE-3,,,native; grpc; rest,indirect,
HLA1516-FW-5_3-DET-002,IEEE 1516-2010,5.3,Framework and Rules,CAP-FW,FW-DATA-EXCHANGE,Joined federates shall declare the information they provide and require before runtime exchange.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_3-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.3 RULE-3,,,native; grpc; rest,indirect,
HLA1516-FW-5_3-DET-003,IEEE 1516-2010,5.3,Framework and Rules,CAP-FW,FW-DATA-EXCHANGE,"The RTI shall coordinate, synchronize, and exchange data according to the FOM and federate declarations.",shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_3-DET-003,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.3 RULE-3,,,native; grpc; rest,indirect,
HLA1516-FW-5_3-DET-004,IEEE 1516-2010,5.3,Framework and Rules,CAP-FW,FW-DATA-EXCHANGE,Federates shall remain responsible for substantive correctness of produced and consumed data.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_3-DET-004,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.3 RULE-3,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_3_RTI_EXCHANGE-007,IEEE 1516-2010,5.3,Framework and Rules,CAP-FW,RULE-3-RTI-EXCHANGE,Federates shall exchange FOM-defined data through RTI services during federation execution.,shall,rti.services,integration test,TEST-HLA1516-FW-RULE_3_RTI_EXCHANGE-007,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 5.3,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-003,IEEE 1516-2010,5.3,Framework and Rules,CAP-FW,FW-DATA-EXCHANGE,"During execution, exchange of FOM-defined data among joined federates shall occur through RTI services.",shall,rti.transport,review + integration test,TEST-FW-RULE-003,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-5_4-DET-001,IEEE 1516-2010,5.4,Framework and Rules,CAP-FW,FW-INTERFACE,Joined federates shall use the standard HLA federate interface to access RTI services.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_4-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.4 RULE-4,,,native; grpc; rest,indirect,
HLA1516-FW-5_4-DET-002,IEEE 1516-2010,5.4,Framework and Rules,CAP-FW,FW-INTERFACE,RTI/federate interaction behavior shall conform to IEEE 1516.1-2010 interface semantics.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_4-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.4 RULE-4,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_4_INTERFACE-008,IEEE 1516-2010,5.4,Framework and Rules,CAP-FW,RULE-4-INTERFACE,Federates shall interact with the RTI using the standard HLA federate interface.,shall,rti.interface,API conformance test,TEST-HLA1516-FW-RULE_4_INTERFACE-008,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 5.4,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-004,IEEE 1516-2010,5.4,Framework and Rules,CAP-FW,FW-INTERFACE,Joined federates shall interact with the RTI through the standard HLA federate interface.,shall,rti.interface,review + integration test,TEST-FW-RULE-004,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-FW-5_5-DET-001,IEEE 1516-2010,5.5,Framework and Rules,CAP-FW,FW-OWNERSHIP,At most one joined federate shall own a given instance attribute at any point in time.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_5-DET-001,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.5 RULE-5,,,native; grpc; rest,indirect,
HLA1516-FW-5_5-DET-002,IEEE 1516-2010,5.5,Framework and Rules,CAP-FW,FW-OWNERSHIP,The RTI shall support dynamic acquisition and divestiture of instance-attribute ownership during execution.,shall,framework.rules,requirements review + integration test,TEST-HLA1516-FW-5_5-DET-002,Draft,P0,Detailed paraphrase from IEEE 1516-2010 framework/federate/federation rules.,DET,,IEEE 1516-2010 Clause 5.5 RULE-5,,,native; grpc; rest,indirect,
HLA1516-FW-RULE_5_OWNERSHIP-009,IEEE 1516-2010,5.5,Framework and Rules,CAP-FW,RULE-5-OWNERSHIP,At most one federate shall own a given object instance attribute at a given time.,shall,ownership.registry,ownership invariant test,TEST-HLA1516-FW-RULE_5_OWNERSHIP-009,Draft,P0,v1.0 framework/rules structured decomposition from IEEE 1516-2010 clauses and rules.,FW_RULE_DETAIL,,IEEE 1516-2010 Clause 5.5,,standard/product-set,native/grpc/rest-equivalence,Maybe,
HLA1516-RULE-005,IEEE 1516-2010,5.5,Framework and Rules,CAP-FW,FW-OWNERSHIP,An object instance attribute shall be owned by at most one joined federate at a time.,shall,ownership.registry,review + integration test,TEST-FW-RULE-005,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
