asset_id,asset_type,title,section_ref,status,evidence,gaps
REQ-MOM-TABLE-001,requirement,MOM object and interaction exposure is derived from the active MIM/FOM catalog,1516.1-2010 §11.2,implemented-slice,hla2010/mom_catalog.py::build_mom_exposure_model; tests/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,
REQ-MOM-TABLE-001,requirement,MOM object and interaction exposure is derived from the active MIM/FOM catalog,1516.1-2010 §11.3,implemented-slice,hla2010/mom_catalog.py::build_mom_exposure_model; tests/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,
REQ-MOM-TABLE-001,requirement,MOM object and interaction exposure is derived from the active MIM/FOM catalog,1516.1-2010 Annex G,implemented-slice,hla2010/mom_catalog.py::build_mom_exposure_model; tests/test_mom_catalog_validation_v012.py::test_mom_catalog_is_derived_from_standard_mim_and_exposes_validation_matrix,
REQ-MOM-NEG-001,requirement,Strict MOM decoding reports and raises through generated parameterized negative-path tests,1516.1-2010 §11.4.1,implemented-slice,hla2010/mom_negative_testing.py::build_mom_negative_test_cases; tests/test_mom_negative_matrix_executable_v013.py::test_generated_mom_negative_matrix_case_executes; verification/mom_negative_matrix_v0_13.json,Semantic HLAservice precondition-negative rows remain planned separately because they require service-specific federation setup.
REQ-MOM-NEG-001,requirement,Strict MOM decoding reports and raises through generated parameterized negative-path tests,1516.1-2010 §11.5,implemented-slice,hla2010/mom_negative_testing.py::build_mom_negative_test_cases; tests/test_mom_negative_matrix_executable_v013.py::test_generated_mom_negative_matrix_case_executes; verification/mom_negative_matrix_v0_13.json,Semantic HLAservice precondition-negative rows remain planned separately because they require service-specific federation setup.
REQ-MOM-REPORT-001,requirement,MOM reports use the exact parameter names declared in the active MIM catalog,1516.1-2010 §11.3,implemented-slice,tests/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,Report payload values are still local-process diagnostics for several specialized report classes.
REQ-MOM-REPORT-001,requirement,MOM reports use the exact parameter names declared in the active MIM catalog,1516.1-2010 §11.4.1,implemented-slice,tests/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,Report payload values are still local-process diagnostics for several specialized report classes.
REQ-MOM-REPORT-001,requirement,MOM reports use the exact parameter names declared in the active MIM catalog,1516.1-2010 Annex G,implemented-slice,tests/test_mom_catalog_validation_v012.py::test_mom_report_payload_uses_exact_mim_catalog_parameters,Report payload values are still local-process diagnostics for several specialized report classes.
REQ-MOM-SERVICE-001,requirement,MOM HLAservice interactions are modeled as RTI-received actions with negative-path service failure reporting,1516.1-2010 §11.3,implemented-slice,hla2010/backends/python_rti.py::_run_mom_service_action; verification/mom_negative_matrix_v0_12.json,Not every Annex G service action has a complete semantic implementation yet.
REQ-MOM-SERVICE-001,requirement,MOM HLAservice interactions are modeled as RTI-received actions with negative-path service failure reporting,1516.1-2010 §11.4.1,implemented-slice,hla2010/backends/python_rti.py::_run_mom_service_action; verification/mom_negative_matrix_v0_12.json,Not every Annex G service action has a complete semantic implementation yet.
REQ-SERVICE-FILE-001,requirement,Service-report file output contains initial and per-service records with section anchors,1516.1-2010 §11.5,implemented-slice,hla2010/service_reporting.py; tests/test_compliance_slice_v011.py::test_mom_service_reports_to_file_and_global_report_file,The current format is JSONL for auditability; exact vendor/report-file formatting is not claimed.
REQ-TIME-ORDER-001,requirement,Timestamp-order queues respect local GALT/LITS-style lower-bound rules and DDM filtering before delivery,1516.1-2010 §8.1,implemented-slice,hla2010/time_management.py; tests/test_compliance_slice_v011.py::test_ddm_region_filtering_applies_before_timestamp_order_delivery,"The distributed-time algorithm remains a local-process approximation, not a proven multi-process LBTS algorithm."
REQ-TIME-ORDER-001,requirement,Timestamp-order queues respect local GALT/LITS-style lower-bound rules and DDM filtering before delivery,1516.1-2010 §8.13,implemented-slice,hla2010/time_management.py; tests/test_compliance_slice_v011.py::test_ddm_region_filtering_applies_before_timestamp_order_delivery,"The distributed-time algorithm remains a local-process approximation, not a proven multi-process LBTS algorithm."
REQ-TIME-ORDER-001,requirement,Timestamp-order queues respect local GALT/LITS-style lower-bound rules and DDM filtering before delivery,1516.1-2010 §8.16,implemented-slice,hla2010/time_management.py; tests/test_compliance_slice_v011.py::test_ddm_region_filtering_applies_before_timestamp_order_delivery,"The distributed-time algorithm remains a local-process approximation, not a proven multi-process LBTS algorithm."
REQ-TIME-ORDER-001,requirement,Timestamp-order queues respect local GALT/LITS-style lower-bound rules and DDM filtering before delivery,1516.1-2010 §8.18,implemented-slice,hla2010/time_management.py; tests/test_compliance_slice_v011.py::test_ddm_region_filtering_applies_before_timestamp_order_delivery,"The distributed-time algorithm remains a local-process approximation, not a proven multi-process LBTS algorithm."
REQ-TIME-ORDER-001,requirement,Timestamp-order queues respect local GALT/LITS-style lower-bound rules and DDM filtering before delivery,1516.1-2010 §9,implemented-slice,hla2010/time_management.py; tests/test_compliance_slice_v011.py::test_ddm_region_filtering_applies_before_timestamp_order_delivery,"The distributed-time algorithm remains a local-process approximation, not a proven multi-process LBTS algorithm."
REQ-SAVE-RESTORE-001,requirement,Save/restore coordinates with time-state and restores logical-time state,1516.1-2010 §4.16-§4.25,implemented-slice,tests/test_compliance_slice_v011.py::test_scheduled_save_waits_for_time_and_restore_reinstates_time_state,External persistent save-file interchange is not implemented.
REQ-SAVE-RESTORE-001,requirement,Save/restore coordinates with time-state and restores logical-time state,1516.1-2010 §8,implemented-slice,tests/test_compliance_slice_v011.py::test_scheduled_save_waits_for_time_and_restore_reinstates_time_state,External persistent save-file interchange is not implemented.
SCENARIO-TARGET-RADAR-001,scenario,Two-federate Target/Radar simulation runs over Python RTI and Java shim profiles,1516.1-2010 §4,implemented-smoke,examples/target_radar_simulation.py; tests/test_target_radar_scenario.py; test_run_summary.txt,"Scenario is a smoke demonstration, not a conformance test."
SCENARIO-TARGET-RADAR-001,scenario,Two-federate Target/Radar simulation runs over Python RTI and Java shim profiles,1516.1-2010 §5,implemented-smoke,examples/target_radar_simulation.py; tests/test_target_radar_scenario.py; test_run_summary.txt,"Scenario is a smoke demonstration, not a conformance test."
SCENARIO-TARGET-RADAR-001,scenario,Two-federate Target/Radar simulation runs over Python RTI and Java shim profiles,1516.1-2010 §6,implemented-smoke,examples/target_radar_simulation.py; tests/test_target_radar_scenario.py; test_run_summary.txt,"Scenario is a smoke demonstration, not a conformance test."
SCENARIO-TARGET-RADAR-001,scenario,Two-federate Target/Radar simulation runs over Python RTI and Java shim profiles,1516.1-2010 §8,implemented-smoke,examples/target_radar_simulation.py; tests/test_target_radar_scenario.py; test_run_summary.txt,"Scenario is a smoke demonstration, not a conformance test."
ASSET-CONFORMANCE-MATRIX-001,verification-artifact,Service-by-service conformance matrix covering RTIambassador services and MOM receive interactions,1516.1-2010 §4-§11,implemented-slice,hla2010/conformance.py::build_service_conformance_matrix; analysis/service_conformance_matrix_v0_13.json; analysis/service_conformance_matrix_v0_13.csv; tests/test_service_conformance_matrix_v013.py,Rows identify handlers and current evidence; several handler-only rows still need service-specific behavior/exception tests.
