requirement_id,standard,clause,source_title,capability,feature,requirement_text,normative_keyword,implementation_area,verification_method,test_id,status,priority,source_note,requirement_type,parent_requirement_id,source_detail,service_name,service_direction,transport_scope,mom_observable,verification_notes
HLA1516-RULE-001,IEEE 1516-2010 (2010 edition),5.1,Framework and Rules,CAP-FW,FW-FOM,Federations shall define a FOM documented using the HLA OMT.,shall,omt.fom,review + integration test,TEST-FW-RULE-001,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-002,IEEE 1516-2010 (2010 edition),5.2,Framework and Rules,CAP-FW,FW-OBJECT-STATE,"Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",shall,rti.state_model,review + integration test,TEST-FW-RULE-002,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-003,IEEE 1516-2010 (2010 edition),5.3,Framework and Rules,CAP-FW,FW-DATA-EXCHANGE,"During execution, exchange of FOM-defined data among joined federates shall occur through RTI services.",shall,rti.transport,review + integration test,TEST-FW-RULE-003,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-004,IEEE 1516-2010 (2010 edition),5.4,Framework and Rules,CAP-FW,FW-INTERFACE,Joined federates shall interact with the RTI through the standard HLA federate interface.,shall,rti.interface,review + integration test,TEST-FW-RULE-004,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-005,IEEE 1516-2010 (2010 edition),5.5,Framework and Rules,CAP-FW,FW-OWNERSHIP,An object instance attribute shall be owned by at most one joined federate at a time.,shall,ownership.registry,review + integration test,TEST-FW-RULE-005,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-006,IEEE 1516-2010 (2010 edition),6.1,Framework and Rules,CAP-FW,FW-SOM,Federates shall define a SOM documented using the HLA OMT.,shall,omt.som,review + integration test,TEST-FW-RULE-006,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-007,IEEE 1516-2010 (2010 edition),6.2,Framework and Rules,CAP-FW,FW-PUBSUB,"Federates shall support the update, reflection, sending, or receipt capabilities described in their SOMs.",shall,federate.capabilities,review + integration test,TEST-FW-RULE-007,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-008,IEEE 1516-2010 (2010 edition),6.3,Framework and Rules,CAP-FW,FW-OWNERSHIP-DYNAMIC,Federates shall support dynamic ownership transfer or acceptance as described in their SOMs.,shall,ownership.workflow,review + integration test,TEST-FW-RULE-008,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-009,IEEE 1516-2010 (2010 edition),6.4,Framework and Rules,CAP-FW,FW-UPDATE-CONDITIONS,Federates shall be able to vary update conditions described in their SOMs.,shall,declaration.update_rates,review + integration test,TEST-FW-RULE-009,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516-RULE-010,IEEE 1516-2010 (2010 edition),6.5,Framework and Rules,CAP-FW,FW-TIME,Federates shall manage local time in a manner compatible with federation time coordination.,shall,time_management,review + integration test,TEST-FW-RULE-010,Draft,P0,Paraphrased from Framework and Rules rule clauses.,SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-FM-4_2-001,IEEE 1516.1-2010 (2010 edition),4.2,Federate Interface Specification,CAP-FM,FM-CONNECT-SERVICE,RTI shall provide the Connect service.,shall,rti.federation_management.connect,unit + federate integration test,TEST-FM-4_2-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.2. Expand with arguments, callbacks, preconditions, and exceptions.",SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-FM-4_3-001,IEEE 1516.1-2010 (2010 edition),4.3,Federate Interface Specification,CAP-FM,FM-DISCONNECT-SERVICE,RTI shall provide the Disconnect service.,shall,rti.federation_management.disconnect,unit + federate integration test,TEST-FM-4_3-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.3. Expand with arguments, callbacks, preconditions, and exceptions.",SVC,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
HLA1516.1-FM-4_4-001,IEEE 1516.1-2010 (2010 edition),4.4,Federate Interface Specification,CAP-FM,FM-CONNECTION-LOST-CALLBACK-SERVICE,RTI shall issue the Connection Lost callback service.,shall,rti.federation_management.connection_lost,unit + federate integration test,TEST-FM-4_4-001,Draft,P0,"Seeded from 1516.1 table of contents service entry for clause 4.4. Expand with arguments, callbacks, preconditions, and exceptions.",CB,,v0.1 seeded family/service row,,,native baseline; transport equivalence where applicable,TBD,
